suggested_alternatives,other_outcomes,success_reason,success_level,name,slug,id,color,project_status
"Delineating the boundaries of the Lake informed by data o lowest and highest levels of the Lake waters.
Enforcement of Environmental Management and Coordination Act in terms of putting emphasis on review of EIAs for such development projects before approval.",,"Stakeholders are still holding discussions on action towards protecting the status of the lake, through controlling developments on the shores. NEMA is taking the lead since they are in charge of controlling development through reviewing EIAs. On the other hand Nature Kenya is keen to see that all stakeholders are involved and in following up/tracking action.",Not sure,Under construction,developments-along-the-shores-of-lake-elementaita-kenya,4.0,#ff7f50,
"The end of the civil war and the retrieve of the lands to they initial owners, the development of the mine activity in good work conditions.",,The extraction of Coltan continues financing civil wars and the repression of the native population.,No,In operation,congo-coltan-in-the-kivu-region-dr-of-congo,5.0,#ee2c2c,
Activists and scientists proposed to completely halt the construction of the dam to ensure that the habitat of the tapanuli orangutan is preserved. ,"[9] On 6th October 2019, Golfrid Siregar, lawyer, human right defender and environmental activist from Walhi North Sumatra died at the Adam Malik General Hospital after being treated since Thursday, October 3, 2019","Despite the international outcry due to the environmental concerns of the dam, the project is still ongoing",No,"Planned (decision to go ahead eg EIA undertaken, etc)",lesten-tampur-dam,3.0,#ffc40d,
"There have been calls for those affected to be able to participate in decision making and for this to be legislated in a fair and just manner. Communities see an urgent review by an independent assessment of the process as important, want their land rights recognised, compensation to be made and land returned where necessary[6].",The loss of land without consent has caused a great deal of anger. Communities have called for renegotiation of the contract and threats of violence have been made.,"While the Government of Liberia has acknowledged errors in the contract with Sime Darby, President Ellen Johnson Sirleaf has also called on communities, who continue to bear the negative effects of the plantation development. to respect the terms of the agreement, suggesting that there will be no change to the conditions of the contract.",No,In operation,sime-darby-plantation-land-conflict-liberia,5.0,#ee2c2c,
"Activists prepared to demand of Owens-Illinois that the obsolete pesticides be “returned to sender” rather than burned or buried in the Bahamas. 
Some of the alternatives to deal with the toxic waste at that time were: 
1) entombing the wastes on site
2) bringing in a mobile incinerator to burn the wastes on site
3) transporting the wastes to Grand Bahama for incineration. 
However, according to with Bahaman environmentalists and supporters such as Greenpeace ""since burning or burying this type of waste guarantees both immediate and long-term environmental contamination, Green- peace would like to see the U.S. company responsible for exporting the toxics to the Bahamas remove all the waste and return it to the U.S"".",,The government and Owens-Illinois assumed the monetary cost of the clean-up of the sugar mill site. ,Yes,Stopped,obsolete-pesticides-in-abaco-island-bahamas,6.0,#46a546,
,,"The plaintiffs alleged that: the Section 21 companies were not independent and under the influence of Anglo Platinum; Anglo Platinum forcibly relocated residents; and individual householders signed relocation agreements under duress. The plaintiffs further alleged that Anglo Platinum did not comply with the terms of the relocation agreement. The court denied the plaintiffs the requested injunction, and the case was dismissed.
However, following a 2008 report published by Action Aid on the situation in Limpopo, the South African Human Rights Commission investigated the human rights impact of Anglo Platinum’s mining activity in region and issued a report late 2008 with recommendations for the company. This investigation was the first time the commission examined the human rights impact of a company’s activities.",No,Proposed (exploration phase),anglo-platinum-mogalakwena-mine-lawsuit-south-africa,2.0,#049cdb,
"Mobil to immediately cleanup of the polluted waters, shoreline and environment in Ibeno
2.    Mobil to immediately replace all its aging and leaking pipelines
3.    Mobil to take responsibility for past and current spills in the community
4.    A comprehensive audit of the environment in Ibeno as a result of the incessant spills
5.    NOSDRA should adequately penalize Mobil for this and other spills in order to halt this impunity
6.    Compensation of the impacted community folks, including fisherfolks whose livelihoods have been ruined
",Impunity of the polluting company,Mobil is yet to commence clean-up while the local people surfer the lost.,No,In operation,mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,5.0,#ee2c2c,
Defense of a local economy based on tourism which protects the native forest and its fauna.  ,Permit granted despite the violation of conservation laws,"Recent intensification of the local and national campaign against the oil drilling permit but nothing is less sure it will change the current policies' direction, despite such activity being carried out in a national park.",No,In operation,oil-drilling-in-the-national-park-of-calilegua,5.0,#ee2c2c,
,,The villagers complaints didn't recive any answer and on the contrary they  turned against the citiziens with hurried arrests.,No,Unknown,rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,1.0,#999999,
Alternative proposals are for the plant to use higher quality coal and natural gas.,,Currently awaiting outcome of EPA decision on 5th January 2017 as to whether Irish Cement will be granted a licence.,Not sure,"Planned (decision to go ahead eg EIA undertaken, etc)",irish-cement,3.0,#ffc40d,
"El movimiento antinuclear propuso y continúa propone el modelo alternativo basado en ahorros de energía y el uso de fuentes renovables, como energía solar y eólica. En el momento de la protesta contra la planta de Montalto, esta solicitud fue en el centro de la actividad de la Comisión Nacional de Control sobre Opciones de Energía, también capacitadas por especialistas (físicos e ingenieros).","Conversión de la central eléctrica electronuclear en la central termoeléctrica convencional ""Alessandro Volta"", que quema combustible y aceite de metano","Para el movimiento antinuclear, fue una gran victoria porque el proyecto (en la fase de construcción durante muchos años) se ha bloqueado.",Yes,Stopped,centrale-elettronucleare-alto-lazio-di-montalto-di-castro,6.0,#46a546,
,Land survey of the affected area  in Kakanur village has been stopped ,"The Haritha Haram project has only been a mockery of environmental justice. While the intention of the government's plantation programme may be just, it did little to add to the green cover of the state as trees were cut to make way for the plantation drive. On one hand the government intended to plant trees, on the other, it ordered for trees to be felled.",No,Under construction,telangana-government-plantation-programme,4.0,#ff7f50,
"With regards to choosing a wrong location with alluvial grounds and fault lines and the chemical leakages during 1999 earthquake, it is stated that establishing a chemical storage terminal in another region will be much better solution. ",,"An effective protest was organised at the EIA meeting of the project. Mistakes made in site selection were addressed in the final EIA process to the administrative representatives from Ankara. Although the EIA process was frozen, the master plans were approved by the Ministry of Environment and Urbanisation on its own motion. Objections were made and legal action was taken. Law courts still continue. The company announced that it would not store some types of chemicals upon reactions such as protest marches, hunger strikes, media and NGO oppositions following the EIA process. The company also stated that it will not store acrylonitrile after 6.500 tons of acrylonitrile leak disaster caused by Aksa Acrylic Inc. during the 1999 earthquake. The company was also asked to specify margins for a health protection strip. Within the framework of a scientific report, the requirement of establishing a health protection strip that covers the centre of Yalova for a 710.000 m3 storage was highlighted. This put the project to a dead end. Nevertheless, despite all the legal difficulties and EIAs suspension, the company has not announced the cancellation of the project. It is thus latent.",Not sure,Stopped,yalova-vopak-chemical-storage-terminal-turkey,6.0,#46a546,
"There are some local protests. For instance in February 2023 it was annoounced that ""REM mining projects in Mansi started on September 11th last year near In Bar Par village and residents started protesting three days later until today. Residents of In Bar Par and surrounding villages have also told Network Media Group that they will continue to protest until REM mining in their area is completely stopped."" [11]. [12]. ",,"The militias and the Junta Tatmadaw's human rights abuses and atrocities continue to repress environmental defenders and their actions to bring justice to this ""sacrifice zone"". ",No,In operation,rare-earth-mining-in-mountains-of-myanmar,5.0,#ee2c2c,
"The KALISO organization, in favour of artisanal indigenous miners, opposes large-scale mining and demands investigation of the killing of Jimmy Liguyon[1;6].",Killing of indigenous leader Jimmy Liguyon,"The indigenous leader, opposing large-scale mining and related destruction of artisanal livelihoods and the environment, was killed and illegal large scale mining not stopped.",No,Unknown,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,1.0,#999999,
"Ha existido defensa territorial por parte de ONGs, que convocan la divulgación y conocimiento del estado actual de el Cerro de El Cimatario",,"Año con año se intentan instalar nuevos asentamientos urbanos en el cerro, en algunos casos, con éxito._x000D_
Unos de los proyectos urbanos que se han detenido es por ejemplo la ampliación de la zona habitacional Colinas del Bosque.",Not sure,Stopped,depredacion-ecologica-en-el-cerro-de-el-cimatario,6.0,#46a546,
"La Cámara de Productores de Áridos del Piraí (ente privado), pretende que se acate la norma establecida respecto a los intereses de los productores de áridos, que se respaldan con las concesiones del Estado para ser los únicos que pueden extraer áridos del río. En esta dirección, ellos exigen que se respeten las concesiones y que se desaloje a los dragueros ilegales para que de esta manera se vuelva a la extracción moderada y respaldada por la ley como lo era hace un tiempo.",,"No es un éxito respecto a justicia ambiental debido a que los efectos sobre el río, pero aparentemente las autoridades se están haciendo cargo del problema que acarrea esta situación. Por lo tanto, de parte de las autoridades no existe una predisposición plena por resarcir los daños del río, a pesar de haber realizado monitoreos en el lugar.",Not sure,Proposed (exploration phase),contaminacion-del-rio-pirai,2.0,#049cdb,
,,"While the local government has responded swiftly to the media activism surrounding the pollution incident, it is unclear whether concrete steps have been taken to restore the environment in Taoyuan and to reduce the villagers' exposure to health and socio-economic risks.",Not sure,In operation,chuangyuan-aluminium-plant-pollution-in-hunan-china,5.0,#ee2c2c,
"At the end a northern route (north of Lake Baikal) was adopted for a pipeline to China from eastern Siberia. These were the alternatives: "" ... the  US$2.5-billion (S$4.4-billion) oil pipeline was abandoned over environmental concerns... The 2,400-km pipeline project, linking Siberian oilfields to the north-east Chinese city of Daqing, ran into trouble (because of) environmental risks involved. Yukos, the Russian backer, wants a route through the Tunka national park that would curve around the southern end of Lake Baikal, containing about a fifth of the world's freshwater reserves. A second proposed route would follow the path of the Baikur-Amur railway, which crosses the northern end of Lake Baikal, listed as a world heritage site by Unesco. Both routes were said to run counter to Russian laws on nature conservation"" [3]. ",,The pipeline was not built. Another pipeline was built north of Lake Baikal. ,Yes,Stopped,buryatia-vs-yukos-oil-russian-federation,6.0,#46a546,
"TANY is against the displacement of population in Soalala
TANY asked to the Government to explain how was expended the amount of US$ 100 million
TANY asked to the Chinese Company WISCO to precise if the 100.000 positions they promised, are all for Malagasy people",The project was temporarily suspended for a short time but now it's ongoing,"TANY denouces a pseudo public consultation 
According to the mayor of the municipality of Ambohipaky in Soalala, ""the State has never consulted them and the Chinese are just coming to plant pegs on their rice fields"".
According to SIF, the State had decided to allocate the Soalala communities land in its name.
Friends of the Earth (FoE) who conducted a mission in Madagascar doesn't understand why this kind of project has been allowed in a region where the biodiversity is so vulnerable (very close to the Baly Bay) ",No,Under construction,wisco-soalala-iron-ore-madagascar,4.0,#ff7f50,
"Sunderbans is a globally recognized as ecologically sensitive area. Local villagers as well as scientists and environmental activists were surprised with the proposed project on a highly eco-sensitive zone internationally recognised as World Heritage Site. The area is already under threat of many human activities. The area is experiencing erosion on many islands and is economically important. The risk and threat to the marine ecology due to this project is far too great and will affect the entire ecology and environment of the Sunderbans. Hence the project should have been rejected [1]
The protestors also pointed that the public hearing conducted for the project was done without proper public notice. The Government was approached a number of times by public forums and civil society organisations but there was total lack of transparency and response. The project will affect thousands of fishermen and small farmers. So the immediate stop all activities related to this project was demanded [4] ",,"Because of the protest from the various groups as well as local farmers, fishermen and villagers the Sahara Project was shelved. However, the project was not been officially discarded. Many other big investors also shown their interest in Eco tourism project in Sundarban. Government had also shown its interest to such kinds of Mega Tourism in Sundarban [4].",Not sure,Stopped,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,6.0,#46a546,
Potential court action seeking remediation of contaminated water and prevention of further contamination,,,No,Unknown,illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,1.0,#999999,
,,The project is awaiting final approval,Not sure,"Planned (decision to go ahead eg EIA undertaken, etc)",exploratory-fracking-at-kirby-misperton-yorkshire,3.0,#ffc40d,
"1. Nature Kenya is working with local communities;pastoralists, farmers, fishermen and conservation groups in order to take action against the proposed developments in the Tana River Delta and to take forward positive proposals to enhance livelihoods. 
2.Develop appropriate guidance on sustainable biofuel production before any commercial biofuel projects are approved.
3.Carry out a cost-benefit analysis to assess whether growing a biofuel crop carries an energy cost as well as environmental and social costs.","Project suspended.
The Office of the Prime Minister, with funding from UK Aid, has set up a committee, with about 20 government representatives, to facilitate preparation of a strategic plan and strategic environmental assessment for the Delta.
This would allow for development of sustainable livelihoods for the people while safeguarding the environment upon which the local economy depends. ","NEMA granted the developer the licence even though scientific evidence pointed out to Jatropha plantations not being viable; and there were concerns that 10,000 ha size was too huge to be pilot. However, the company has now pulled out and the project is stopped. 
",Yes,Proposed (exploration phase),bedford-biofuels-jatropha-tana-delta-kenya,2.0,#049cdb,
,,,No,In operation,derrame-de-petroleo-en-el-campo-de-frade-brazil,5.0,#ee2c2c,
"The solutions brought forward by the tribe include: federal land use policy (Bureau of Land Management and National Forest Service) that balances ORV recreation with conservation and restoration; public education regarding existing laws and the impact of ORVs on the environment; the well documented dangers associated with the use of ORVs by children; the need for increased law enforcement, stricter fines, penalties and the confiscation of vehicles; development and support for local chapters of ORV Watch; and, visible identification for all ORVs.",Extensions being provided to the BLM by the court to allow the BLM to have more time to comply with court orders ,"The Chemehuevi tribe, despite its many efforts to educate, encourage stronger enforcement and protection of their lands, has not seen any fruit and has continued to witness the degradation of their lands, cultural and spiritual icons, and overall environmental quality.  Authorities do not have appropriate funding to adequately patrol and enforce these areas and legal processes have been delayed numerous times. This is a clear case of environmental injustice.",No,In operation,chemehuevi-indian-tribe-off-roading-damage,5.0,#ee2c2c,
"New forms of ecosystem protection were forged, such as tribal parks, that balanced preservation of trees with livelihood and sustainable harvest by First Nations.
International market boycott strategies were experimented with.  
New forms of forest co-management and governance emerged from these decades of this struggle.
First Nations created new practices and systems of conservation economics.",,Significant area was protected from logging. Clear cut logging lost broad social acceptability. Protected areas were created. Indigenous control over resources and decision-making was increased. Forms of mobilization were forged and popularized. Resistance networks were formed. Environmental activism became more mainstream. Lessons were learnt about the complex alliances between First nations and Environmental groups. ,Yes,Stopped,clayoquot-sound-canada,6.0,#46a546,
There are no visible demonstrations calling for compensation or remediation. The protesters demanded their land rights be respected to sustain their traditional livelihoods and the orans be saved.,,The Solar Park has been built and no apparent alternative livelihood or relocation has been provided for the local inhabitants.,No,In operation,adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,5.0,#ee2c2c,
Not to build any nuclear waste storage anywhere. keep the waste in the existing nuclear power stations.,,"Or rather not yet. The nuclear storage is still planned to be built in Villar de Cañas. However, there is strong opposition at the national level, and also a smell of corruption on the money that has been spent already in Villar de Cañas. By 2016, it seems unlikely that the ATC will be built, also because of the change of government (from PP to PSOE) in the region of Castilla La Mancha.",Not sure,"Planned (decision to go ahead eg EIA undertaken, etc)",nuclear-waste-storage-in-villar-de-canas-spain,3.0,#ffc40d,
"Exclude further infrastructure construction in the park and leave free flowing rivers.
Moratorium on current proposed projects.
Clear definition of the minimum flow requirement by EU and national policies.",,"The newly proposed hydroelectric power plant has been stopped through a massive mobilization which resulted in a stay to the project ordered by the Corte di Cassazione (Italian Supreme Court).
Local committees also made a complaint to the European Commission against over exploitation of hydropower in the Alps, which could open the path to other similar initiatives.",Yes,Stopped,mis-valley-hydropower-plant-italy,6.0,#46a546,
,,"Counter arguments mobilizers have been using to try to stop the project:
1.  the project was considered unnecessary, since the energy demand of the country was already covered by the electricity produced;
2. the project was considered negative from an environmental point of view, one third of Sarawak’s remaining primary forest is located in the dam site area; 
3. the project was considered negative from a social point of view – the construction of the dam forced the displacement of indigenous communities living in the affected forest [2]
Despite these arguments, the project is operational and people displaced.",Not sure,In operation,malaysia,5.0,#ee2c2c,
,,"VARUN INTERNATIONAL has suspended this project in the Sofia Region. However, the company (VARUN ENERGY) began to explore oil and uranium in other part of the Island. So other conflicts have emerged. But the land grabbing project was stopped. ",Yes,Stopped,varun-land-grabbing-madagascar,6.0,#46a546,
,The project plan was abandoned thanks to local resistance and media attention. The viability of the project was also questioned which contributed to it not being conducted.,"The plan to exploit the Vindel river was abandoned thanks to organised resistance and protests. The river is now protected as a National River in Sweden. There are many Natura 2000 areas on and around the river as well as Ramsar areas. The river has been suggested to become a Ramsar area in its entirety and is also a candidate for the world heritage list of UNESCO (1)._x000D_
The Vindel River has been given an icon status among Swedish waters and the conflict marked the beginning of the end of the era of extensive hydro power exploitation in Sweden. (1)",Yes,Stopped,vindelalven-hydel-project-sweden,6.0,#46a546,
,,The final decision will come from the Appellate Division of the Supreme Court of Bangladesh ,Not sure,Stopped,land-grabbing-and-filling-up-of-wetlands,6.0,#46a546,
"Luoding city government in Guangdong province said  that the project fit a national policy to encourage solid waste processing in the cement industry, but that it was cancelled ""in response to public demands."" Thousands of residents fearful of pollution  clashed with police. A resident surnamed Huang was quoted as saying that people also wanted the company that was to build the incinerator to reduce pollution at its local cement factory.
Read more at: http://phys.org/news/2015-04-south-china-cancel-incinerator-protests.html#jCp",,"In April  2015 the government of Luoding City acknowledged after demonstrations and clashes with the police, that in response to public demand it was cancelling approval of the incinerator due to be built at a factory belonging to China Resources Cement Holding in Langtang.",Yes,Stopped,luoding-incinerator-guangzhou-china,6.0,#46a546,
,Renuncia del título minero por parte de la empresa,"A pesar de la movilización que ha realizado la comunidad y el rechazo de un título minero por la empresa Júpiter aun se mantienen cuatro títulos en pie, además el gobierno departamental está ofreciendo apoyo  a las empresas para intalarse, sin tomar en cuenta la participación de las comunidades afectadas. Por el momento no se han registrado más actividades de la empresas pero la población esta en alerta ante dichos proyectos. ",Not sure,Stopped,mineria-en-jardin-antioquia-colombia,6.0,#46a546,
"WWF Spain asks for 
1) Water abstraction controls
2) Groundwater Management Plan to be established and implemented
3) Reorganise the land-use
4) Increased efficiency of irrigation","A Sub-regional land-use management plan has been approved in 2014, though according WWF Spain not addressing major issues, and being considered as an amnesty. However, the Plan is not being implemented so far.",There is not yet a result or a political decision in place that would recover ecological status and avoid conflicts. Illegal land-use and water abstraction are not yet adequately penalised in practice. ,No,In operation,illegal-boreholes-for-strawberry-farming-in-donana,5.0,#ee2c2c,
,,,,In operation,pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia,5.0,#ee2c2c,
"Stopping the operation, withdrawing from areas mined illegally, and reinstating the original inhabitants and economy. Criminal Prosecution",0,"Once the Water Tribunal is reinstated, the directive issued by the Department of Water Affairs will again become valid. The outcome remains uncertain until that time.",Not sure,In operation,exxaro-leeuwpan-mining-project-south-africa,5.0,#ee2c2c,
"Civil society groups in Kosovo, led by the Kosovo Civil Society Consortium for Sustainable Development (KOSID) oppose the construction of a new power plant. They claim that it is unnecessary. Reducing electricity losses and investing in efficiency and alternatives are cheaper and create more jobs.
While the plant is being depicted as necessary to ensure the country’s energy security, up to 30 percent of available electricity in Kosovo today is wasted according to official data, because of lack of energy efficiency programmes. This adds to the 37 percent of electricity losses (of which around 17 percent are technical and a result of an old grid and the other are commercial losses, i.e. theft). Daniel Kammen, Professor at the University of California in Berkeley and former World Bank 'Clean Energy Czar”, has shown (pdf attached) that Kosovo has renewable energy capacities that could deliver 34 percent of energy demand by 2025, while providing over 60 percent more jobs than a business as usual path, with estimated cost savings of 5-50% relative to a scenario that includes a new coal power plant. If energy efficiency programmes are put in place, losses are curbed, renewable energy is developed, and the existing Kosovo B plant is rehabilitated, the study finds, there is no need for a costly new plant.",,"The project currently does not proceed, but there is no guarantee that it will be finally stopped. ",Not sure,Proposed (exploration phase),kosova-e-re-lignite-power-plant,2.0,#049cdb,
"Utilizar fondos para apoyar a las comunidades locales para que ellas mismas desarrollen un turismo rural, comunitario  respetando los límites de la naturaleza. 
Es un caso donde coinciden protestas locales e intentos de conservación como sitio Ramsar",La institución que toma cartas en el asunto es el ISTA y solo han llegado a medir los terrenos en las comunidades una y otra vez sin solventar nada hasta el momento.,Están atentando contra la sustentabilidad y los medios de vida de las personas. Los intereses económicos predominan sobre la vida de las personas que viven en la Zona Costera  y de las demás especies.  Desde las organizaciones sociales se hace un llamado estatal sin obtener respuestas. ,No,Proposed (exploration phase),coastal-zone-megaprojects-el-salvador,2.0,#049cdb,
,,"Currently in 2017, following the protests, the high court gave orders to look into the air quality, due to which the Goa State Pollution Control board refused to grant 12 of the 13 mining leases consent to operate due to the severe dust pollution as well as deferred the renewable of lease. An air quality report found out that air pollution in Sonshi exceeds the permissible limit due to mining and recommended mining to be stopped. ",Yes,Stopped,45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,6.0,#46a546,
,,,Not sure,Proposed (exploration phase),fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,2.0,#049cdb,
"Las comunidades piden que se suspenda totalmente la iniciativa para desarrollar el proyecto, lo cual incluye que no se hagan procesos de licencia social ni estudios  ambientales para su realización; por lo tanto que se declare el cerro Careperro como zona libre de minería.",,"Aunque hay un fallo que protege parcialmente los derechos de las comunidades indígenas y los derechos de la naturaleza, aún existe la posibilidad de que el proyecto se lleve a cabo, poniendo en riesgo a las comunidades y la biodiversidad de la región frente a los impactos que la minería a cielo abierto puede tener sobre el aire, el suelo y el agua. 
De llevarse a cabo, también pone en riesgo la legitimidad de la Corte Constitucional en su defensa del mecanismo de consulta y consentimiento libre, previo e informado.",Not sure,"Planned (decision to go ahead eg EIA undertaken, etc)",mineria-en-el-cerro-sagrado-care-perro-antioquia,3.0,#ffc40d,
The agricultural land should not be allowed to be mined. ,"Although the mining concesssion of Nicua was suspended after the Lake contamination, black sand mining operations are on-going in the area. ",Black sand mining continues in the area.,No,In operation,macarthur-metallic-black-sand-mining,5.0,#ee2c2c,
"The mobilizing communities who signed the Xapuri and Sena Madureira Declarations view carbon trading as a false response to climate change. 
The human rights platform DhESCA stresses the importance of the community's political and cultural rights. The strengthening of these would empower them to continue a life with and from the forest without being restricted in their ways of life, threatened, stigmatized or instrumentalized. ",,There has been an effort of collective mobilization and awareness raising from local indigenous organizations and communities and some reports from media and international environmental NGOs but so far without a wider impact. Protests against REDD+ were often part of a wider mobilization for land demarcation and against the curtailing of indigenous rights.,Not sure,In operation,russas-valparaiso-redd-projects-acre-brazil,5.0,#ee2c2c,
