UID,supporters,url,local_names,slug,name,parent,acronym,involvement,description,country.name,country.slug,country
bedford-biofuels-jatropha-tana-delta-kenya,,https://www.iucn.org/,,iucn,International Union for the Conservation of Nature,,IUCN ,,"The International Union for Conservation of Nature (IUCN) is a membership Union uniquely composed of both government and civil society organisations. It provides public, private and non-governmental organisations with the knowledge and tools that enable human progress, economic development and nature conservation to take place together.",,,
bedford-biofuels-jatropha-tana-delta-kenya,,,,wetlands-international,Wetlands International,,WI,,,,,
bedford-biofuels-jatropha-tana-delta-kenya,,www.worldbank.org,,world-bank,The World Bank,,WB,,,United States of America ,united-states-of-america,
bedford-biofuels-jatropha-tana-delta-kenya,,,,unites-states-fish-and-wildlife-service,United States Fish and Wildlife Service,,USFWS,,"Manages national wildlife refuges, protects endangered species, manages migratory birds, restores nationally significant fisheries and enforces federal wildlife laws.",United States of America ,united-states-of-america,
malaysia,,http://english.eximbank.gov.cn/en/,,china-export-import-bank,China Export Import Bank,,China Exim,,,China,china,
exxaro-leeuwpan-mining-project-south-africa,,,,deutsche-gesellschaft-zur-zertifizierung-von-managementsystemen,Deutsche Gesellschaft zur Zertifizierung von Managementsystemen,,DQS,,,Germany,germany,
kosova-e-re-lignite-power-plant,,www.ebrd.com,,ebrd,The European Bank for Reconstruction and Development ,,EBRD,,The Bank is an investor in GV Gold. Activists and ecologists demanded that in 2011 it pressurise GV Gold to stop work on the Chudnoe deposit. [11],,,
kosova-e-re-lignite-power-plant,,www.worldbank.org,,world-bank,The World Bank,,WB,,,United States of America ,united-states-of-america,
coastal-zone-megaprojects-el-salvador,,,,gobierno-de-estados-unidos-corporacion-reto-del-milenio,Corporación Reto del Milenio,,,finance,,United States of America ,united-states-of-america,
coastal-zone-megaprojects-el-salvador,,"http://www.iadb.org/en/about-us/about-the-inter-americahttp://www.iadb.org/en/inter-american-development-bank,2837.htmln-development-bank,5995.html",,inter-american-development-bank,Inter-American Development Bank,,IADB,finance,,,,
coastal-zone-megaprojects-el-salvador,,"http://www.iadb.org/en/about-us/about-the-inter-americahttp://www.iadb.org/en/inter-american-development-bank,2837.htmln-development-bank,5995.html",,inter-american-development-bank,Inter-American Development Bank,,IADB,,,,,
rubber-tree-plantation-near-de-dja-reserve,,http://www.cadfund.com/en/,,china-africa-development-fund,China-Africa Development Fund,,CAD FUND,,"The China-Africa Development Fund is a private fund funded by China Develoment Bank. The aim of the fund is to stimulate investment in Africa by Chinese companies in areas related to power generation, transportation infrastructure, natural resources and manufacturing.",China,china,
rubber-tree-plantation-near-de-dja-reserve,,http://whc.unesco.org/,,unesco,"UNESCO - United Nations Educational, Scientific and Cultural Organization",,UNESCO,,"UNESCO is the United Nations Educational, Scientific and Cultural Organization. It seeks to build peace through international cooperation in Education, the Sciences and Culture. ",France,france,
rubber-tree-plantation-near-de-dja-reserve,,https://www.iucn.org/,,iucn,International Union for the Conservation of Nature,,IUCN ,,"The International Union for Conservation of Nature (IUCN) is a membership Union uniquely composed of both government and civil society organisations. It provides public, private and non-governmental organisations with the knowledge and tools that enable human progress, economic development and nature conservation to take place together.",,,
construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia,,http://www.msp-highway.com/,,ooo-severo-zapadnaja-konzessionnaja-kompanija-ooo-sieviero-zapadnaia-kontsiessionnaia-kompaniia,"OOO ""Severo-Zapadnaja konzessionnaja kompanija"" ООО ""Северо-Западная концессионная компания""",,,,,Russian Federation,russia,
represas-del-rio-santa-cruz1,,http://www.boc.cn/en/,,bank-of-china,Bank of China,,BOC,,The Bank of China (BOC; Chinese: 中国银行) is a Chinese national commercial bank headquartered in Beijing and the fourth largest bank in the world.,China,china,
represas-del-rio-santa-cruz1,,https://www.icbc.com.cn/ICBC/en,,industrial-and-commercial-bank-of-china-limited,Industrial and Commercial Bank of China Limited,,ICBC,,,China,china,
represas-del-rio-santa-cruz1,,http://www.cdb.com.cn/,,china-development-bank32,China Development Bank,,CDB,,"China Development Bank (CDB) was founded in 1994 as a policy financial institution under the direct leadership of the State Council. It was incorporated as China Development Bank Corporation in December 2008, and officially defined by the State Council as a development finance institution in March 2015. [accessed on 2017-11-24]
CDB has a registered capital of RMB 421.248 billion. Its shareholders include the Ministry of Finance of the People’s Republic of China (36.54%), Central Huijin Investment Ltd. (34.68%), Buttonwood Investment Holding Co., Ltd. (27.19%) and the National Council for Social Security Fund (1.59%).
CDB provides medium- to long-term financing facilities that serve China’s major long-term economic and social development strategies. By the end of 2016, its assets grew to RMB 14.34 trillion, a balance of loans of RMB 10.32 trillion. We also further enhanced our sustainability and risk management, delivering a net profit of RMB 109,667 million, ROA of 0.81%, ROE of 9.82%, and capital adequacy of 11.57%. Professional credit rating agencies including Moody's and Standard & Poor's have rated CDB at the same level as China’s sovereign rate.
CDB is the world’s largest development finance institution, and the largest Chinese bank for foreign investment and financing cooperation, long-term lending and bond issuance.
CDB currently has 37 primary branches and 3 secondary branches on the Chinese mainland, one offshore branch in Hong Kong and five representative offices in Cairo, Moscow, Rio de Janeiro, Caracas and London, with about 9,000 staff. Its subsidiaries include CDB Capital Co.,Ltd., CDB Securities Co.,Ltd., CDB Leasing Co.,Ltd. and China-Africa Development Fund Co.,Ltd..",China,china,
norsudtimber-illegal-in-drc,,https://www.afd.fr/en/agence-francaise-de-developpement,,agence-francaise-de-developpement,Agence Francaise de Developpement,,AFD,Financement de 18 millions de dollards pour le développement des exploitations forestières en RDC,"With Air France and the French Global Environment Facility (GEF), the French Development Agency (AFD)  launched a new phase of the program HCPF in Madagascar since april 2014. AFD granted 2 million euros.",France,france,
norsudtimber-illegal-in-drc,,http://mptf.undp.org,,multi-partner-trust-fund-office,Multi Partner Trust Fund Office,,MPTF,French government finances Nordsudtimber through its participation in the CAFI,"An United Nations fund administration, finances the Central African Forest initiative (CAFI)",,,
norsudtimber-illegal-in-drc,,http://www.cafi.org/content/cafi/en/home/our-work.html,,central-african-forest-initiative,Central African Forest Initiative ,,CAFI,French government finances Norsudtimber through its participation to CAFI,,,,
gold-min,,,,international-finance-corporation-of-world-bank, International Finance Corporation (of World Bank),,IFC,,Private finance branch of the World Bank,United States of America ,united-states-of-america,
gold-min,,https://www.cyanidecode.org,,international-cyanide-management-institute,International Cyanide Management Institute ,,,"Certified the Ahafo mine in 2008, as being up to standard.",,,,
jirau-and-santo-antonio-dams-on-madeira-river-brazil,,"http://www.iadb.org/en/about-us/about-the-inter-americahttp://www.iadb.org/en/inter-american-development-bank,2837.htmln-development-bank,5995.html",,inter-american-development-bank,Inter-American Development Bank,,IADB,,,,,
jirau-and-santo-antonio-dams-on-madeira-river-brazil,,,,river-plate-basin-development-fund-fondo-financiero-para-el-desarrollo-de-la-cuenca-del-plata,River Plate basin development fund - Fondo Financiero para el Desarrollo de la Cuenca del Plata,,,,,,,
jirau-and-santo-antonio-dams-on-madeira-river-brazil,,https://www.santander.com/,,banco-santander,Banco Santander,,Santander,,,Spain,spain,
jirau-and-santo-antonio-dams-on-madeira-river-brazil,,,,inter-american-commission-on-human-rights,Inter-American Commission on Human Rights,,,,,,,
jirau-and-santo-antonio-dams-on-madeira-river-brazil,,http://www.bndes.gov.br/,,banco-nacional-de-desenvolvimento-economico-e-social,Banco Nacional de Desenvolvimento Econômico e Social ,,BNDES,,"The Brazilian Development Bank (BNDES) is the main financing agent for development in Brazil. Since its foundation, in 1952, the BNDES has played a fundamental role in stimulating the expansion of industry and infrastructure in the country. Over the course of the Bank’s history, its operations have evolved in accordance with the Brazilian socio-economic challenges, and now they include support for exports, technological innovation, sustainable socio-environmental development and the modernization of public administration.",Brazil,brazil,
jirau-and-santo-antonio-dams-on-madeira-river-brazil,,,,caixa-fundo-de-investimentos-em-participacoes-amazonia-energia,Caixa Fundo de Investimentos em Participações Amazônia Energia,,,,,Brazil,brazil,
jirau-and-santo-antonio-dams-on-madeira-river-brazil,,,,saag-investimentos-sa,SAAG Investimentos S.A.,,,,,Brazil,brazil,
water-privatisation-egypt,,www.worldbank.org,,world-bank,The World Bank,,WB,,,United States of America ,united-states-of-america,
water-privatisation-egypt,,http://europa.eu/index_en.htm,,european-union,European Union,,EU,,Politico-economic union of 28 member states that are primarily located in Europe.,,,
water-privatisation-egypt,,,,us-agency-for-international-development,US Agency for International Development,,USAID,,,,,
jeannette-kawas-fernandez-case-honduras,,https://www.ramsar.org/,,ramsar-convention,Ramsar convention,,,,,,,
jeannette-kawas-fernandez-case-honduras,,http://www.corteidh.or.cr/,,comision-interamericana-de-derechos-humanos-cidh,Inter-American Court of Human Rights,,CIDH,,,,,
the-decimation-of-palestines-fishing-industry,,www.jpmorganchase.com/,,jp-morgan-chase-co,JP Morgan Chase,,JPM,,"Largest bank in the United States, 6th largest bank in the world by total assets. One of the Big Four U.S. banks.",United States of America ,united-states-of-america,
the-decimation-of-palestines-fishing-industry,,,,citibank,Citybank,,,,,United States of America ,united-states-of-america,
the-decimation-of-palestines-fishing-industry,,https://www.bankofamerica.com/,,bank-of-america,Bank of America,,BofA,,Multinational banking and financial services corporation headquartered in North Carolina. Second largest bank in the U.S. by assets. One of the Big Four Banks in the U.S.,United States of America ,united-states-of-america,
the-decimation-of-palestines-fishing-industry,,http://www.bk.mufg.jp/global/,,bank-of-tokyo-mitsubishi-ufj,The Bank of Tokyo Mitsubishi UFJ,,MUFG,,"Largest bank in Japan, eighth largest in the world according to Bloomberg. Serves as the core retail, corporate, and investment banking arm of the Mitsubishi UFJ Financial Group.",Japan,japan,
the-decimation-of-palestines-fishing-industry,,https://mizuhogroup.com/,,mizuho-bank,Mizuho Bank,,Mizuho,,The third largest financial service private company in Japan,Japan,japan,
the-decimation-of-palestines-fishing-industry,,http://www.dnb.no/en,,dnb-bank,DNB Bank,,,,Largest private financial services company in Norway.,Norway,norway,
fehmarn-belt-fixed-link-germany-denmark,,,,eu,EU,,,,,,,
planta-fotovoltaica-los-prados-53-mw-namasigue-honduras,,https://www.bcie.org/,,banco-centroamericano-de-integracion-economica94,Banco Centroamericano de Integración Económica,,BCIE,Financing ,"International development bank located in the Central American countries of Panama, Nicaragua, Honduras, Guatemala, El Salvador and Mexico",,,
planta-fotovoltaica-los-prados-53-mw-namasigue-honduras,,https://www.norfund.no/,,norfund,Norfund,,Norfund,,Private equity company owned by the Norwegian Ministry of foreign affairs.  ,Norway,norway,
saramaka-people-against-the-state-of-suriname,,http://www.corteidh.or.cr/,,comision-interamericana-de-derechos-humanos-cidh,Inter-American Court of Human Rights,,CIDH,,,,,
wastepickers-in-ankara-struggle-to-be-formally-incorporated-into-the-legal-waste-collecting-framework-turkey,,https://www.ilo.org,,international-labour-organization,International Labour Organization,,ILO,,"The International Labour Organization (ILO) is devoted to promoting social justice and internationally recognized human and labour rights, pursuing its founding mission that social justice is essential to universal and lasting peace.
Only tripartite U.N. agency, the ILO brings together governments, employers and workers representatives of 187 member States , to set labour standards, develop policies and devise programmes promoting decent work for all women and men.
Today, the ILO's Decent Work agenda  helps advance the economic and working conditions that give all workers, employers and governments a stake in lasting peace, prosperity and progress.",Switzerland,switzerland,
palm-islands-uae,,http://www.icbc.com.cn/icbc/en/,,industrial-and-commercial-bank-of-china22,Industrial and Commercial Bank of China,,ICBC,Funding the Viceroy Dubai Palm Jumeirah Resort,"Industrial and Commercial Bank of China Limited (ICBC; Chinese: 中国工商银行) is a Chinese multinational bank. Founded as a limited company on 1 January 1984, ICBC is a state-owned commercial bank.",China,china,
champlain-hudson-power-express,,https://www.blackstone.com/,,blackstone-group-lp,Blackstone Group LP,,,"Blackstone Group is one of the main funders of Transmission Developers Inc., and therefore one of the main funders of the Champlain Hudson Power Express.","Blackstone Group is a worldwide investment firm based in New York, NY. They invest primarily in real estate, private equity, hedge fund solutions, and credit and insurance. ",United States of America ,united-states-of-america,
champlain-hudson-power-express,,https://www.hydroquebec.com/residential/,,hydroquebec,HydroQuebec,,,"HydroQuebec is partnering with Transmission Developers Inc. to generate the hydroelectricity needed for the Champlain Hudson Power Express. In their deal, HydroQuebec is providing New York with 1,000 MW of energy. To meet their demand, HydroQuebec is planning on creating more dams , which will cause flooding and negatively impact the surrounding environment and the Innu Nation.","HydroQuebec is a Canadian institution that generates and sells hydropower. HydroQuebec is one of the largest producers of hydroelectricity in the world, with around 60 hydroelectric generating stations. ",Canada,canada,
homestead-temporary-shelter-for-unaccompanied-children,,,,caliburn-international,Caliburn International,,https://www.caliburnintl.com/,"Owner of CHS, operator of the Homestead Shelter.","Caliburn International is a conglomerate which owns Comprehensive Health Services.  According to their website, they provide ""synergistic, world-class solutions to support national defense, international diplomacy, healthcare, and homeland security.""",United States of America ,united-states-of-america,
ilisu-dam-project-turkey,,who.int/,,world-health-organization,World Health Organization,,WHO,,primary role is to direct internation health within the United Nations's system and lead partner in global health responses.,,,
ilisu-dam-project-turkey,,,,akbank,Akbank,,,,,Turkey,turkey,
ilisu-dam-project-turkey,,,,creditanstalt,Creditanstalt,,,,,Austria,austria,
ilisu-dam-project-turkey,,,,dekabank,DekaBank,,,,,Turkey,turkey,
ilisu-dam-project-turkey,,,,garantibank,GarantiBank,,,,,Turkey,turkey,
ilisu-dam-project-turkey,,,,oesterreichische-kontrollbank-aktiengesellschaft,Oesterreichische Kontrollbank Aktiengesellschaft,,OeKB,,,Austria,austria,
ilisu-dam-project-turkey,,,,sace,Sace,,,,,Italy,italy,
ilisu-dam-project-turkey,,,,serv,SERV,,,,,Switzerland,switzerland,
ilisu-dam-project-turkey,,,,euler-hermes-siac,Euler Hermes SIAC,,,,,Germany,germany,
ilisu-dam-project-turkey,,https://www.societegenerale.fr/,,societe-generale,Societe Generale,,SGA,,French multinational banking and financial services corporation. France's third largest bank by assets.,France,france,
ilisu-dam-project-turkey,,,,1,,,UBS,,,Switzerland,switzerland,
ilisu-dam-project-turkey,,https://www.unicredit.it/,,gruppo-unicredito-italiano,Gruppo Unicredito Italiano,,,,,Italy,italy,
lubicon-lake-nation-canada,,http://www.ohchr.org/EN/HRBodies/HRC/Pages/Home.aspx,,united-nation-human-rights-committee,United Nation Human Rights Committee,,UNHRC,Concludes that Canada is in violation of the Lubicon people’s rights and must consult before approving projects,"""The Human Rights Council is an inter-governmental body within the United Nations system made up of 47 States responsible for the promotion and protection of all human rights around the globe.""",,,
lubicon-lake-nation-canada,,,,stock-market-investors,Stock Market Investors,,,,,,,
pulot-citinickel-mine-in-palawan-philippines,,http://www.pse.com.ph/stockMarket/home.html,,the-philippine-stock-exchange-inc,The Philippine Stock Exchange Inc.,,PSE,,,Philippines,philippines,
pulot-citinickel-mine-in-palawan-philippines,,http://www.finex.org.ph/#,,financial-executives-institute-of-the-philippines-finex,Financial Executives Institute of the Philippines (FINEX),,FINEX,,,Philippines,philippines,
pulot-citinickel-mine-in-palawan-philippines,,,,bankers-association-of-the-philippines,Bankers  Association  of  the  Philippines,,,,,Philippines,philippines,
pulot-citinickel-mine-in-palawan-philippines,,https://www.devbnkphl.com/,,development-bank-of-the-philippines,Development Bank of the Philippines,,,"banking, finance",,Philippines,philippines,
pulot-citinickel-mine-in-palawan-philippines,,,,investment-house-association-of-the-philippines,Investment House Association of the Philippines,,,,,Philippines,philippines,
pulot-citinickel-mine-in-palawan-philippines,,https://www.sss.gov.ph/,,social-security-system-philippines,Social Security System Philippines,,,,,Philippines,philippines,
pulot-citinickel-mine-in-palawan-philippines,,https://www.citibank.com.ph/portal/citiph_home.htm,,citibank-philippines,Citibank Philippines,,,,,Philippines,philippines,
pulot-citinickel-mine-in-palawan-philippines,,,,hongkong-shanghai-banking-corp-ltd,Hongkong Shanghai Banking Corp. LTD,,,,,"Hong Kong SAR, China",hong-kong-sar-china,
pulot-citinickel-mine-in-palawan-philippines,,http://www.db.com/,,deutsche-bank,Deutsche Bank,,DB,,A large German banking and finance corporation.,Germany,germany,
lead-in-enamel-paint-in-sri-lanka,,who.int/,,world-health-organization,World Health Organization,,WHO,,primary role is to direct internation health within the United Nations's system and lead partner in global health responses.,,,
cerro-el-alguacil-inarwa-colombia,,www.un.org,,united-nations-human-rights-council,United Nations Human Rights Council,,UN,,,United States of America ,united-states-of-america,
air-france-wwf-goodplanet-holistic-conservation-program-madagascar,,http://www.wwf.org.pe/,,wwf,WWF,,,,Acting here as financial and management intermediary,Mexico,mexico,
air-france-wwf-goodplanet-holistic-conservation-program-madagascar,,,,fonds-francais-pour-lenvironnement-mondial,Fonds Français pour l'environnement mondial ,,FFEM,,"With Air France and the French Development Agency (AFD), the French Global Environment Facility (GEF) launched a new phase of the program HCPF in Madagascar since april 2014. GEF granted 1,5 million euros.",France,france,
air-france-wwf-goodplanet-holistic-conservation-program-madagascar,,http://www.etcterra.org/fr/,,etc-terra,Etc Terra ,,,,"The french association Etc Terra was created within the Action Carbon Program of the GoodPlanet Foundation (created by Yann Arthus-Bertrand) and will manage the allocated funds and local actions for the second phase of the Program in Madagascar. 
Members and administrators are from development agency AFD, from Big Environmental NGO like Conservation International and Island Conservation ; from Air France ; experts from the REDD+ and carbon sector and a former Environment Minister in Madagascar.",France,france,
air-france-wwf-goodplanet-holistic-conservation-program-madagascar,,https://www.afd.fr/en/agence-francaise-de-developpement,,agence-francaise-de-developpement,Agence Francaise de Developpement,,AFD,,"With Air France and the French Global Environment Facility (GEF), the French Development Agency (AFD)  launched a new phase of the program HCPF in Madagascar since april 2014. AFD granted 2 million euros.",France,france,
yacyreta-dam-on-the-parana-river-argentina,,www.worldbank.org,,world-bank,The World Bank,,WB,,,United States of America ,united-states-of-america,
yacyreta-dam-on-the-parana-river-argentina,,"http://www.iadb.org/en/about-us/about-the-inter-americahttp://www.iadb.org/en/inter-american-development-bank,2837.htmln-development-bank,5995.html",,inter-american-development-bank,Inter-American Development Bank,,IADB,,,,,
amazone-a-defendre-against-a-solar-megapower-plant-french-guyana,,https://www.afd.fr/en/agence-francaise-de-developpement,,agence-francaise-de-developpement,Agence Francaise de Developpement,,AFD,,"With Air France and the French Global Environment Facility (GEF), the French Development Agency (AFD)  launched a new phase of the program HCPF in Madagascar since april 2014. AFD granted 2 million euros.",France,france,
amazone-a-defendre-against-a-solar-megapower-plant-french-guyana,,https://www.bpifrance.com/,,bpifrance,BpiFrance,,Bpi,Lends funds,French public investment bank,France,france,
amazone-a-defendre-against-a-solar-megapower-plant-french-guyana,,http://www.eib.org,,european-investment-bank,European Investment Bank,,EIB,,,,,
amazone-a-defendre-against-a-solar-megapower-plant-french-guyana,,http://www.bnpparibas.com/,,bnp-paribas,BNP Paribas,,BNP,,,France,france,
amazone-a-defendre-against-a-solar-megapower-plant-french-guyana,,https://www.cic.fr/,,credit-industriel-et-commercial,Credit Industriel et Commercial,,CIC,Lender,French private bank,France,france,
amazone-a-defendre-against-a-solar-megapower-plant-french-guyana,,https://www.smbc.co.jp/global/,,sumitomo-mitsui-banking-corporation-smbc,Sumitomo Mitsui Banking Corporation (SMBC),,SMBC,,"One of the largest global financial institutions in project finance space by total loan value;  the second largest banking institution by total assets and market capitalization in Japan; 12th biggest bank in the world by total assets, 80th largest public company in the world according to Forbes ranking;",Japan,japan,
potosi-mines-of-cerro-rico-bolivia,,http://www.opic.gov/,,overseas-private-investment-corporation,Overseas Private Investment Corporation,,OPIC,,,United States of America ,united-states-of-america,
potosi-mines-of-cerro-rico-bolivia,,http://whc.unesco.org/,,unesco,"UNESCO - United Nations Educational, Scientific and Cultural Organization",,UNESCO,,"UNESCO is the United Nations Educational, Scientific and Cultural Organization. It seeks to build peace through international cooperation in Education, the Sciences and Culture. ",France,france,
oil-extraction-in-the-indigenous-motilon-bari-territory-colombia,,http://www.unhcr.org/pages/49c3646c2.html,,united-nations-high-commissioner-for-refugees,United Nations High Commissioner for Refugees ,,UNHCR,,,,,
dai-ninh-hydropower-project-dong-nai-river-vietnam,,www.worldbank.org,,world-bank,The World Bank,,WB,,,United States of America ,united-states-of-america,
dai-ninh-hydropower-project-dong-nai-river-vietnam,,http://www.jbic.go.jp/en,,japan-bank-for-international-cooperation,Japan Bank for International Corporation,,JBIC,,,Japan,japan,
pt-rea-kaltim-plantations-in-east-kalimantan,,http://www.rspo.org,,roundtable-on-sustainable-palm-oil-rspo,Roundtable on Sustainable Palm Oil (RSPO),,RSPO,,Multi-stakeholder initiative that says to promote the cultivation of sustainable palm oil,,,
nembe-creek-oil-spill-communities-livelihoods-threatened,,,,unknown,Unknown,,,,no se ha definido el tipo de financiamiento,,,
foz-coa-dam-guarda-portugal,,http://australia.icomos.org/get-involved/international-scientific-committees/car-rock-art/,,international-committee-on-rock-art,International Committee on Rock Art,,CAR,,The aim of the Rock Art Committee is to promote international co-operation and to provide advice to International Council on Monuments and Sites-ICOMOS and to UNESCO organs on their activities in the field of rock art. ,,,
thalifushi-landfill-a-toxic-bomb-in-the-ocean-maldives,,www.worldbank.org,,world-bank,The World Bank,,WB,,,United States of America ,united-states-of-america,
thalifushi-landfill-a-toxic-bomb-in-the-ocean-maldives,,,,corporacion-financiera-internacional,Corporación financiera Internacional,,CFI,,,,,
kedung-ombo-dam-indonesia,,,,european-economic-community,European Economic Community,,,,,,,
kedung-ombo-dam-indonesia,,,,export-import-bank-japan,Export-Import Bank Japan,,,,,Japan,japan,
kedung-ombo-dam-indonesia,,www.worldbank.org,,world-bank,The World Bank,,WB,,,United States of America ,united-states-of-america,
kedung-ombo-dam-indonesia,,,,us-agency-for-international-development,US Agency for International Development,,USAID,,,,,
protect-kok-zhailau-ile-alatau-state-national-nature-park-kazakhstan,,http://whc.unesco.org/,,unesco,"UNESCO - United Nations Educational, Scientific and Cultural Organization",,UNESCO,,"UNESCO is the United Nations Educational, Scientific and Cultural Organization. It seeks to build peace through international cooperation in Education, the Sciences and Culture. ",France,france,
protect-kok-zhailau-ile-alatau-state-national-nature-park-kazakhstan,,https://www.iucn.org/,,iucn,International Union for the Conservation of Nature,,IUCN ,,"The International Union for Conservation of Nature (IUCN) is a membership Union uniquely composed of both government and civil society organisations. It provides public, private and non-governmental organisations with the knowledge and tools that enable human progress, economic development and nature conservation to take place together.",,,
tia-maria-peru,,,,oficina-de-las-naciones-unidas-de-servicios-para-proyectos,Oficina de las Naciones Unidas de Servicios para Proyectos,,,,,,,
cienaga-grande-de-santa-marta-colombia,,www.un.org,,united-nations-human-rights-council,United Nations Human Rights Council,,UN,,,United States of America ,united-states-of-america,
cienaga-grande-de-santa-marta-colombia,,https://www.ramsar.org/,,ramsar-convention,Ramsar convention,,,,,,,
cienaga-grande-de-santa-marta-colombia,,"http://www.iadb.org/en/about-us/about-the-inter-americahttp://www.iadb.org/en/inter-american-development-bank,2837.htmln-development-bank,5995.html",,inter-american-development-bank,Inter-American Development Bank,,IADB,,,,,
water-rights-and-access-injustice-in-detroits-urban-areas,,www.un.org,,united-nations-human-rights-council,United Nations Human Rights Council,,UN,,,United States of America ,united-states-of-america,
gaza-cement-factory-palestine,,http://www.pif.ps/english.php,,palestinian-investment-fund,Palestinian Investment Fund,,PIF,Purchased the Lot,Palestine Investment Fund is the national sovereign fund of the State of Palestine and strives to develop the country’s national assets and resources for the purpose of achieving national economic empowerment guided by a vision and a work philosophy premised on the best values and business practice. Palestine Investment Fund was established in 2003 as an independent public limited company.,Palestine,palestine,
the-people-versus-arctic-oil,,,,norges-bank,Norges Bank,,,,Norwegian Central bank,Norway,norway,
the-people-versus-arctic-oil,,,,norwegian-oil-fund,Statens pensjonsfond,,,,"Statens pensjonsfond is the The Government Pension Fund of Norway, which comprises two entirely separate sovereign wealth funds owned by the government of Norway.
The Government Pension Fund Global, also known as the Oil Fund, was established in 1990 to invest the surplus revenues of the Norwegian petroleum sector",Norway,norway,
over-a-century-of-the-pollution-from-the-bor-mines-serbia,,www.worldbank.org,,world-bank,The World Bank,,WB,Provider of the credit for the restoration project,,United States of America ,united-states-of-america,
