UID,global_production,price,slug,main_producers,name,type,id,description,products
mokoron-hill-nicaragua,,,water,,Water,,45.0,,
mokoron-hill-nicaragua,,,sand-gravel,,"Sand, gravel",,36.0,,
illegal-stone-quarry-in-andarawewa-forest-reserve,,,other,,Other,,57.0,,
illegal-stone-quarry-in-andarawewa-forest-reserve,,,sand-gravel,,"Sand, gravel",,36.0,,
marble-mining-in-indigenous-mollo-territory-in-west-timor-indonesia,,,other,,Other,,57.0,,
water-pollution-caused-by-coal-mines-and-gas-field-at-xiaohaotu-shaanxi-china,,,land,,Land,,23.0,,
water-pollution-caused-by-coal-mines-and-gas-field-at-xiaohaotu-shaanxi-china,,,natural-gas,,Natural Gas,,29.0,,
water-pollution-caused-by-coal-mines-and-gas-field-at-xiaohaotu-shaanxi-china,,,coal,,Coal,,7.0,,
bc-hydro-site-c-dam-canada,,,land,,Land,,23.0,,
bc-hydro-site-c-dam-canada,,,electricity,,Electricity,,15.0,,
bc-hydro-site-c-dam-canada,,,water,,Water,,45.0,,
sponge-iron-factories-in-west-bengal-india,,,industrial-waste,,Industrial waste,,49.0,,
sponge-iron-factories-in-west-bengal-india,,,iron-ore,,Iron ore,,21.0,,
sponge-iron-factories-in-west-bengal-india,,,coal,,Coal,,7.0,,
roma-in-the-settlement-kale-displaced-under-the-excuse-of-a-hotel-complex-construction-skopje-macedonia,,,tourism-services,,Tourism services,,54.0,,
roma-in-the-settlement-kale-displaced-under-the-excuse-of-a-hotel-complex-construction-skopje-macedonia,,,land,,Land,,23.0,,
saemangeun-reclamation-project-south-korea,,,fish,,Fish,,18.0,,
saemangeun-reclamation-project-south-korea,,,biological-resources,,Biological resources,,46.0,,
proyecto-caycayen-neuquen-argentina,,,copper,,Copper,,9.0,,
water-privatisation-egypt,,,other,,Other,,57.0,,
water-privatisation-egypt,,,water,,Water,,45.0,,
guajajara-community-against-illegal-loggers-in-terra-indigena-arariboia-maranhao-brazil,,,land,,Land,,23.0,,
guajajara-community-against-illegal-loggers-in-terra-indigena-arariboia-maranhao-brazil,,,timber,,Timber,,53.0,,
wanning-waste-to-energy-plant-hainan-china,,,domestic-municipal-waste,,Domestic municipal waste,,47.0,,
wanning-waste-to-energy-plant-hainan-china,,,electricity,,Electricity,,15.0,,
wanning-waste-to-energy-plant-hainan-china,,,water,,Water,,45.0,,
paks-nuclear-plant-expansion-hungary,,,other,,Other,,57.0,,
paks-nuclear-plant-expansion-hungary,,,electricity,,Electricity,,15.0,,
paks-nuclear-plant-expansion-hungary,,,uranium,,Uranium,,42.0,,
polluted-drinking-water-in-basra,,,biological-resources,,Biological resources,,46.0,,
polluted-drinking-water-in-basra,,,water,,Water,,45.0,,
public-interest-litigation-against-tianji-luan-chemical-due-to-air-pollution-shanxi-china,,,chemical-products,,Chemical products,,50.0,,
public-interest-litigation-against-tianji-luan-chemical-due-to-air-pollution-shanxi-china,,,coal,,Coal,,7.0,,
jeannette-kawas-fernandez-case-honduras,,,palm-oil,,Palm oil,,30.0,,
jeannette-kawas-fernandez-case-honduras,,,timber,,Timber,,53.0,,
the-decimation-of-palestines-fishing-industry,,,fish,,Fish,,18.0,,
the-decimation-of-palestines-fishing-industry,,,natural-gas,,Natural Gas,,29.0,,
the-decimation-of-palestines-fishing-industry,,,biological-resources,,Biological resources,,46.0,,
the-decimation-of-palestines-fishing-industry,,,water,,Water,,45.0,,
northstar-oil-field-usa,,,crude-oil,,Crude oil,,12.0,,
conexao-abrolhos-campaign-against-the-auction-of-oil-and-gas-blocks-close-to-abrolhos,,,crude-oil,,Crude oil,,12.0,,
conexao-abrolhos-campaign-against-the-auction-of-oil-and-gas-blocks-close-to-abrolhos,,,natural-gas,,Natural Gas,,29.0,,
chachi-indigenous-centre-el-encanto-vs-durini-ecuador,,,other,,Other,,57.0,,
fehmarn-belt-fixed-link-germany-denmark,,,other,,Other,,57.0,,
fehmarn-belt-fixed-link-germany-denmark,,,tourism-services,,Tourism services,,54.0,,
planta-fotovoltaica-los-prados-53-mw-namasigue-honduras,,,land,,Land,,23.0,,
planta-fotovoltaica-los-prados-53-mw-namasigue-honduras,,,electricity,,Electricity,,15.0,,
planta-fotovoltaica-los-prados-53-mw-namasigue-honduras,,,water,,Water,,45.0,,
saramaka-people-against-the-state-of-suriname,,,gold,,Gold,,20.0,,
saramaka-people-against-the-state-of-suriname,,,land,,Land,,23.0,,
saramaka-people-against-the-state-of-suriname,,,electricity,,Electricity,,15.0,,
saramaka-people-against-the-state-of-suriname,,,timber,,Timber,,53.0,,
waste-management-in-subotica,,,domestic-municipal-waste,,Domestic municipal waste,,47.0,,
waste-management-in-subotica,,,other,,Other,,57.0,,
wastepickers-in-ankara-struggle-to-be-formally-incorporated-into-the-legal-waste-collecting-framework-turkey,,,domestic-municipal-waste,,Domestic municipal waste,,47.0,,
wastepickers-in-ankara-struggle-to-be-formally-incorporated-into-the-legal-waste-collecting-framework-turkey,,,other,,Other,,57.0,,
alibag-sez-in-mumbai-mh-india,,,land,,Land,,23.0,,
palm-islands-uae,,,tourism-services,,Tourism services,,54.0,,
palm-islands-uae,,,sand-gravel,,"Sand, gravel",,36.0,,
champlain-hudson-power-express,,,land,,Land,,23.0,,
champlain-hudson-power-express,,,carbon-offsets,,Carbon offsets,,4.0,,
champlain-hudson-power-express,,,electricity,,Electricity,,15.0,,
champlain-hudson-power-express,,,water,,Water,,45.0,,
illegal-mining-at-bainaimiao-coal-mine-in-dorbod-banner-ulanqab-inner-mongolia-china,,,coal,,Coal,,7.0,,
health-and-environmental-impacts-of-the-petrochemical-complex-in-tarragona-spain,,,industrial-waste,,Industrial waste,,49.0,,
health-and-environmental-impacts-of-the-petrochemical-complex-in-tarragona-spain,,,chemical-products,,Chemical products,,50.0,,
homestead-temporary-shelter-for-unaccompanied-children,,,chemical-products,,Chemical products,,50.0,,
homestead-temporary-shelter-for-unaccompanied-children,,,lead,,Lead,,24.0,,
ilisu-dam-project-turkey,,,land,,Land,,23.0,,
ilisu-dam-project-turkey,,,electricity,,Electricity,,15.0,,
ilisu-dam-project-turkey,,,water,,Water,,45.0,,
alton-gas-canada,,,natural-gas,,Natural Gas,,29.0,,
bedouin-israeli-citizens-expelled-from-their-land-by-the-state-israel,,,other,,Other,,57.0,,
bedouin-israeli-citizens-expelled-from-their-land-by-the-state-israel,,,land,,Land,,23.0,,
bedouin-israeli-citizens-expelled-from-their-land-by-the-state-israel,,,electricity,,Electricity,,15.0,,
karad-airport-expansion-maharashtra-india,,,land,,Land,,23.0,,
karad-airport-expansion-maharashtra-india,,,water,,Water,,45.0,,
karad-airport-expansion-maharashtra-india,,,cut-flowers,,Cut flowers,,13.0,,
karad-airport-expansion-maharashtra-india,,,rare-metals,,Rare metals,,32.0,,
lagunas-de-castrovirreyna,,,gold,,Gold,,20.0,,
lagunas-de-castrovirreyna,,,water,,Water,,45.0,,
lagunas-de-castrovirreyna,,,silver,,Silver,,38.0,,
the-shenzhen-pneumoconiosis-crisis-guangdong-china,,,other,,Other,,57.0,,
the-shenzhen-pneumoconiosis-crisis-guangdong-china,,,cement,,Cement,,55.0,,
fair-creek-old-growth-logging-protests,,,timber,,Timber,,53.0,,
bateke-carbon-sink,,,other,,Other,,57.0,,
bateke-carbon-sink,,,land,,Land,,23.0,,
bateke-carbon-sink,,,carbon-offsets,,Carbon offsets,,4.0,,
bateke-carbon-sink,,,charcoal,,Charcoal,,6.0,,
bateke-carbon-sink,,,timber,,Timber,,53.0,,
protest-against-the-plnnaed-qingshuihe-waste-incineration-power-plant-luohu-district-shenzhen-china,,,domestic-municipal-waste,,Domestic municipal waste,,47.0,,
protest-against-the-plnnaed-qingshuihe-waste-incineration-power-plant-luohu-district-shenzhen-china,,,industrial-waste,,Industrial waste,,49.0,,
protest-against-the-plnnaed-qingshuihe-waste-incineration-power-plant-luohu-district-shenzhen-china,,,electricity,,Electricity,,15.0,,
shell-contractors-fingered-in-bodo-community-oil-theft-explosion-nigeria,,,crude-oil,,Crude oil,,12.0,,
shell-contractors-fingered-in-bodo-community-oil-theft-explosion-nigeria,,,other,,Other,,57.0,,
four-sand-mining-related-deaths-in-jatpura-village-garhwa-district-jharkhand-india,,,water,,Water,,45.0,,
four-sand-mining-related-deaths-in-jatpura-village-garhwa-district-jharkhand-india,,,sand-gravel,,"Sand, gravel",,36.0,,
oil-exploration-within-somalias-semi-autonomous-puntland-region,,,crude-oil,,Crude oil,,12.0,,
c-332-people-with-excessive-blood-lead-caused-by-a-sino-foreign-joint-venture-in-deqing-county-of-zhejiang,,,other,,Other,,57.0,,
c-332-people-with-excessive-blood-lead-caused-by-a-sino-foreign-joint-venture-in-deqing-county-of-zhejiang,,,chemical-products,,Chemical products,,50.0,,
c-332-people-with-excessive-blood-lead-caused-by-a-sino-foreign-joint-venture-in-deqing-county-of-zhejiang,,,lead,,Lead,,24.0,,
lubicon-lake-nation-canada,,,crude-oil,,Crude oil,,12.0,,
lubicon-lake-nation-canada,,,land,,Land,,23.0,,
lubicon-lake-nation-canada,,,water,,Water,,45.0,,
koroama-women-stage-protest-alleging-neglect-by-shell-nigeria,,,crude-oil,,Crude oil,,12.0,,
koroama-women-stage-protest-alleging-neglect-by-shell-nigeria,,,other,,Other,,57.0,,
lignite-mining-janschwalde-horno-germany,,,other,,Other,,57.0,,
lignite-mining-janschwalde-horno-germany,,,land,,Land,,23.0,,
lignite-mining-janschwalde-horno-germany,,,coal,,Coal,,7.0,,
appiko-movement-western-ghats-india,,,other,,Other,,57.0,,
appiko-movement-western-ghats-india,,,eucalyptus,,Eucalyptus,,17.0,,
appiko-movement-western-ghats-india,,,land,,Land,,23.0,,
appiko-movement-western-ghats-india,,,cellulose,,Cellulose,,5.0,,
appiko-movement-western-ghats-india,,,timber,,Timber,,53.0,,
environmental-injustice-and-social-vulnerability-due-to-dams-embankments-and-bank-erosion-in-the-ganga-kosi-floodplains-of-bihar-india,,,other,,Other,,57.0,,
environmental-injustice-and-social-vulnerability-due-to-dams-embankments-and-bank-erosion-in-the-ganga-kosi-floodplains-of-bihar-india,,,ecosystem-services,,Ecosystem Services,,56.0,,
environmental-injustice-and-social-vulnerability-due-to-dams-embankments-and-bank-erosion-in-the-ganga-kosi-floodplains-of-bihar-india,,,fish,,Fish,,18.0,,
environmental-injustice-and-social-vulnerability-due-to-dams-embankments-and-bank-erosion-in-the-ganga-kosi-floodplains-of-bihar-india,,,land,,Land,,23.0,,
environmental-injustice-and-social-vulnerability-due-to-dams-embankments-and-bank-erosion-in-the-ganga-kosi-floodplains-of-bihar-india,,,water,,Water,,45.0,,
environmental-injustice-and-social-vulnerability-due-to-dams-embankments-and-bank-erosion-in-the-ganga-kosi-floodplains-of-bihar-india,,,sand-gravel,,"Sand, gravel",,36.0,,
pulot-citinickel-mine-in-palawan-philippines,,,other,,Other,,57.0,,
pulot-citinickel-mine-in-palawan-philippines,,,land,,Land,,23.0,,
pulot-citinickel-mine-in-palawan-philippines,,,iron-ore,,Iron ore,,21.0,,
pulot-citinickel-mine-in-palawan-philippines,,,rare-metals,,Rare metals,,32.0,,
sufrimiento-ambiental-en-villa-inflamable-argentina,,,crude-oil,,Crude oil,,12.0,,
sufrimiento-ambiental-en-villa-inflamable-argentina,,,natural-gas,,Natural Gas,,29.0,,
sufrimiento-ambiental-en-villa-inflamable-argentina,,,electricity,,Electricity,,15.0,,
sufrimiento-ambiental-en-villa-inflamable-argentina,,,water,,Water,,45.0,,
