name,groups_mobilizing,slug
Neighbours/citizens/communities,,wpb-colliery-in-dullstroom-mpumalanga-south-africa
Recreational users,,wpb-colliery-in-dullstroom-mpumalanga-south-africa
Local scientists/professionals,,wpb-colliery-in-dullstroom-mpumalanga-south-africa
Other,,wpb-colliery-in-dullstroom-mpumalanga-south-africa
Fisher people,,wpb-colliery-in-dullstroom-mpumalanga-south-africa
Farmers and peasants,,wpb-colliery-in-dullstroom-mpumalanga-south-africa
Indigenous groups or traditional communities,,a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia
Local ejos,,a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia
Women,,a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia
International ejos,,lake-chad-desertification-chad
Local government/political parties,,lake-chad-desertification-chad
Local scientists/professionals,,lake-chad-desertification-chad
Fisher people,,lake-chad-desertification-chad
Farmers and peasants,,lake-chad-desertification-chad
Indigenous groups or traditional communities,,xochicuautla-comunidadotomi-mexico
Local ejos,,xochicuautla-comunidadotomi-mexico
Neighbours/citizens/communities,,xochicuautla-comunidadotomi-mexico
Social movements,,xochicuautla-comunidadotomi-mexico
Local scientists/professionals,,xochicuautla-comunidadotomi-mexico
Farmers and peasants,,xochicuautla-comunidadotomi-mexico
Indigenous groups or traditional communities,,developments-along-the-shores-of-lake-elementaita-kenya
Local ejos,,developments-along-the-shores-of-lake-elementaita-kenya
Recreational users,,developments-along-the-shores-of-lake-elementaita-kenya
Other,,developments-along-the-shores-of-lake-elementaita-kenya
Indigenous groups or traditional communities,,congo-coltan-in-the-kivu-region-dr-of-congo
International ejos,,congo-coltan-in-the-kivu-region-dr-of-congo
Neighbours/citizens/communities,,congo-coltan-in-the-kivu-region-dr-of-congo
Social movements,,congo-coltan-in-the-kivu-region-dr-of-congo
Ethnically/racially discriminated groups,,congo-coltan-in-the-kivu-region-dr-of-congo
Indigenous groups or traditional communities,,lesten-tampur-dam
International ejos,,lesten-tampur-dam
Local ejos,,lesten-tampur-dam
Social movements,,lesten-tampur-dam
Local scientists/professionals,,lesten-tampur-dam
Indigenous groups or traditional communities,,sime-darby-plantation-land-conflict-liberia
International ejos,,sime-darby-plantation-land-conflict-liberia
Local ejos,,sime-darby-plantation-land-conflict-liberia
Neighbours/citizens/communities,,sime-darby-plantation-land-conflict-liberia
Farmers and peasants,,sime-darby-plantation-land-conflict-liberia
International ejos,,obsolete-pesticides-in-abaco-island-bahamas
Local ejos,,obsolete-pesticides-in-abaco-island-bahamas
Neighbours/citizens/communities,,obsolete-pesticides-in-abaco-island-bahamas
Indigenous groups or traditional communities,,anglo-platinum-mogalakwena-mine-lawsuit-south-africa
International ejos,,anglo-platinum-mogalakwena-mine-lawsuit-south-africa
Neighbours/citizens/communities,,anglo-platinum-mogalakwena-mine-lawsuit-south-africa
Indigenous groups or traditional communities,,mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations
Local ejos,,mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations
Fisher people,,mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations
Farmers and peasants,,mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations
Indigenous groups or traditional communities,,oil-drilling-in-the-national-park-of-calilegua
International ejos,,oil-drilling-in-the-national-park-of-calilegua
Neighbours/citizens/communities,,oil-drilling-in-the-national-park-of-calilegua
Trade unions,,oil-drilling-in-the-national-park-of-calilegua
Religious groups,,oil-drilling-in-the-national-park-of-calilegua
Neighbours/citizens/communities,,rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong
Pastoralists,,rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong
Farmers and peasants,,rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong
Local ejos,,irish-cement
Local government/political parties,,irish-cement
Neighbours/citizens/communities,,irish-cement
Local scientists/professionals,,irish-cement
Industrial workers,,centrale-elettronucleare-alto-lazio-di-montalto-di-castro
Local ejos,,centrale-elettronucleare-alto-lazio-di-montalto-di-castro
Local government/political parties,,centrale-elettronucleare-alto-lazio-di-montalto-di-castro
Neighbours/citizens/communities,,centrale-elettronucleare-alto-lazio-di-montalto-di-castro
Pastoralists,,centrale-elettronucleare-alto-lazio-di-montalto-di-castro
Trade unions,,centrale-elettronucleare-alto-lazio-di-montalto-di-castro
Local scientists/professionals,,centrale-elettronucleare-alto-lazio-di-montalto-di-castro
Farmers and peasants,,centrale-elettronucleare-alto-lazio-di-montalto-di-castro
Indigenous groups or traditional communities,,telangana-government-plantation-programme
Neighbours/citizens/communities,,telangana-government-plantation-programme
Farmers and peasants,,telangana-government-plantation-programme
Local ejos,,yalova-vopak-chemical-storage-terminal-turkey
Neighbours/citizens/communities,,yalova-vopak-chemical-storage-terminal-turkey
Social movements,,yalova-vopak-chemical-storage-terminal-turkey
Farmers and peasants,,yalova-vopak-chemical-storage-terminal-turkey
Indigenous groups or traditional communities,,rare-earth-mining-in-mountains-of-myanmar
International ejos,,rare-earth-mining-in-mountains-of-myanmar
Local ejos,,rare-earth-mining-in-mountains-of-myanmar
Landless peasants,,rare-earth-mining-in-mountains-of-myanmar
Neighbours/citizens/communities,,rare-earth-mining-in-mountains-of-myanmar
Pastoralists,,rare-earth-mining-in-mountains-of-myanmar
Ethnically/racially discriminated groups,,rare-earth-mining-in-mountains-of-myanmar
Religious groups,,rare-earth-mining-in-mountains-of-myanmar
Fisher people,,rare-earth-mining-in-mountains-of-myanmar
Farmers and peasants,,rare-earth-mining-in-mountains-of-myanmar
Artisanal miners,,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines
Indigenous groups or traditional communities,,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines
Local ejos,,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines
Local government/political parties,,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines
Women,,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines
Ethnically/racially discriminated groups,,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines
Religious groups,,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines
Other,,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines
Farmers and peasants,,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines
Local ejos,,depredacion-ecologica-en-el-cerro-de-el-cimatario
Neighbours/citizens/communities,,depredacion-ecologica-en-el-cerro-de-el-cimatario
Social movements,,depredacion-ecologica-en-el-cerro-de-el-cimatario
Recreational users,,depredacion-ecologica-en-el-cerro-de-el-cimatario
Local scientists/professionals,,depredacion-ecologica-en-el-cerro-de-el-cimatario
Other,,depredacion-ecologica-en-el-cerro-de-el-cimatario
Local government/political parties,,contaminacion-del-rio-pirai
Neighbours/citizens/communities,,contaminacion-del-rio-pirai
Social movements,,contaminacion-del-rio-pirai
Local scientists/professionals,,contaminacion-del-rio-pirai
Local government/political parties,,chuangyuan-aluminium-plant-pollution-in-hunan-china
Neighbours/citizens/communities,,chuangyuan-aluminium-plant-pollution-in-hunan-china
Local ejos,,buryatia-vs-yukos-oil-russian-federation
Neighbours/citizens/communities,,buryatia-vs-yukos-oil-russian-federation
Local scientists/professionals,,buryatia-vs-yukos-oil-russian-federation
Religious groups,,buryatia-vs-yukos-oil-russian-federation
Farmers and peasants,,buryatia-vs-yukos-oil-russian-federation
Local ejos,,wisco-soalala-iron-ore-madagascar
Neighbours/citizens/communities,,wisco-soalala-iron-ore-madagascar
Recreational users,,wisco-soalala-iron-ore-madagascar
Local scientists/professionals,,wisco-soalala-iron-ore-madagascar
Other,,wisco-soalala-iron-ore-madagascar
Indigenous groups or traditional communities,,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india
Local ejos,,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india
Landless peasants,,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india
Neighbours/citizens/communities,,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india
Social movements,,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india
Local scientists/professionals,,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india
Fisher people,,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india
Farmers and peasants,,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india
Indigenous groups or traditional communities,,illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun
Local government/political parties,,illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun
Neighbours/citizens/communities,,illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun
Pastoralists,,illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun
Social movements,,illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun
"Wastepickers, recyclers",,illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun
Local scientists/professionals,,illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun
Farmers and peasants,,illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun
International ejos,,exploratory-fracking-at-kirby-misperton-yorkshire
Local ejos,,exploratory-fracking-at-kirby-misperton-yorkshire
Local government/political parties,,exploratory-fracking-at-kirby-misperton-yorkshire
Neighbours/citizens/communities,,exploratory-fracking-at-kirby-misperton-yorkshire
Social movements,,exploratory-fracking-at-kirby-misperton-yorkshire
Women,,exploratory-fracking-at-kirby-misperton-yorkshire
Other,,exploratory-fracking-at-kirby-misperton-yorkshire
Farmers and peasants,,exploratory-fracking-at-kirby-misperton-yorkshire
Indigenous groups or traditional communities,,bedford-biofuels-jatropha-tana-delta-kenya
International ejos,,bedford-biofuels-jatropha-tana-delta-kenya
Local ejos,,bedford-biofuels-jatropha-tana-delta-kenya
Landless peasants,,bedford-biofuels-jatropha-tana-delta-kenya
Local government/political parties,,bedford-biofuels-jatropha-tana-delta-kenya
Neighbours/citizens/communities,,bedford-biofuels-jatropha-tana-delta-kenya
Pastoralists,,bedford-biofuels-jatropha-tana-delta-kenya
Local scientists/professionals,,bedford-biofuels-jatropha-tana-delta-kenya
Fisher people,,bedford-biofuels-jatropha-tana-delta-kenya
Farmers and peasants,,bedford-biofuels-jatropha-tana-delta-kenya
International ejos,,derrame-de-petroleo-en-el-campo-de-frade-brazil
Local ejos,,derrame-de-petroleo-en-el-campo-de-frade-brazil
Indigenous groups or traditional communities,,chemehuevi-indian-tribe-off-roading-damage
Local government/political parties,,chemehuevi-indian-tribe-off-roading-damage
Other,,chemehuevi-indian-tribe-off-roading-damage
Indigenous groups or traditional communities,,clayoquot-sound-canada
International ejos,,clayoquot-sound-canada
Local ejos,,clayoquot-sound-canada
Neighbours/citizens/communities,,clayoquot-sound-canada
Social movements,,clayoquot-sound-canada
Women,,clayoquot-sound-canada
Recreational users,,clayoquot-sound-canada
Local scientists/professionals,,clayoquot-sound-canada
Other,,clayoquot-sound-canada
Fisher people,,clayoquot-sound-canada
International ejos,,adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india
Local ejos,,adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india
Landless peasants,,adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india
Local government/political parties,,adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india
Neighbours/citizens/communities,,adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india
Pastoralists,,adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india
Ethnically/racially discriminated groups,,adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india
Farmers and peasants,,adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india
Local ejos,,nuclear-waste-storage-in-villar-de-canas-spain
Local government/political parties,,nuclear-waste-storage-in-villar-de-canas-spain
Neighbours/citizens/communities,,nuclear-waste-storage-in-villar-de-canas-spain
Trade unions,,nuclear-waste-storage-in-villar-de-canas-spain
Local ejos,,mis-valley-hydropower-plant-italy
Local government/political parties,,mis-valley-hydropower-plant-italy
Neighbours/citizens/communities,,mis-valley-hydropower-plant-italy
Social movements,,mis-valley-hydropower-plant-italy
Local scientists/professionals,,mis-valley-hydropower-plant-italy
Indigenous groups or traditional communities,,malaysia
Social movements,,malaysia
Fisher people,,malaysia
Farmers and peasants,,malaysia
Local ejos,,varun-land-grabbing-madagascar
Farmers and peasants,,varun-land-grabbing-madagascar
Indigenous groups or traditional communities,,vindelalven-hydel-project-sweden
Local ejos,,vindelalven-hydel-project-sweden
Neighbours/citizens/communities,,vindelalven-hydel-project-sweden
Pastoralists,,vindelalven-hydel-project-sweden
Other,,vindelalven-hydel-project-sweden
Local ejos,,land-grabbing-and-filling-up-of-wetlands
Local government/political parties,,land-grabbing-and-filling-up-of-wetlands
Neighbours/citizens/communities,,land-grabbing-and-filling-up-of-wetlands
Women,,land-grabbing-and-filling-up-of-wetlands
Local ejos,,luoding-incinerator-guangzhou-china
Neighbours/citizens/communities,,luoding-incinerator-guangzhou-china
Local ejos,,mineria-en-jardin-antioquia-colombia
Local government/political parties,,mineria-en-jardin-antioquia-colombia
Neighbours/citizens/communities,,mineria-en-jardin-antioquia-colombia
Social movements,,mineria-en-jardin-antioquia-colombia
Farmers and peasants,,mineria-en-jardin-antioquia-colombia
International ejos,,illegal-boreholes-for-strawberry-farming-in-donana
Local ejos,,illegal-boreholes-for-strawberry-farming-in-donana
Local scientists/professionals,,illegal-boreholes-for-strawberry-farming-in-donana
Indigenous groups or traditional communities,,pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia
Farmers and peasants,,pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia
Local ejos,,exxaro-leeuwpan-mining-project-south-africa
Local government/political parties,,exxaro-leeuwpan-mining-project-south-africa
Farmers and peasants,,exxaro-leeuwpan-mining-project-south-africa
International ejos,,kosova-e-re-lignite-power-plant
Local ejos,,kosova-e-re-lignite-power-plant
Neighbours/citizens/communities,,kosova-e-re-lignite-power-plant
Indigenous groups or traditional communities,,coastal-zone-megaprojects-el-salvador
International ejos,,coastal-zone-megaprojects-el-salvador
Local ejos,,coastal-zone-megaprojects-el-salvador
Neighbours/citizens/communities,,coastal-zone-megaprojects-el-salvador
Fisher people,,coastal-zone-megaprojects-el-salvador
Indigenous groups or traditional communities,,45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa
Local government/political parties,,45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa
Women,,45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa
Other,,45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa
Local ejos,,fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana
Local government/political parties,,fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana
Neighbours/citizens/communities,,fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana
Social movements,,fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana
Recreational users,,fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana
Local scientists/professionals,,fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana
Farmers and peasants,,fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana
Indigenous groups or traditional communities,,mineria-en-el-cerro-sagrado-care-perro-antioquia
International ejos,,mineria-en-el-cerro-sagrado-care-perro-antioquia
Local ejos,,mineria-en-el-cerro-sagrado-care-perro-antioquia
Local government/political parties,,mineria-en-el-cerro-sagrado-care-perro-antioquia
Neighbours/citizens/communities,,mineria-en-el-cerro-sagrado-care-perro-antioquia
Pastoralists,,mineria-en-el-cerro-sagrado-care-perro-antioquia
Social movements,,mineria-en-el-cerro-sagrado-care-perro-antioquia
Ethnically/racially discriminated groups,,mineria-en-el-cerro-sagrado-care-perro-antioquia
Local ejos,,macarthur-metallic-black-sand-mining
Local government/political parties,,macarthur-metallic-black-sand-mining
Neighbours/citizens/communities,,macarthur-metallic-black-sand-mining
Pastoralists,,macarthur-metallic-black-sand-mining
Social movements,,macarthur-metallic-black-sand-mining
Local scientists/professionals,,macarthur-metallic-black-sand-mining
Other,,macarthur-metallic-black-sand-mining
Fisher people,,macarthur-metallic-black-sand-mining
Farmers and peasants,,macarthur-metallic-black-sand-mining
Indigenous groups or traditional communities,,russas-valparaiso-redd-projects-acre-brazil
Local ejos,,russas-valparaiso-redd-projects-acre-brazil
International ejos,,ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region
Local ejos,,ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region
Local government/political parties,,ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region
Neighbours/citizens/communities,,ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region
Social movements,,ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region
Recreational users,,ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region
Local scientists/professionals,,ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region
Local ejos,,dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project
Landless peasants,,dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project
Social movements,,dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project
Women,,dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project
Local scientists/professionals,,dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project
Farmers and peasants,,dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project
Informal workers,,ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp
Neighbours/citizens/communities,,ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp
Ethnically/racially discriminated groups,,ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp
Local scientists/professionals,,ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp
International ejos,,pollution-of-the-obangue-river-also-dubanga-river
Local ejos,,pollution-of-the-obangue-river-also-dubanga-river
Neighbours/citizens/communities,,pollution-of-the-obangue-river-also-dubanga-river
Neighbours/citizens/communities,,shale-gas-hydraulic-fracturing-ile-anticosti
Fisher people,,shale-gas-hydraulic-fracturing-ile-anticosti
Farmers and peasants,,shale-gas-hydraulic-fracturing-ile-anticosti
Indigenous groups or traditional communities,,rubber-tree-plantation-near-de-dja-reserve
International ejos,,rubber-tree-plantation-near-de-dja-reserve
Neighbours/citizens/communities,,rubber-tree-plantation-near-de-dja-reserve
Social movements,,rubber-tree-plantation-near-de-dja-reserve
Local scientists/professionals,,rubber-tree-plantation-near-de-dja-reserve
Indigenous groups or traditional communities,,killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru
Local ejos,,killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru
Neighbours/citizens/communities,,killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru
Women,,killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru
Other,,killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru
Industrial workers,,asbestos-in-salonit-anhovo-slovenia
Neighbours/citizens/communities,,asbestos-in-salonit-anhovo-slovenia
Artisanal miners,,mining-in-tumpang-pitu-banyuwangi-east-java-indonesia
Local ejos,,mining-in-tumpang-pitu-banyuwangi-east-java-indonesia
Neighbours/citizens/communities,,mining-in-tumpang-pitu-banyuwangi-east-java-indonesia
Social movements,,mining-in-tumpang-pitu-banyuwangi-east-java-indonesia
Religious groups,,mining-in-tumpang-pitu-banyuwangi-east-java-indonesia
Fisher people,,mining-in-tumpang-pitu-banyuwangi-east-java-indonesia
Farmers and peasants,,mining-in-tumpang-pitu-banyuwangi-east-java-indonesia
Informal workers,,military-polygon-on-sinjajevina-montenegro
Local government/political parties,,military-polygon-on-sinjajevina-montenegro
Neighbours/citizens/communities,,military-polygon-on-sinjajevina-montenegro
Pastoralists,,military-polygon-on-sinjajevina-montenegro
Social movements,,military-polygon-on-sinjajevina-montenegro
Women,,military-polygon-on-sinjajevina-montenegro
Recreational users,,military-polygon-on-sinjajevina-montenegro
Local scientists/professionals,,military-polygon-on-sinjajevina-montenegro
Religious groups,,military-polygon-on-sinjajevina-montenegro
Farmers and peasants,,military-polygon-on-sinjajevina-montenegro
International ejos,,olkiluoto-nuclear-power-plant-euraaminne-finland
Local ejos,,olkiluoto-nuclear-power-plant-euraaminne-finland
Local government/political parties,,olkiluoto-nuclear-power-plant-euraaminne-finland
Neighbours/citizens/communities,,olkiluoto-nuclear-power-plant-euraaminne-finland
Indigenous groups or traditional communities,,cellulose-industry-in-gualeguaychu-ur-arg
Local ejos,,cellulose-industry-in-gualeguaychu-ur-arg
Local government/political parties,,cellulose-industry-in-gualeguaychu-ur-arg
Neighbours/citizens/communities,,cellulose-industry-in-gualeguaychu-ur-arg
Social movements,,cellulose-industry-in-gualeguaychu-ur-arg
Religious groups,,cellulose-industry-in-gualeguaychu-ur-arg
Fisher people,,cellulose-industry-in-gualeguaychu-ur-arg
International ejos,,construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia
Local ejos,,construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia
Local government/political parties,,construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia
Neighbours/citizens/communities,,construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia
Social movements,,construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia
Recreational users,,construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia
Other,,construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia
Local ejos,,thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina
Landless peasants,,thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina
Farmers and peasants,,thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina
Indigenous groups or traditional communities,,habitantes-de-shaglli-contra-proyecto-minero-shyri-ecuador
Local ejos,,habitantes-de-shaglli-contra-proyecto-minero-shyri-ecuador
Neighbours/citizens/communities,,habitantes-de-shaglli-contra-proyecto-minero-shyri-ecuador
Social movements,,habitantes-de-shaglli-contra-proyecto-minero-shyri-ecuador
Religious groups,,habitantes-de-shaglli-contra-proyecto-minero-shyri-ecuador
Farmers and peasants,,habitantes-de-shaglli-contra-proyecto-minero-shyri-ecuador
Local government/political parties,,anti-fracking-uprising-in-ain-salah
Neighbours/citizens/communities,,anti-fracking-uprising-in-ain-salah
Social movements,,anti-fracking-uprising-in-ain-salah
Local scientists/professionals,,anti-fracking-uprising-in-ain-salah
Other,,anti-fracking-uprising-in-ain-salah
Indigenous groups or traditional communities,,complejo-inmobiliario-mitikah-ciudad-viva
Local ejos,,complejo-inmobiliario-mitikah-ciudad-viva
Neighbours/citizens/communities,,complejo-inmobiliario-mitikah-ciudad-viva
Social movements,,complejo-inmobiliario-mitikah-ciudad-viva
Religious groups,,complejo-inmobiliario-mitikah-ciudad-viva
Indigenous groups or traditional communities,,cano-limon-oilfield-in-arauquita-arauca-colombia
International ejos,,cano-limon-oilfield-in-arauquita-arauca-colombia
Local ejos,,cano-limon-oilfield-in-arauquita-arauca-colombia
Neighbours/citizens/communities,,cano-limon-oilfield-in-arauquita-arauca-colombia
Women,,cano-limon-oilfield-in-arauquita-arauca-colombia
Farmers and peasants,,cano-limon-oilfield-in-arauquita-arauca-colombia
Indigenous groups or traditional communities,,represas-del-rio-santa-cruz1
Local ejos,,represas-del-rio-santa-cruz1
Neighbours/citizens/communities,,represas-del-rio-santa-cruz1
Social movements,,represas-del-rio-santa-cruz1
Recreational users,,represas-del-rio-santa-cruz1
Local scientists/professionals,,represas-del-rio-santa-cruz1
Other,,represas-del-rio-santa-cruz1
