UID,name,forms_mobilizing
wind-farm-nowe-skalmierzyce-poland,Official complaint letters and petitions,
kamchay-dam-kampot-province-cambodia,Blockades,
kamchay-dam-kampot-province-cambodia,Involvement of national and international NGOs,
kamchay-dam-kampot-province-cambodia,Objections to the EIA,
kamchay-dam-kampot-province-cambodia,Official complaint letters and petitions,
kamchay-dam-kampot-province-cambodia,Street protest/marches,
kamchay-dam-kampot-province-cambodia,Other,
phosphate-mining-in-anitpolis-brazil,"Community-based participative research (popular epidemiology studies, etc..)",
phosphate-mining-in-anitpolis-brazil,Creation of alternative reports/knowledge,
phosphate-mining-in-anitpolis-brazil,Development of a network/collective action,
phosphate-mining-in-anitpolis-brazil,Involvement of national and international NGOs,
phosphate-mining-in-anitpolis-brazil,"Lawsuits, court cases, judicial activism",
phosphate-mining-in-anitpolis-brazil,Media based activism/alternative media,
phosphate-mining-in-anitpolis-brazil,Objections to the EIA,
phosphate-mining-in-anitpolis-brazil,Public campaigns,
phosphate-mining-in-anitpolis-brazil,Street protest/marches,
phosphate-mining-in-anitpolis-brazil,Appeals/recourse to economic valuation of the environment,
pt-sss-irregular-establishment,Blockades,
pt-sss-irregular-establishment,Objections to the EIA,
pt-sss-irregular-establishment,Official complaint letters and petitions,
pt-sss-irregular-establishment,Sabotage,
pt-sss-irregular-establishment,Street protest/marches,
wpb-colliery-in-dullstroom-mpumalanga-south-africa,"Community-based participative research (popular epidemiology studies, etc..)",
wpb-colliery-in-dullstroom-mpumalanga-south-africa,Development of a network/collective action,
wpb-colliery-in-dullstroom-mpumalanga-south-africa,"Lawsuits, court cases, judicial activism",
wpb-colliery-in-dullstroom-mpumalanga-south-africa,Media based activism/alternative media,
wpb-colliery-in-dullstroom-mpumalanga-south-africa,Objections to the EIA,
wpb-colliery-in-dullstroom-mpumalanga-south-africa,Official complaint letters and petitions,
wpb-colliery-in-dullstroom-mpumalanga-south-africa,Public campaigns,
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,"Artistic and creative actions (eg guerilla theatre, murals)",
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,Development of a network/collective action,
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,"Lawsuits, court cases, judicial activism",
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,Media based activism/alternative media,
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,Street protest/marches,
lake-chad-desertification-chad,Involvement of national and international NGOs,
lake-chad-desertification-chad,Public campaigns,
xochicuautla-comunidadotomi-mexico,Boycotts of official procedures/non-participation in official processes,
xochicuautla-comunidadotomi-mexico,Development of alternative proposals,
xochicuautla-comunidadotomi-mexico,Involvement of national and international NGOs,
xochicuautla-comunidadotomi-mexico,"Lawsuits, court cases, judicial activism",
xochicuautla-comunidadotomi-mexico,Media based activism/alternative media,
xochicuautla-comunidadotomi-mexico,Objections to the EIA,
xochicuautla-comunidadotomi-mexico,Official complaint letters and petitions,
xochicuautla-comunidadotomi-mexico,Public campaigns,
xochicuautla-comunidadotomi-mexico,Referendum other local consultations,
xochicuautla-comunidadotomi-mexico,Street protest/marches,
xochicuautla-comunidadotomi-mexico,Other,
developments-along-the-shores-of-lake-elementaita-kenya,"Community-based participative research (popular epidemiology studies, etc..)",
developments-along-the-shores-of-lake-elementaita-kenya,Development of a network/collective action,
developments-along-the-shores-of-lake-elementaita-kenya,Other,
congo-coltan-in-the-kivu-region-dr-of-congo,Involvement of national and international NGOs,
congo-coltan-in-the-kivu-region-dr-of-congo,Public campaigns,
congo-coltan-in-the-kivu-region-dr-of-congo,Street protest/marches,
lesten-tampur-dam,Involvement of national and international NGOs,
lesten-tampur-dam,"Lawsuits, court cases, judicial activism",
lesten-tampur-dam,Media based activism/alternative media,
lesten-tampur-dam,Objections to the EIA,
lesten-tampur-dam,Public campaigns,
lesten-tampur-dam,Street protest/marches,
sime-darby-plantation-land-conflict-liberia,Strikes,
sime-darby-plantation-land-conflict-liberia,Threats to use arms,
sime-darby-plantation-land-conflict-liberia,Other,
obsolete-pesticides-in-abaco-island-bahamas,Development of a network/collective action,
obsolete-pesticides-in-abaco-island-bahamas,Involvement of national and international NGOs,
obsolete-pesticides-in-abaco-island-bahamas,Official complaint letters and petitions,
obsolete-pesticides-in-abaco-island-bahamas,Public campaigns,
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,Involvement of national and international NGOs,
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,"Lawsuits, court cases, judicial activism",
mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,Official complaint letters and petitions,
mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,Public campaigns,
oil-drilling-in-the-national-park-of-calilegua,Development of a network/collective action,
oil-drilling-in-the-national-park-of-calilegua,Involvement of national and international NGOs,
oil-drilling-in-the-national-park-of-calilegua,Public campaigns,
oil-drilling-in-the-national-park-of-calilegua,Street protest/marches,
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,Official complaint letters and petitions,
irish-cement,Development of a network/collective action,
irish-cement,"Lawsuits, court cases, judicial activism",
irish-cement,Media based activism/alternative media,
irish-cement,Objections to the EIA,
irish-cement,Official complaint letters and petitions,
irish-cement,Public campaigns,
irish-cement,Street protest/marches,
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,"Artistic and creative actions (eg guerilla theatre, murals)",
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,Blockades,
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,Creation of alternative reports/knowledge,
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,Development of a network/collective action,
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,Involvement of national and international NGOs,
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,Land occupation,
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,"Lawsuits, court cases, judicial activism",
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,Objections to the EIA,
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,Official complaint letters and petitions,
telangana-government-plantation-programme,Media based activism/alternative media,
telangana-government-plantation-programme,Other,
yalova-vopak-chemical-storage-terminal-turkey,Creation of alternative reports/knowledge,
yalova-vopak-chemical-storage-terminal-turkey,Development of a network/collective action,
yalova-vopak-chemical-storage-terminal-turkey,Involvement of national and international NGOs,
yalova-vopak-chemical-storage-terminal-turkey,"Lawsuits, court cases, judicial activism",
yalova-vopak-chemical-storage-terminal-turkey,Media based activism/alternative media,
yalova-vopak-chemical-storage-terminal-turkey,Objections to the EIA,
yalova-vopak-chemical-storage-terminal-turkey,Official complaint letters and petitions,
yalova-vopak-chemical-storage-terminal-turkey,Public campaigns,
yalova-vopak-chemical-storage-terminal-turkey,Street protest/marches,
yalova-vopak-chemical-storage-terminal-turkey,Hunger strikes and self immolation,
rare-earth-mining-in-mountains-of-myanmar,Media based activism/alternative media,
rare-earth-mining-in-mountains-of-myanmar,Official complaint letters and petitions,
rare-earth-mining-in-mountains-of-myanmar,Arguments for the rights of mother nature,
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,Involvement of national and international NGOs,
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,"Lawsuits, court cases, judicial activism",
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,Official complaint letters and petitions,
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,Public campaigns,
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,Street protest/marches,
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,Occupation of buildings/public spaces,
depredacion-ecologica-en-el-cerro-de-el-cimatario,"Artistic and creative actions (eg guerilla theatre, murals)",
depredacion-ecologica-en-el-cerro-de-el-cimatario,"Community-based participative research (popular epidemiology studies, etc..)",
depredacion-ecologica-en-el-cerro-de-el-cimatario,Creation of alternative reports/knowledge,
depredacion-ecologica-en-el-cerro-de-el-cimatario,Development of a network/collective action,
depredacion-ecologica-en-el-cerro-de-el-cimatario,Development of alternative proposals,
depredacion-ecologica-en-el-cerro-de-el-cimatario,Involvement of national and international NGOs,
depredacion-ecologica-en-el-cerro-de-el-cimatario,Media based activism/alternative media,
depredacion-ecologica-en-el-cerro-de-el-cimatario,Objections to the EIA,
depredacion-ecologica-en-el-cerro-de-el-cimatario,Official complaint letters and petitions,
depredacion-ecologica-en-el-cerro-de-el-cimatario,Public campaigns,
contaminacion-del-rio-pirai,Creation of alternative reports/knowledge,
contaminacion-del-rio-pirai,Development of a network/collective action,
contaminacion-del-rio-pirai,Media based activism/alternative media,
contaminacion-del-rio-pirai,Official complaint letters and petitions,
contaminacion-del-rio-pirai,Public campaigns,
contaminacion-del-rio-pirai,Appeals/recourse to economic valuation of the environment,
chuangyuan-aluminium-plant-pollution-in-hunan-china,Media based activism/alternative media,
buryatia-vs-yukos-oil-russian-federation,Creation of alternative reports/knowledge,
buryatia-vs-yukos-oil-russian-federation,Development of a network/collective action,
buryatia-vs-yukos-oil-russian-federation,Media based activism/alternative media,
buryatia-vs-yukos-oil-russian-federation,Objections to the EIA,
buryatia-vs-yukos-oil-russian-federation,Official complaint letters and petitions,
wisco-soalala-iron-ore-madagascar,Development of a network/collective action,
wisco-soalala-iron-ore-madagascar,Media based activism/alternative media,
wisco-soalala-iron-ore-madagascar,Objections to the EIA,
wisco-soalala-iron-ore-madagascar,Official complaint letters and petitions,
wisco-soalala-iron-ore-madagascar,Public campaigns,
wisco-soalala-iron-ore-madagascar,Other,
sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,"Lawsuits, court cases, judicial activism",
sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,Objections to the EIA,
sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,Public campaigns,
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,"Community-based participative research (popular epidemiology studies, etc..)",
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,Creation of alternative reports/knowledge,
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,Development of a network/collective action,
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,Involvement of national and international NGOs,
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,Public campaigns,
exploratory-fracking-at-kirby-misperton-yorkshire,"Artistic and creative actions (eg guerilla theatre, murals)",
exploratory-fracking-at-kirby-misperton-yorkshire,Blockades,
exploratory-fracking-at-kirby-misperton-yorkshire,Development of a network/collective action,
exploratory-fracking-at-kirby-misperton-yorkshire,Involvement of national and international NGOs,
exploratory-fracking-at-kirby-misperton-yorkshire,Official complaint letters and petitions,
exploratory-fracking-at-kirby-misperton-yorkshire,Public campaigns,
exploratory-fracking-at-kirby-misperton-yorkshire,Street protest/marches,
bedford-biofuels-jatropha-tana-delta-kenya,Development of a network/collective action,
bedford-biofuels-jatropha-tana-delta-kenya,Involvement of national and international NGOs,
bedford-biofuels-jatropha-tana-delta-kenya,"Lawsuits, court cases, judicial activism",
bedford-biofuels-jatropha-tana-delta-kenya,Media based activism/alternative media,
bedford-biofuels-jatropha-tana-delta-kenya,Objections to the EIA,
bedford-biofuels-jatropha-tana-delta-kenya,Official complaint letters and petitions,
bedford-biofuels-jatropha-tana-delta-kenya,Public campaigns,
chemehuevi-indian-tribe-off-roading-damage,Development of alternative proposals,
chemehuevi-indian-tribe-off-roading-damage,"Lawsuits, court cases, judicial activism",
chemehuevi-indian-tribe-off-roading-damage,Media based activism/alternative media,
chemehuevi-indian-tribe-off-roading-damage,Objections to the EIA,
chemehuevi-indian-tribe-off-roading-damage,Public campaigns,
chemehuevi-indian-tribe-off-roading-damage,Arguments for the rights of mother nature,
chemehuevi-indian-tribe-off-roading-damage,Appeals/recourse to economic valuation of the environment,
clayoquot-sound-canada,"Artistic and creative actions (eg guerilla theatre, murals)",
clayoquot-sound-canada,Blockades,
clayoquot-sound-canada,Boycotts of official procedures/non-participation in official processes,
clayoquot-sound-canada,Development of a network/collective action,
clayoquot-sound-canada,Development of alternative proposals,
clayoquot-sound-canada,Involvement of national and international NGOs,
clayoquot-sound-canada,Land occupation,
clayoquot-sound-canada,"Lawsuits, court cases, judicial activism",
clayoquot-sound-canada,Media based activism/alternative media,
clayoquot-sound-canada,Official complaint letters and petitions,
clayoquot-sound-canada,Public campaigns,
clayoquot-sound-canada,Sabotage,
clayoquot-sound-canada,Shareholder/financial activism.,
clayoquot-sound-canada,Street protest/marches,
clayoquot-sound-canada,Property damage/arson,
clayoquot-sound-canada,Boycotts of companies-products,
clayoquot-sound-canada,Other,
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,"Artistic and creative actions (eg guerilla theatre, murals)",
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,"Community-based participative research (popular epidemiology studies, etc..)",
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,"Lawsuits, court cases, judicial activism",
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,Media based activism/alternative media,
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,Official complaint letters and petitions,
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,Street protest/marches,
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,Hunger strikes and self immolation,
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,Refusal of compensation,
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,Other,
nuclear-waste-storage-in-villar-de-canas-spain,Creation of alternative reports/knowledge,
nuclear-waste-storage-in-villar-de-canas-spain,Development of a network/collective action,
nuclear-waste-storage-in-villar-de-canas-spain,Involvement of national and international NGOs,
nuclear-waste-storage-in-villar-de-canas-spain,"Lawsuits, court cases, judicial activism",
nuclear-waste-storage-in-villar-de-canas-spain,Media based activism/alternative media,
nuclear-waste-storage-in-villar-de-canas-spain,Objections to the EIA,
nuclear-waste-storage-in-villar-de-canas-spain,Official complaint letters and petitions,
nuclear-waste-storage-in-villar-de-canas-spain,Public campaigns,
mis-valley-hydropower-plant-italy,Creation of alternative reports/knowledge,
mis-valley-hydropower-plant-italy,Involvement of national and international NGOs,
mis-valley-hydropower-plant-italy,Land occupation,
mis-valley-hydropower-plant-italy,"Lawsuits, court cases, judicial activism",
mis-valley-hydropower-plant-italy,Objections to the EIA,
mis-valley-hydropower-plant-italy,Public campaigns,
mis-valley-hydropower-plant-italy,Street protest/marches,
mis-valley-hydropower-plant-italy,Appeals/recourse to economic valuation of the environment,
malaysia,Creation of alternative reports/knowledge,
malaysia,Development of a network/collective action,
malaysia,Involvement of national and international NGOs,
malaysia,Media based activism/alternative media,
malaysia,Public campaigns,
malaysia,Street protest/marches,
varun-land-grabbing-madagascar,Development of a network/collective action,
varun-land-grabbing-madagascar,Media based activism/alternative media,
vindelalven-hydel-project-sweden,Boycotts of official procedures/non-participation in official processes,
vindelalven-hydel-project-sweden,Development of a network/collective action,
vindelalven-hydel-project-sweden,Media based activism/alternative media,
vindelalven-hydel-project-sweden,Street protest/marches,
vindelalven-hydel-project-sweden,Refusal of compensation,
vindelalven-hydel-project-sweden,Other,
land-grabbing-and-filling-up-of-wetlands,Involvement of national and international NGOs,
land-grabbing-and-filling-up-of-wetlands,"Lawsuits, court cases, judicial activism",
land-grabbing-and-filling-up-of-wetlands,Media based activism/alternative media,
land-grabbing-and-filling-up-of-wetlands,Public campaigns,
land-grabbing-and-filling-up-of-wetlands,Referendum other local consultations,
luoding-incinerator-guangzhou-china,Blockades,
luoding-incinerator-guangzhou-china,Creation of alternative reports/knowledge,
luoding-incinerator-guangzhou-china,Development of a network/collective action,
luoding-incinerator-guangzhou-china,Involvement of national and international NGOs,
luoding-incinerator-guangzhou-china,Street protest/marches,
luoding-incinerator-guangzhou-china,Occupation of buildings/public spaces,
luoding-incinerator-guangzhou-china,Other,
mineria-en-jardin-antioquia-colombia,Development of alternative proposals,
mineria-en-jardin-antioquia-colombia,Involvement of national and international NGOs,
mineria-en-jardin-antioquia-colombia,Media based activism/alternative media,
mineria-en-jardin-antioquia-colombia,Official complaint letters and petitions,
mineria-en-jardin-antioquia-colombia,Public campaigns,
mineria-en-jardin-antioquia-colombia,Referendum other local consultations,
mineria-en-jardin-antioquia-colombia,Street protest/marches,
mineria-en-jardin-antioquia-colombia,Strikes,
mineria-en-jardin-antioquia-colombia,Arguments for the rights of mother nature,
mineria-en-jardin-antioquia-colombia,Other,
illegal-boreholes-for-strawberry-farming-in-donana,Development of a network/collective action,
illegal-boreholes-for-strawberry-farming-in-donana,Involvement of national and international NGOs,
illegal-boreholes-for-strawberry-farming-in-donana,"Lawsuits, court cases, judicial activism",
illegal-boreholes-for-strawberry-farming-in-donana,Objections to the EIA,
illegal-boreholes-for-strawberry-farming-in-donana,Official complaint letters and petitions,
illegal-boreholes-for-strawberry-farming-in-donana,Public campaigns,
illegal-boreholes-for-strawberry-farming-in-donana,Other,
pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia,Development of a network/collective action,
pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia,Involvement of national and international NGOs,
pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia,Objections to the EIA,
pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia,Street protest/marches,
exxaro-leeuwpan-mining-project-south-africa,"Lawsuits, court cases, judicial activism",
exxaro-leeuwpan-mining-project-south-africa,Media based activism/alternative media,
exxaro-leeuwpan-mining-project-south-africa,Official complaint letters and petitions,
kosova-e-re-lignite-power-plant,Creation of alternative reports/knowledge,
kosova-e-re-lignite-power-plant,Development of a network/collective action,
kosova-e-re-lignite-power-plant,Development of alternative proposals,
kosova-e-re-lignite-power-plant,Involvement of national and international NGOs,
kosova-e-re-lignite-power-plant,Media based activism/alternative media,
kosova-e-re-lignite-power-plant,Official complaint letters and petitions,
kosova-e-re-lignite-power-plant,Public campaigns,
kosova-e-re-lignite-power-plant,Appeals/recourse to economic valuation of the environment,
coastal-zone-megaprojects-el-salvador,Creation of alternative reports/knowledge,
coastal-zone-megaprojects-el-salvador,Involvement of national and international NGOs,
coastal-zone-megaprojects-el-salvador,Media based activism/alternative media,
coastal-zone-megaprojects-el-salvador,Public campaigns,
coastal-zone-megaprojects-el-salvador,Other,
45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,Blockades,
45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,"Lawsuits, court cases, judicial activism",
45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,Official complaint letters and petitions,
45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,Street protest/marches,
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,"Artistic and creative actions (eg guerilla theatre, murals)",
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,Creation of alternative reports/knowledge,
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,Development of a network/collective action,
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,Involvement of national and international NGOs,
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,"Lawsuits, court cases, judicial activism",
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,Media based activism/alternative media,
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,Objections to the EIA,
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,Official complaint letters and petitions,
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,Public campaigns,
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,Street protest/marches,
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,Appeals/recourse to economic valuation of the environment,
mineria-en-el-cerro-sagrado-care-perro-antioquia,"Artistic and creative actions (eg guerilla theatre, murals)",
mineria-en-el-cerro-sagrado-care-perro-antioquia,Blockades,
mineria-en-el-cerro-sagrado-care-perro-antioquia,Boycotts of official procedures/non-participation in official processes,
mineria-en-el-cerro-sagrado-care-perro-antioquia,Creation of alternative reports/knowledge,
mineria-en-el-cerro-sagrado-care-perro-antioquia,Development of a network/collective action,
mineria-en-el-cerro-sagrado-care-perro-antioquia,Involvement of national and international NGOs,
mineria-en-el-cerro-sagrado-care-perro-antioquia,Land occupation,
mineria-en-el-cerro-sagrado-care-perro-antioquia,"Lawsuits, court cases, judicial activism",
mineria-en-el-cerro-sagrado-care-perro-antioquia,Media based activism/alternative media,
mineria-en-el-cerro-sagrado-care-perro-antioquia,Objections to the EIA,
mineria-en-el-cerro-sagrado-care-perro-antioquia,Official complaint letters and petitions,
mineria-en-el-cerro-sagrado-care-perro-antioquia,Public campaigns,
mineria-en-el-cerro-sagrado-care-perro-antioquia,Referendum other local consultations,
mineria-en-el-cerro-sagrado-care-perro-antioquia,Shareholder/financial activism.,
mineria-en-el-cerro-sagrado-care-perro-antioquia,Street protest/marches,
mineria-en-el-cerro-sagrado-care-perro-antioquia,Occupation of buildings/public spaces,
mineria-en-el-cerro-sagrado-care-perro-antioquia,Arguments for the rights of mother nature,
mineria-en-el-cerro-sagrado-care-perro-antioquia,Refusal of compensation,
macarthur-metallic-black-sand-mining,Blockades,
macarthur-metallic-black-sand-mining,"Community-based participative research (popular epidemiology studies, etc..)",
macarthur-metallic-black-sand-mining,Development of a network/collective action,
macarthur-metallic-black-sand-mining,Involvement of national and international NGOs,
macarthur-metallic-black-sand-mining,Land occupation,
macarthur-metallic-black-sand-mining,Official complaint letters and petitions,
macarthur-metallic-black-sand-mining,Public campaigns,
macarthur-metallic-black-sand-mining,Street protest/marches,
macarthur-metallic-black-sand-mining,Arguments for the rights of mother nature,
macarthur-metallic-black-sand-mining,Appeals/recourse to economic valuation of the environment,
russas-valparaiso-redd-projects-acre-brazil,Development of a network/collective action,
russas-valparaiso-redd-projects-acre-brazil,Involvement of national and international NGOs,
russas-valparaiso-redd-projects-acre-brazil,Media based activism/alternative media,
russas-valparaiso-redd-projects-acre-brazil,Official complaint letters and petitions,
russas-valparaiso-redd-projects-acre-brazil,Referendum other local consultations,
russas-valparaiso-redd-projects-acre-brazil,Street protest/marches,
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,"Artistic and creative actions (eg guerilla theatre, murals)",
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,"Community-based participative research (popular epidemiology studies, etc..)",
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,Development of alternative proposals,
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,Involvement of national and international NGOs,
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,"Lawsuits, court cases, judicial activism",
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,Objections to the EIA,
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,Official complaint letters and petitions,
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,Public campaigns,
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,Street protest/marches,
dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,Creation of alternative reports/knowledge,
dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,Development of alternative proposals,
dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,Involvement of national and international NGOs,
dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,Media based activism/alternative media,
dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,Public campaigns,
ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp,Development of a network/collective action,
