other_health_impacts,other_socio_economical_impacts,other_environmental_impacts,slug
,,,buryatia-vs-yukos-oil-russian-federation
The Platform of civil society SIF is very concerned about the Tailings site that WISCO plans to build,"All the mining regions of Madagascar became very attractive to foreign investors so the cost of living is too expensive for the local communities. This situation increases cultural problems, prostitution, alcoholism and insecurity.",Risk of degradation of the Baly Bay ecosystems ; Risk of disappearance of endangered species (Angonoky turtles) specific to this site.,wisco-soalala-iron-ore-madagascar
,,,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india
,,,illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun
,Impact on tourism and house prices,,exploratory-fracking-at-kirby-misperton-yorkshire
,,,bedford-biofuels-jatropha-tana-delta-kenya
,,,derrame-de-petroleo-en-el-campo-de-frade-brazil
Fugitive dust  causing dense fog throughout the valley ,,,chemehuevi-indian-tribe-off-roading-damage
"Impact on traditional food systems, including salmon.",,"Environmentalists in Clayoquot argued that clear cutting destroys the original forest ecosystem, which leads to habitat loss, soil erosion, bare mountains, landslides and devastated fish streams  (Vanchieri, 2011).",clayoquot-sound-canada
,,,adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india
,,Radioactivity-related impacts,nuclear-waste-storage-in-villar-de-canas-spain
,,,mis-valley-hydropower-plant-italy
,,,malaysia
,,,varun-land-grabbing-madagascar
,,,vindelalven-hydel-project-sweden
,,,land-grabbing-and-filling-up-of-wetlands
Alleged risk of dioxin,,,luoding-incinerator-guangzhou-china
,,,mineria-en-jardin-antioquia-colombia
,,,illegal-boreholes-for-strawberry-farming-in-donana
,,,pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia
,,Destruction of Natural Water Bodies,exxaro-leeuwpan-mining-project-south-africa
Respiratory diseases,,,kosova-e-re-lignite-power-plant
,"Especulación de tierras y aumento de los precios para los pobladores locales, transformación de identidad con el ingreso de extranjeros a gran escala y  disminución de recursos pesqueros principal actividad económica de las posibles comunidades. ",Daño específicos a ecosistemas de manglar y transformación del paisaje ,coastal-zone-megaprojects-el-salvador
No access to clean drinking water,,,45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa
,,seguridad ciudadana,fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana
,,,mineria-en-el-cerro-sagrado-care-perro-antioquia
,,,macarthur-metallic-black-sand-mining
,"Potential social problems are community divide, among others (see description text). 
Cooptation of community leaders (see description text).",potential biodiversity loss due to loss of traditional land use practices and the species they sustain.,russas-valparaiso-redd-projects-acre-brazil
,,,ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region
,,,dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project
-Male sterility and abnormally low sperm counts including psychological damages. ,,,ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp
,,,pollution-of-the-obangue-river-also-dubanga-river
,,,shale-gas-hydraulic-fracturing-ile-anticosti
,,,rubber-tree-plantation-near-de-dja-reserve
,,,killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru
,,,asbestos-in-salonit-anhovo-slovenia
,,,mining-in-tumpang-pitu-banyuwangi-east-java-indonesia
"Fear among locals is the physical danger of being struck by military artillery (in action or explosives left behind without detonating), as well as contamination of the waters through the artillery used, and that humans and animals drink, plants consume and which are at the same time consumed by humans and animals. And this impact on water could perfectly reach far beyond the site through underground water flows as this is a karstic zone. ","An impact is expected in the villages around Lipovo just under Savina lake (in the artillery testing polygon) and who have precisely a factory of water bottling due to their (up to present) reputed clean and highly healthy mineral waters. And the same goes for the plants animals eat and humans consume, endangering not only animal and human health, but their market as demand of meat and dairy products will undoubtedly shoot down and seems already to have started a slight downhill, while Sinjajevina produces one of the most valuable cheeses and milk products in the country, as for example traditional skorup cheeses sold at 25€ the kilo, an authentic fortune in a country where the mean salary is 300€ per month.",,military-polygon-on-sinjajevina-montenegro
,,The complex uncertain and potential risks of nuclear power plants.,olkiluoto-nuclear-power-plant-euraaminne-finland
,,,cellulose-industry-in-gualeguaychu-ur-arg
Health problems caused by decrease in air quality ,Loss of the traditional recreation area (no other big recreation areas near) ,,construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia
Heavy metal poisoning; exposure to rock fallings,,rocky desertification,thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina
,,,habitantes-de-shaglli-contra-proyecto-minero-shyri-ecuador
,,,anti-fracking-uprising-in-ain-salah
Estrés hídrico,,,complejo-inmobiliario-mitikah-ciudad-viva
,,,cano-limon-oilfield-in-arauquita-arauca-colombia
,,Impact on glaciers,represas-del-rio-santa-cruz1
Potential health impacts related to pollution from electronic manufacturing,,,residents-protest-against-planned-electroplating-plant-in-dongyang-zhejiang-china
,"27 Baka people opposinig Sodefor in 2010 were arrested, 2 were killed. ",,norsudtimber-illegal-in-drc
"Spread of HIV, tuberculosis, increase of malaria; upper respiratory tract infection, gastroenteritis and diarrhea, deaths of workers in Newmont's operations. ","Teenagers raped and getting pregnant by miners, Newmont reports to have resettled 644 households since 2005, overall increase of unwanted pregnancies and abortions, school aged girls being forced into prostitution, increased food prices (reduced production of cassava, yam and plantain), youth increasing involvement in dangerous artisanal mining.","Recurrent cyanide spills, rivers and streams of Subri, Awonsu, Yaa-Chain, destroyed, drinking water that used to be free is not available anymore, locals have to pay for it, so do they have to pay for non-timber forest products that they used to get for free in the forest that has now been mined (that specially impacts women who take care of providing the families with water and forest products).",gold-min
,Flooding by dam,,presa-de-el-zapotillo-jalisco-mexico
,,,ptpn-ii-displaces-indigenous-rakyat-pununggu-people-for-plantations-in-north-sumatra-indonesia
,,,jirau-and-santo-antonio-dams-on-madeira-river-brazil
,,,jamsher-solid-waste-treatment-plant-jalandhar-punjab-india
,,,mutanda-mine-democratic-republic-of-congo
,,,proposed-garbage-incineration-plant-draws-mass-protest-in-guangdong-china
,,,dugarajapatnam-port-andhra-pradesh-india
,El aumento de los deslaves y erosión del suelo por la deforestación amenaza a las comunidades que viven en sus faldas ,,mokoron-hill-nicaragua
,"Due to the loss of their natural environment, elephants now pass through Paddy fields, affecting the agricultural activities of the local farmer communities. As a result there is a degradation of livelihood and standard of living.
The local communities have been deprived of the benefits like medicinal plants and food crops offered by the forest previously, extra expenses have now to be paid for the same commodities, leading a loss in the livelihood.","Clearance of the forest leads to drying out of the tanks during the dry season. This deprives Elephants and other wildlife of their sources of food and water. As a result, Elephants are impelled to enter the nearby villages causing a human-elephant conflict.
Loss of medicinal plants and food crops previously offered by the forest.",illegal-stone-quarry-in-andarawewa-forest-reserve
,,,marble-mining-in-indigenous-mollo-territory-in-west-timor-indonesia
"High rate of skin disease and cancer among villagers and the increasing rate of mortality among livestock (for example at Group 7 of Zhanggaotu Village, almost 25% of the villagers have been infected with skin diseases and 35% of the 1,500 sheep were dead due to water contamination issues throughout 3 years.)","Because of the water contamination and potential impact on children, most of the younger generation have left the villages to seek for livelihood elsewhere. For example, at Zhanggaotu Village, there are only around 40-50 permanent residents, most of whom are elder people.",,water-pollution-caused-by-coal-mines-and-gas-field-at-xiaohaotu-shaanxi-china
"Possible mental and physical health impacts related to dispossession of land, loss of agricultural land, lack of consent",Loss of Class-A Agricultural Land in North-Eastern BC; Threat to Future Food Security; Displacement of Residents; Loss of Traditional Practices/Activities in the Area,Flooding of Class-A agricultural land for reservoir,bc-hydro-site-c-dam-canada
,,,sponge-iron-factories-in-west-bengal-india
,,,roma-in-the-settlement-kale-displaced-under-the-excuse-of-a-hotel-complex-construction-skopje-macedonia
,,,saemangeun-reclamation-project-south-korea
,Afectación de actividades productivas vinculadas a la trashumancia pastoril. ,,proyecto-caycayen-neuquen-argentina
,,,water-privatisation-egypt
,,,guajajara-community-against-illegal-loggers-in-terra-indigena-arariboia-maranhao-brazil
the potential impacts of the toxic emissions from the un-sorted waste ,potential decrease of real estate price,emission of dioxin,wanning-waste-to-energy-plant-hainan-china
,,Increasing the temperature of River Danube,paks-nuclear-plant-expansion-hungary
diarrhea and poisoning,,,polluted-drinking-water-in-basra
Potential respiratory diseases due to SO2 and NOx pollution,,,public-interest-litigation-against-tianji-luan-chemical-due-to-air-pollution-shanxi-china
,,,jeannette-kawas-fernandez-case-honduras
,,Coastal aquifers pollution ,the-decimation-of-palestines-fishing-industry
,,,northstar-oil-field-usa
Contamination of natural resources used as food.,,,conexao-abrolhos-campaign-against-the-auction-of-oil-and-gas-blocks-close-to-abrolhos
,,,chachi-indigenous-centre-el-encanto-vs-durini-ecuador
,,,fehmarn-belt-fixed-link-germany-denmark
,,,planta-fotovoltaica-los-prados-53-mw-namasigue-honduras
,,,saramaka-people-against-the-state-of-suriname
,,,waste-management-in-subotica
The wastepickers have no access to health insurance and their accommodation is subject to health risks,,,wastepickers-in-ankara-struggle-to-be-formally-incorporated-into-the-legal-waste-collecting-framework-turkey
,,,alibag-sez-in-mumbai-mh-india
,Increase in Mass Consumerism,,palm-islands-uae
,,,champlain-hudson-power-express
"Various forms of human diseases such as respiratory problems, rheumatoid arthritis, asthma and joint pain and death of livestock such as sheep.",,,illegal-mining-at-bainaimiao-coal-mine-in-dorbod-banner-ulanqab-inner-mongolia-china
"Cancer, allergies, asthma, other respiratory problems",,,health-and-environmental-impacts-of-the-petrochemical-complex-in-tarragona-spain
"As the United States federal government has not conducted or released comprehensive testing for toxins at the Homestead Shelter itself, it is impossible to conclusively establish what the health impacts are for individuals residing there [4].  However, with the official list of toxins present at the Superfund site publicly available it is possible to identify potential risks. Some of the most notable risks that the chemicals at the Superfund site pose for humans include, skin irritation, skin photosensitization, gastrointestinal irritation, dermatitis, eye irritation, obstructive lung alterations, emphysema, lung cancer, bladder cancer, skin cancer, anemia, respiration difficulties, chest pain, hemoptysis, shortness of breath, psychotic tendencies, proteinuria, dermatitis, dizziness, nerve damage, hearing loss, color vision loss, learning deficits, altered motor skill, immune system damage, and reproductive impairment for individuals of all genders [14, 15]._x000D_
    Some of the toxins at the site present health impacts specific to children’s growth and bodies. Most notably the presence of lead has negative implications for children’s developing nervous systems and is definitively linked to hyperactivity, attention problems, and cognitive impairment [14]._x000D_
    Additionally, some of the chemicals present are regulated by government agencies and national legislation. Constraints for arsenic contamination levels, for example, have been set by the FDA, the Clean Water Act, Federal Drinking Water standards, RCRA requirements and CERCLA Superfund Requirements [14].","The proximity of the Homestead Air Reserve Base Superfund Site to the Homestead Shelter for Unaccompanied Children creates a host of socio-economic impacts. By nature, the population at the shelter is marginalized in U.S. society. Specifically, at risk is a population comprised of child migrants. These individuals are disenfranchised in the United States because of their identities as children, as migrants without citizenship and/or asylum seekers, as people of color, as detained (incarcerated) individuals, and as non-native English speakers. Any one of these identities alone disenfranchises a population and has the potential to suppress their voice. Together these identities within the context of the United States form an incredibly oppressive mechanism, and effectively bar the individuals affected from having any agency in their situation of exposure to hazards at the Superfund site._x000D_
    Many laws and international agreements protect these various vulnerable populations. Particularly notable in relation to the Homestead environmental justice site is the 1989 United Nations International Rights of the Child Convention, which has been signed (but not ratified) by the United States of America. The central guiding principles of the convention are set forth in article 6:1, “States Parties recognize that every child has the inherent right to life,” and in article 6:2 “States Parties shall ensure to the maximum extent possible the survival and development of the child” [13]. The convention also clearly states that countries may not discriminate the allocation of the rights of children based on “the child's or his or her parent's or legal guardian's race, colour, sex, language, religion, political or other opinion, national, ethnic or social origin, property, disability, birth or other status” [13 article 2:1]. The Homestead Shelter for Unaccompanied Children’s operation is not in accordance with these policies, neglecting children’s rights to healthy development and housing migrant children of color on land where schools and daycares for American children are prohibited [5].","One key environmental impact unique to Homestead and other Florida Superfund sites by virtue of their location, is an enhanced risk of hurricanes spreading contamination [4]. Florida has the 6th most Superfund sites of all U.S. States, ranking behind only New Jersey, California, Pennsylvania, New York, and Michigan respectively.  Of Florida’s 53 Superfund sites, the Homestead Air Reserve Base is the lowest in elevation, with flooding potential occurring after only 12 inches of water accumulation [16]. Between rainfall, storm surges, tides, and flooding, 12 inches of water on site is a likely occurrence during hurricane season, making the potential for contamination to spread beyond current confines high [16]. Risks associated with hurricanes spreading the Superfund site contamination include the contamination of the Biscayne Aquifer, which sits underground less than three miles from the hazardous substances at the site [3]. More than 16,000 people get their drinking water from this aquifer, including the children at the Homestead Shelter for Unaccompanied Migrants.",homestead-temporary-shelter-for-unaccompanied-children
,"Submergence of an historical-archeological heritage, the town of Hasankeyf",,ilisu-dam-project-turkey
,,,alton-gas-canada
,,,bedouin-israeli-citizens-expelled-from-their-land-by-the-state-israel
,,,karad-airport-expansion-maharashtra-india
,,,lagunas-de-castrovirreyna
physical pain and suffers,"economic burdens from disability to work and medical treatments, psychological pressure for many reasons ",,the-shenzhen-pneumoconiosis-crisis-guangdong-china
,,,fair-creek-old-growth-logging-protests
,"Potential violation of free, prior and informed consent rights of local population [7]._x000D_
Children cannot go to school due to loss of income by their families [7].",,bateke-carbon-sink
Alledged threat of dioxin,An incinerator planned in an area that had become residential,,protest-against-the-plnnaed-qingshuihe-waste-incineration-power-plant-luohu-district-shenzhen-china
,,,shell-contractors-fingered-in-bodo-community-oil-theft-explosion-nigeria
,,Heavy machinery in river beds leading to floods,four-sand-mining-related-deaths-in-jatpura-village-garhwa-district-jharkhand-india
,,,oil-exploration-within-somalias-semi-autonomous-puntland-region
"Excessive blood lead levels of children and adults. For children, excessive levels might affect their nervous system, causing a decline in IQ or in related capabilities.","extra treatment fees and caring time, less income for the families; expulsion of rural households to the urban areas in seeking of safer living environment for the children. ",,c-332-people-with-excessive-blood-lead-caused-by-a-sino-foreign-joint-venture-in-deqing-county-of-zhejiang
,,,lubicon-lake-nation-canada
,,,koroama-women-stage-protest-alleging-neglect-by-shell-nigeria
,,,lignite-mining-janschwalde-horno-germany
,,,appiko-movement-western-ghats-india
,"Outmigration for labour and coolie work, associated vulnerabilities related to remittance economy, isolation of families",Greenhouse gas emissions from submerged aquatic vegetation in waterlogged areas may be high		,environmental-injustice-and-social-vulnerability-due-to-dams-embankments-and-bank-erosion-in-the-ganga-kosi-floodplains-of-bihar-india
Exposure to contaminated environmental resources,,,pulot-citinickel-mine-in-palawan-philippines
Specific impact on children (lead contamination); poisoning from acid (vomiting and dizziness); hemorrhagic measles; loss of  breathing capacity; anencephaly; diarrhea; ,"Specific impacts on women as ""mothers"" very concerned about their children. ",,sufrimiento-ambiental-en-villa-inflamable-argentina
,,,presa-la-boquilla-y-conflicto-por-el-agua-en-chihuahua
Risk of radiation,,,valdecaballeros-nuclear-power-station-spain
"Tremendous cancer rates and other health problems linked to organ failure, etc. There is no hospital to help treat local community members. They have to take a ferry to Puerto Rico's Big Island for specialized care. ",,Sea and water littered with unexploded ordnance,vieques-puerto-rico
,,,silent-valley-kerala-india
,,,monoculture-plantation-in-araucania-chile
,,,contaminacion-en-el-lago-de-maracaibo-venezuela
asthma and other respiratory issue ,,,ain-dara-qnd-the-cement-factory
,,,mineria-en-tamesis-colombia
"Health impact (nuclear risks of irradiation or contamination) → P_x000D_
According to SFNE “Like any industrial activity, nuclear facilities release elements into the environment. Closely traced, controlled and monitored, these discharges are very limited and everything is done to ensure that their impact on the environment is almost zero [10].” Meaning that, even if well managed, there is a risk of irradiation or contamination of personnel, populations, property and the property and the environment.","Socio-economic impacts (social and political debate) → P_x000D_
“On October 12, 1978, this favorable opinion was ratified by the Council of State, which provoked the resignation of the municipal councilors of Le Pellerin and Cheix-en-Retz [9].” Moreover, the mandated presidents at that time have taken sides on this issue before the elections. This shows how central the debate around this issue was._x000D_
_x000D_
Socio-economic impacts (manifestations and protests) → V_x000D_
“While from October to June, large demonstrations brought together between 6,000 and 10,000 people [11].” This demonstration is only one among all of the ones that have happened in over 20 years time as the press review of some of the archives of the anti-nuclear fight shows it._x000D_
_x000D_
Socio-economic impacts (cost of the project) → V_x000D_
The total cost of the project was estimated at 320 to 350 million francs. Moreover, the state has doubled the stakes in an attempt to appease the environmentalists: the budget for the compensation measures granted has been increased from 24 to 50 million francs._x000D_
_x000D_
Socio-economic impacts (destruction of agricultural land) → P_x000D_
In January 1977, the farmers whose land was affected by the project joined forces to create an agricultural land grouping to make it more difficult and time-consuming for EDF to purchase the land. After that, another site was considered.","Environmental impacts (air pollution) → P_x000D_
“In their opinion, an impact study should have been carried out on the entire project, not just on the embankments. The huge construction site was to involve the coming and going of trucks for three years, to spread some two and a half million tons of material drawn from the sea and from quarries [7]”. The air of the region would have been impacted if the project had been put in place. Moreover, great impact on wildlife because of the landfill. _x000D_
_x000D_
Environmental impacts (visual pollution, aesthetic degradation) → P_x000D_
There are different views on the assessment of the quality of life near a nuclear power plant. Regarding Le Monde’s article [8] about this subject, we estimate that it did not impact them overall, except maybe for the “visual pollution”._x000D_
_x000D_
Environmental impacts (biodiversity loss, loss of landscape, soil contamination) → P_x000D_
From June 18 to July 18, 1996, a public inquiry for ""the filling of wetlands [51 hectares], for the construction of a power plant, on the site of Carnet"" was opened [9].” Meaning that it was planned that the construction will cover some natural areas with water, directly impacting the biodiversity living by the river.",energy-ecological-economics-nuclear-power-plant-in-le-carnet
,,,tribu-yaqui-contra-el-gasoducto-gasoducto-guaymas-el-oro-sonora-mexico
,,,pt-lonsum-conflict-sumatra
Respiratory diseases like asthma.,"Some herders had to move to other locations because ""they lost access to some of the grazing territory of their four seasonal traditional grazing pasture areas"" (2). ",,erdenetsagaan-without-mining-eastern-mongolia
"Lack of water and sanitacion; lack of energy (""energy poverty"") in winter",,,lunik-ix-roma-settlement-potable-water-monitored-by-police-and-segregated-by-a-built-wall-in-kosice-slovak-republic
"The health impacts of long-term low level lead exposure in young children are lifelong, irreversible, and untreatable. Studies conducted over the last decades have shown harmful efects of lead at lower and lower blood lead levels, and no safe blood lead level in children has been identifed (Bellinger, 2008). As a result, the U.S. Centers for Disease Control and Prevention (CDC) and other authorities have concluded that there is no known acceptable blood lead exposure level for children (CDC, 2013). Evidence of reduced intelligence caused by childhood exposure to lead has led the World Health Organization (WHO) to list “lead caused mental retardation” as a recognized disease.
WHO also lists it as one of the top ten diseases whose health burden among children is due to modifable environmental factors (Prüss-Üstün and Corvalán, 2006).
Once lead enters a child’s body through ingestion or inhalation or across the placenta, it has the potential to damage a number of biological systems and pathways. The primary target is the central nervous system and the brain, but it can also afect the blood system, the kidneys and the skeleton.
Children are more sensitive to the harmful efects of lead than adults for several reasons, including:
• A child’s brain undergoes very rapid growth, development and diferentiation and lead interferes with this process. For example, it has been shown that moderate blood lead exposure (5 to 40 μg/dL) during early childhood is connected to regionspecifc reductions in adult gray matter volume (Cecil, et al., 2008).
• Exposure to lead early in life can re-program genes, which can lead to altered gene expression and an associated increased risk of disease later in life (WHO, 2010; Mazumdar, et al., 2012).
• Gastrointestinal absorption of lead is enhanced in childhood. Up to 50 percent of ingested lead is absorbed by children, as compared with 10 percent in adults. Pregnant women may also absorb more ingested lead than other adults. In addition, children are more likely to have nutritional defciencies that lead to increased absorption of lead (WHO, 2010). 
Morove exposure to lead can cause: Anaemia, Appetite loss, Weight loss, Behaviour and learning problems, such as hyperactivity, Slowed growth, Hearing problems, Headache, Lethargy, abdominal pains, paleness and vomiting,Degeneration of tissues in the central nervous system is more serious,Circulatory system, reproductive system and gastro-intestinal systems are damaged seriously [1]",,,lead-in-enamel-paint-in-sri-lanka
,Gastos en salud pública por enfermedades.,"Tolvaneras de polvo (remolinos de aire que arrastran polvo y otras partículas, levantando polvaredas en forma de embudos o conos, como pequeños tornados).",no-solo-es-agua-tambien-es-polvo-la-degradacion-del-lago-de-cuitzeo-y-la-lucha-por-la-salud
,,,est-for-invests-paper-mill-at-the-emajogi-river
,,,cerro-el-alguacil-inarwa-colombia
,,,proyecto-de-presa-en-el-rio-cuira-sistema-tuy-iv-venezuela
"Communities in the region have long suffered from the atomic blast at Trinity and the subsequent nuclear colonialism in the region. The impacts of Trinity--and subsequent nuclear blasts in the Southwest-- include contaminated water, air, and a variety of horrific cancers that are widely discussed and have become increasingly well-documented by local communities. Indigenous and Chicanx communities lived agrarian lifestyles that would have made them especially vulnerable as the majority communities in the area. ",,,tularosa-basin-downwinders
,"Increase of ground patrols and aerial surveillance
Atmosphere of denunciation",,air-france-wwf-goodplanet-holistic-conservation-program-madagascar
Illnesses caused by pollutants emitted by aircraft,Inter-clan conflict,,komo-airport
"Theres an alarming scaling up of violence against women, 10 times more than before.","In the past few years the violence against women increased 10-fold. In relation to the construction of the Eldorado Brasil pulp mill, main impacts are a conseuquence of the migration of thousands of workers to the region, especially Trs Lagoas; affecting these trabalhadores with overcrowding in lodgings, violations of workers rights. Disrespect of agreements by subsidiaries of Eldorado. Costs of life have increased considerably, e.g. prices of rent. ",aerial spreading of agrotoxics,fibria-and-eldorado-brasil-project-in-mato-grosso-do-sul-brazil
,,,oil-refinery-blast-in-limbe-cameroon
,,,great-manmade-river-libya
,,,pascua-lama-mine-argentina
,,,rio-tintos-rossing-uranium-mine-namibia
,,Daños irreversibles al patrimonio arqueológico del complejo MuyuMuyu y Huaqamalle de la cultura pre-inca Los Chankras.,las-chancas-peru
,,,yacyreta-dam-on-the-parana-river-argentina
,"Transnational issues on water use (Mauri river, Peru). ",,desertificacion-de-lago-poopo-en-oruro-bolivia
,,,kaolin-pipeline-on-quilombo-land-in-moju-para-brazil
,,,eucalyptus-producer-portucel-group-mozambique
,,,tembember
,,,amboseli-national-park-downgrading-to-a-game-reserve-kenya
,,,protest-against-the-demolition-of-choi-yuen-village-for-xrl-high-speed-rail-hong-kong
,,,gobindpura-thermal-power-plant-punjab-india
,"The customary inhabitants of the land denounce the lack of free, prior and informed consent for the project. Although France has not signed ILO Convention 169 on the rights of indigenous people, the right is enshrined in the French constitution [6].",,amazone-a-defendre-against-a-solar-megapower-plant-french-guyana
,,,parco-regionale-urbano-di-aguzzano-casale-alba-1
,,,shrimp-farming-in-canavieiras-brazil
,,"AquAdvantage fish might escape and cause the collapse of wild salmon populations. Environmental concerns are the most significant ones associated with the development of GE animals (see the report of the National Research Council), which was prepared at the request of the FDA after the AquAdvantage salmon submission. The risk of harm from GE animals is the product of (i) harm, given exposure to the hazard (that is, the GE animal), and (ii) the probability of exposure17,18. And in this case, the probability of exposure given the ‘Limitations for Use’ associated with the AquAdvantage salmon product definition was seen to be extremely small due to the triple redundancy of simultaneous containment measures—that is, (i) land-based production with physical confinement barriers (screens), (ii) reproductive confinement measures resulting in 99% sterility and 100% female production stocks and (iii) thermally lethal lake and stream temperatures downstream from the proposed production facility in Panama— and high salinity of waters surrounding the Canadian location"" [11].",genetically-modified-salmon-for-direct-human-consumption
"Up to 4 workers killed every month, high rates of silicosis (an incurable lung disease). An average of 20 people die each month from work related accidents. According to a 2003 study by the Bolivian National Statistic Institute 98% of local children under 5 years old developed diarrhoea and intestinal problems. ","child labor, widows with low income ",,potosi-mines-of-cerro-rico-bolivia
,,,the-un-resettled-600-roma-to-a-mining-smelting-complex-exposing-them-to-lead-poisoning-kosovo
,,,yokosuka-coal-power-plant
,,,oil-extraction-in-the-indigenous-motilon-bari-territory-colombia
"Breathing problems caused by smoke from fires_x000D_
Covid 19 contamination of indigenous peoples brought by invaders ",,,invasions-in-the-indigenous-lands-of-xingu-para-brazil
,,,contaminacion-del-rio-san-juan-queretaro-mexico
,,,lamu-port-and-related-infrastructure-kenya
,,,planta-geotermica-cerro-pabellon-chile
,"Specific impacts on:  children, pregnant women, or aging populations may be more sensitive to the effects of pesticides than others ",,roma-denied-access-to-clean-water-for-roma-in-slovakia1
,,,overfishing-and-poaching-at-lake-naivasha-kenya
,,,chuvashka-village-in-kuzbass-kemerovo-oblast-covered-in-black-snow-from-coal-mining-russia
,,,andal-airetropolis-india
"Vomiting actions, nausea, and potential exposure to lung diseases ","The health of livestock was affected, which has impact on the livelihood of local residents.",,datang-duolun-coal-chemical-project-in-duolun-inner-mongolia-china
,,Potential increases of water-borne diseases,dai-ninh-hydropower-project-dong-nai-river-vietnam
,,,cienaga-de-ayapel-colombia
,,,carbon
,,,protest-against-land-acquisition-for-chennai-salem-8-lane-expressway-tamil-nadu-india
A team of doctors examined more than 400 patients in November 2014 and found that the condition of the area is severing for normal life. They also fund patients suffering from bronchial ailments and allergic bronchitis due to the pollutants emanating from the dump yard.,,"The famous Sikh Shrine the ""Golden Temple"" is very close to the site.  ",bhagtanwala-solid-waste-management-plant-amritsar-punjab
,,,protest-against-setting-up-of-indian-institute-of-technology-campus-in-goa
,,,el-embalse-la-tranca
,,,solar-power-plant-in-drnis-croatia
,,,no-a-la-pineria-en-costa-rica
,,,pt-rea-kaltim-plantations-in-east-kalimantan
,,Riesgo potencial de radiación nuclear,central-nuclear-china-en-rio-negro
,,,nembe-creek-oil-spill-communities-livelihoods-threatened
,Loss of cultural heritage,,foz-coa-dam-guarda-portugal
,"- inability to build houses_x000D_
- decline in land value",,wind-power-plant-wyczechowo-poland
,,,laguna-de-sonso-colombia
,,,post-disaster-injustices-and-climate-activism-in-the-aftermath-of-typhoon-bopha-philippines
,,"Enormous impact on wildlife, if built. Impact on Ramsar area.",severny-potok-north-stream-natural-gas-pipeline-at-kurgalsky-reserve
