UID,languages
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,it
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,ar
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,cn
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,en
nuclear-waste-storage-in-villar-de-canas-spain,en
nuclear-waste-storage-in-villar-de-canas-spain,ar
nuclear-waste-storage-in-villar-de-canas-spain,cn
nuclear-waste-storage-in-villar-de-canas-spain,fr
nuclear-waste-storage-in-villar-de-canas-spain,it
nuclear-waste-storage-in-villar-de-canas-spain,es
nuclear-waste-storage-in-villar-de-canas-spain,tr
mis-valley-hydropower-plant-italy,en
mis-valley-hydropower-plant-italy,tr
mis-valley-hydropower-plant-italy,ar
mis-valley-hydropower-plant-italy,cn
mis-valley-hydropower-plant-italy,fr
mis-valley-hydropower-plant-italy,it
mis-valley-hydropower-plant-italy,es
malaysia,es
malaysia,tr
malaysia,it
malaysia,fr
malaysia,en
malaysia,cn
malaysia,ar
varun-land-grabbing-madagascar,es
varun-land-grabbing-madagascar,tr
varun-land-grabbing-madagascar,fr
varun-land-grabbing-madagascar,cn
varun-land-grabbing-madagascar,ar
varun-land-grabbing-madagascar,it
varun-land-grabbing-madagascar,en
vindelalven-hydel-project-sweden,en
vindelalven-hydel-project-sweden,ar
vindelalven-hydel-project-sweden,it
vindelalven-hydel-project-sweden,tr
vindelalven-hydel-project-sweden,cn
vindelalven-hydel-project-sweden,fr
vindelalven-hydel-project-sweden,es
land-grabbing-and-filling-up-of-wetlands,en
land-grabbing-and-filling-up-of-wetlands,ar
land-grabbing-and-filling-up-of-wetlands,fr
land-grabbing-and-filling-up-of-wetlands,es
land-grabbing-and-filling-up-of-wetlands,cn
land-grabbing-and-filling-up-of-wetlands,tr
land-grabbing-and-filling-up-of-wetlands,it
luoding-incinerator-guangzhou-china,cn
luoding-incinerator-guangzhou-china,ar
luoding-incinerator-guangzhou-china,it
luoding-incinerator-guangzhou-china,tr
luoding-incinerator-guangzhou-china,en
luoding-incinerator-guangzhou-china,fr
luoding-incinerator-guangzhou-china,es
mineria-en-jardin-antioquia-colombia,es
mineria-en-jardin-antioquia-colombia,cn
mineria-en-jardin-antioquia-colombia,tr
mineria-en-jardin-antioquia-colombia,fr
mineria-en-jardin-antioquia-colombia,en
mineria-en-jardin-antioquia-colombia,it
mineria-en-jardin-antioquia-colombia,ar
illegal-boreholes-for-strawberry-farming-in-donana,en
illegal-boreholes-for-strawberry-farming-in-donana,fr
illegal-boreholes-for-strawberry-farming-in-donana,es
illegal-boreholes-for-strawberry-farming-in-donana,ar
illegal-boreholes-for-strawberry-farming-in-donana,it
illegal-boreholes-for-strawberry-farming-in-donana,tr
illegal-boreholes-for-strawberry-farming-in-donana,cn
pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia,en
pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia,tr
pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia,cn
pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia,es
pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia,ar
pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia,it
pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia,fr
exxaro-leeuwpan-mining-project-south-africa,en
exxaro-leeuwpan-mining-project-south-africa,es
exxaro-leeuwpan-mining-project-south-africa,ar
exxaro-leeuwpan-mining-project-south-africa,cn
exxaro-leeuwpan-mining-project-south-africa,tr
exxaro-leeuwpan-mining-project-south-africa,fr
exxaro-leeuwpan-mining-project-south-africa,it
kosova-e-re-lignite-power-plant,en
kosova-e-re-lignite-power-plant,it
kosova-e-re-lignite-power-plant,tr
kosova-e-re-lignite-power-plant,ar
kosova-e-re-lignite-power-plant,es
kosova-e-re-lignite-power-plant,cn
kosova-e-re-lignite-power-plant,fr
coastal-zone-megaprojects-el-salvador,en
coastal-zone-megaprojects-el-salvador,it
coastal-zone-megaprojects-el-salvador,ar
coastal-zone-megaprojects-el-salvador,es
coastal-zone-megaprojects-el-salvador,fr
coastal-zone-megaprojects-el-salvador,cn
coastal-zone-megaprojects-el-salvador,tr
45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,en
45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,es
45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,ar
45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,it
45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,tr
45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,fr
45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,cn
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,en
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,es
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,ar
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,it
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,cn
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,tr
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,fr
mineria-en-el-cerro-sagrado-care-perro-antioquia,en
mineria-en-el-cerro-sagrado-care-perro-antioquia,ar
mineria-en-el-cerro-sagrado-care-perro-antioquia,tr
mineria-en-el-cerro-sagrado-care-perro-antioquia,it
mineria-en-el-cerro-sagrado-care-perro-antioquia,cn
mineria-en-el-cerro-sagrado-care-perro-antioquia,es
mineria-en-el-cerro-sagrado-care-perro-antioquia,fr
macarthur-metallic-black-sand-mining,ar
macarthur-metallic-black-sand-mining,es
macarthur-metallic-black-sand-mining,fr
macarthur-metallic-black-sand-mining,tr
macarthur-metallic-black-sand-mining,it
macarthur-metallic-black-sand-mining,en
macarthur-metallic-black-sand-mining,cn
russas-valparaiso-redd-projects-acre-brazil,es
russas-valparaiso-redd-projects-acre-brazil,tr
russas-valparaiso-redd-projects-acre-brazil,fr
russas-valparaiso-redd-projects-acre-brazil,en
russas-valparaiso-redd-projects-acre-brazil,cn
russas-valparaiso-redd-projects-acre-brazil,it
russas-valparaiso-redd-projects-acre-brazil,ar
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,tr
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,ar
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,fr
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,cn
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,it
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,es
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,en
dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,en
dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,it
dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,ar
dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,fr
dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,cn
dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,es
dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,tr
ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp,en
ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp,fr
ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp,ar
ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp,cn
ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp,it
ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp,es
ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp,tr
pollution-of-the-obangue-river-also-dubanga-river,en
pollution-of-the-obangue-river-also-dubanga-river,it
pollution-of-the-obangue-river-also-dubanga-river,fr
pollution-of-the-obangue-river-also-dubanga-river,ar
pollution-of-the-obangue-river-also-dubanga-river,cn
pollution-of-the-obangue-river-also-dubanga-river,es
pollution-of-the-obangue-river-also-dubanga-river,tr
shale-gas-hydraulic-fracturing-ile-anticosti,en
shale-gas-hydraulic-fracturing-ile-anticosti,ar
shale-gas-hydraulic-fracturing-ile-anticosti,es
shale-gas-hydraulic-fracturing-ile-anticosti,cn
shale-gas-hydraulic-fracturing-ile-anticosti,fr
shale-gas-hydraulic-fracturing-ile-anticosti,tr
shale-gas-hydraulic-fracturing-ile-anticosti,it
rubber-tree-plantation-near-de-dja-reserve,cn
rubber-tree-plantation-near-de-dja-reserve,en
rubber-tree-plantation-near-de-dja-reserve,fr
rubber-tree-plantation-near-de-dja-reserve,es
rubber-tree-plantation-near-de-dja-reserve,ar
rubber-tree-plantation-near-de-dja-reserve,tr
rubber-tree-plantation-near-de-dja-reserve,it
killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,ar
killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,es
killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,en
killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,it
killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,cn
killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,fr
killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,tr
asbestos-in-salonit-anhovo-slovenia,en
asbestos-in-salonit-anhovo-slovenia,ar
asbestos-in-salonit-anhovo-slovenia,it
asbestos-in-salonit-anhovo-slovenia,cn
asbestos-in-salonit-anhovo-slovenia,tr
asbestos-in-salonit-anhovo-slovenia,es
asbestos-in-salonit-anhovo-slovenia,fr
mining-in-tumpang-pitu-banyuwangi-east-java-indonesia,cn
mining-in-tumpang-pitu-banyuwangi-east-java-indonesia,tr
mining-in-tumpang-pitu-banyuwangi-east-java-indonesia,ar
mining-in-tumpang-pitu-banyuwangi-east-java-indonesia,fr
mining-in-tumpang-pitu-banyuwangi-east-java-indonesia,it
mining-in-tumpang-pitu-banyuwangi-east-java-indonesia,es
mining-in-tumpang-pitu-banyuwangi-east-java-indonesia,en
military-polygon-on-sinjajevina-montenegro,en
military-polygon-on-sinjajevina-montenegro,fr
military-polygon-on-sinjajevina-montenegro,es
military-polygon-on-sinjajevina-montenegro,cn
military-polygon-on-sinjajevina-montenegro,it
military-polygon-on-sinjajevina-montenegro,tr
military-polygon-on-sinjajevina-montenegro,ar
olkiluoto-nuclear-power-plant-euraaminne-finland,en
olkiluoto-nuclear-power-plant-euraaminne-finland,ar
olkiluoto-nuclear-power-plant-euraaminne-finland,tr
olkiluoto-nuclear-power-plant-euraaminne-finland,cn
olkiluoto-nuclear-power-plant-euraaminne-finland,fr
olkiluoto-nuclear-power-plant-euraaminne-finland,es
olkiluoto-nuclear-power-plant-euraaminne-finland,it
cellulose-industry-in-gualeguaychu-ur-arg,en
cellulose-industry-in-gualeguaychu-ur-arg,tr
cellulose-industry-in-gualeguaychu-ur-arg,fr
cellulose-industry-in-gualeguaychu-ur-arg,ar
cellulose-industry-in-gualeguaychu-ur-arg,it
cellulose-industry-in-gualeguaychu-ur-arg,es
cellulose-industry-in-gualeguaychu-ur-arg,cn
construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia,en
construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia,cn
construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia,it
