UID,name,government_actors
tia-maria-peru,Gobierno Municipal de Mollendo,
tia-maria-peru,Gobierno Municipal de Punta de Bombon,
tia-maria-peru,Gobierno Municipal de Dean Valdivia,
tia-maria-peru,Gobierno Municipal de Mejía,
cienaga-grande-de-santa-marta-colombia,Ministerio de Ambiente y Desarrollo Sostenible,
cienaga-grande-de-santa-marta-colombia,Ministerio de Transporte,
cienaga-grande-de-santa-marta-colombia,Senado de la Republica de Colombia,
cienaga-grande-de-santa-marta-colombia,Gobernacion del Magdalena,
cienaga-grande-de-santa-marta-colombia,Alcaldia del municipio de Cienaga,
cienaga-grande-de-santa-marta-colombia,Alcaldia del municipio de Barranquilla,
cienaga-grande-de-santa-marta-colombia,Corporacion Autonoma Regional del Magdalena ,
cienaga-grande-de-santa-marta-colombia,Instituto de Investigaciones Marinas y Costeras Jose Benito Vives de Andreis ,
lonco-mine-projects-argentina,,
lonco-mine-projects-argentina,Gobierno Provincial del Neuquen,
nuclear-power-station-in-cofrents-valencia-spain,Valencian regional government,
nuclear-power-station-in-cofrents-valencia-spain,Spanish Ministry of Industry,
hindustan-petroleum-corporation-limited-refinery-at-tavsal-maharastra-india,Government of India,
hindustan-petroleum-corporation-limited-refinery-at-tavsal-maharastra-india,Ministry of Environment and Forests,
hindustan-petroleum-corporation-limited-refinery-at-tavsal-maharastra-india,Government of Maharashtra,
minamata-disease-japan,Kumamoto University,
minamata-disease-japan,Ministry of Health and Welfares Minamata Food Poisoning Subcommittee,
minamata-disease-japan,Minamata Mayor,
minamata-disease-japan,Todomu Nakamura,
jaitapur-nuclear-power-plant-maharashtra-india,Government of India,
sterlite-copper-smelter-unit-india,Tamil Nadu Pollution Control Board ,
sterlite-copper-smelter-unit-india,District Collector,
sterlite-copper-smelter-unit-india,Ministry of Environment & Forests (MoEF) and the chairperson of the Supreme Court Monitoring Committee ,
niddodi-thermal-power-project-karnataka-india,Government of India,
polska-bnk-petroleum-fracking-poland,Civic Platform Party ,
polska-bnk-petroleum-fracking-poland,Opposition Law and Justice Party ,
biofuels-plantation-farming-in-dakatcha-kenya,National Environment Management Authority ,
biofuels-plantation-farming-in-dakatcha-kenya,Kenya Wildlife Service; Ministry of Local Government,
biofuels-plantation-farming-in-dakatcha-kenya,Ministry of Agriculture,
biofuels-plantation-farming-in-dakatcha-kenya,Water Resources management Authority,
displacement-of-gullah-islanders-usa,US Government,
ban-on-cycling-in-kolkata-west-bengal-india,West Bengal Government,
ban-on-cycling-in-kolkata-west-bengal-india,Kolkata Police,
cuajone-toquepala-ilo-peru,Municipalidad Provincial de Candarave,
cuajone-toquepala-ilo-peru,Municipalidad Provincial de Ilo,
cuajone-toquepala-ilo-peru,Ministerio de Energía y Minas,
chamalapura-thermal-power-plant-karnataka-india,Government of Karnataka,
golden-agri-resources-veroleum-palm-oil-plantations-sinoe-liberia,Government of Liberia,
golden-agri-resources-veroleum-palm-oil-plantations-sinoe-liberia,Minister of Agriculture,
golden-agri-resources-veroleum-palm-oil-plantations-sinoe-liberia,Minister of Finance,
golden-agri-resources-veroleum-palm-oil-plantations-sinoe-liberia,Chairman of the National Investment Commission,
xakriaba-territorial-struggle-brazil,Fundacao Nacional do Indio - FUNAI,
xakriaba-territorial-struggle-brazil,Fundacao Nacional de Saude - FUNASA,
xakriaba-territorial-struggle-brazil,Universidade Federal de Minas Gerais - UFMG,
xakriaba-territorial-struggle-brazil,Secretaria Especial de Saúde Indígena - SESAI,
industrial-pollution-at-st-regis-mohawks-turtle-cove-usa,New York State Department of Environmental Conservation,
industrial-pollution-at-st-regis-mohawks-turtle-cove-usa,United States Environmental Protection Agency ,
industrial-pollution-at-st-regis-mohawks-turtle-cove-usa,U.S. Department of Justice Environment and Natural Resources Division,
tozzi-green-ihorombe-agrofuels-madagascar,Vice-Primature en charge du développement et de l'aménagement du territoire ,
tozzi-green-ihorombe-agrofuels-madagascar,Direction Générale des Services Fonciers ,
tozzi-green-ihorombe-agrofuels-madagascar,Observatoire du Foncier ,
tozzi-green-ihorombe-agrofuels-madagascar,Domains and Topography services,
tozzi-green-ihorombe-agrofuels-madagascar,Ihorombe Region,
san-cristobal-potosi-bolivia-reubicacion,Corte Suprema de Bolivia,
shell-spill-in-otuasega-community-nigeria,NOSDRA ,
shell-spill-in-otuasega-community-nigeria,NESREA ,
drying-up-of-tuz-lake-closed-water-basin-turkey,Ministry of Energy and Natural Resources,
drying-up-of-tuz-lake-closed-water-basin-turkey,Ministry of Food,
drying-up-of-tuz-lake-closed-water-basin-turkey,Agriculture and Livestock,
sierra-leone-agriculture-siva-group-biopalm-project-in-port-loko-sierra-leone,Sierra Leone Investment and Export Promotion Agency ,
fruta-del-norte-ecuador,Ministerio del Ambiente,
fruta-del-norte-ecuador,Ministerio de Recursos Naturales no Renovables,
fruta-del-norte-ecuador,Prefectura de Zamora Chinchipe,
fruta-del-norte-ecuador,Salvador Quishpe,
castor-project-gas-off-shore-storage-in-vinaros-spain,Ministry of Industry,
castor-project-gas-off-shore-storage-in-vinaros-spain,Vinarós Town council,
castor-project-gas-off-shore-storage-in-vinaros-spain,Amposta Town Council,
castor-project-gas-off-shore-storage-in-vinaros-spain,Benicàssim Town Council,
castor-project-gas-off-shore-storage-in-vinaros-spain,European Comission,
sable-chemicals-zimbabwe,Ministry of Agriculture,
sable-chemicals-zimbabwe,Environmental Management Agency,
sable-chemicals-zimbabwe,Agricultural tehcnical and Extension Services,
sable-chemicals-zimbabwe,Mechanization and Irrigation Development,
sable-chemicals-zimbabwe,Ministry of Energy and Water Resources Development,
sable-chemicals-zimbabwe,Ministry of Environment and Natural Resource Management,
wilmar-and-land-grab-in-cross-river-state,Ministry of Agriculture,
wilmar-and-land-grab-in-cross-river-state,Cross River State Forestry Commission,
wilmar-and-land-grab-in-cross-river-state,Ministry of Justice,
ojnare-forest-lime-stone-mine-gotland-sweden,The Swedish Land and Environmental Court,
ojnare-forest-lime-stone-mine-gotland-sweden,The Swedish Supreme Court,
ojnare-forest-lime-stone-mine-gotland-sweden,The Swedish EPA,
mirador-cordillera-del-condor-ecuador,Gobierno Nacional,
mirador-cordillera-del-condor-ecuador,Ministerio del Ambiente,
mirador-cordillera-del-condor-ecuador,Ministerio de Recursos Naturales no Renovables,
mirador-cordillera-del-condor-ecuador,Prefectura de Zamora Chinchipe,
exploracion-hidrocarburos-en-san-andres-islas-colombia,Ministerio de Minas y Energia,
exploracion-hidrocarburos-en-san-andres-islas-colombia,Ministerio de Ambiente y Desarrollo Sostenible,
exploracion-hidrocarburos-en-san-andres-islas-colombia,Instituto Colombiano de Geologia y Mineria ,
exploracion-hidrocarburos-en-san-andres-islas-colombia,Senado de la Republica,
exploracion-hidrocarburos-en-san-andres-islas-colombia,Presidencia de La Republica,
exploracion-hidrocarburos-en-san-andres-islas-colombia,Contraloria General de la Republica,
exploracion-hidrocarburos-en-san-andres-islas-colombia,Corporaciï¿½n para el Desarrollo Sostenible del Archipiï¿½lago de San Andres,
exploracion-hidrocarburos-en-san-andres-islas-colombia,Providencia y Santa Catalina ,
privatization-of-water-in-tucuman-argentina,The Government of Argentina,
privatization-of-water-in-tucuman-argentina,The Provincial Governor of Tucumn,
privatization-of-water-in-tucuman-argentina,The French Government,
samokov-landfill-site,Ministry of Environment and Water,
samokov-landfill-site,Samokov Municipality,
samokov-landfill-site,Dolna Banya Municipality,
samokov-landfill-site,Ihtiman Municipality,
samokov-landfill-site,Kostenets Municipality,
crude-fire-ravages-ubeji-nigeria,Nigerian National Petroleum Corporation.,
conflict-involving-miners-of-juma-river-novo-aripuana-am-brazil,Departamento Nacional de Producao Mineral - DNPM,
conflict-involving-miners-of-juma-river-novo-aripuana-am-brazil,Instituto Nacional de Colonizacao e Reforma Agraria - INCRA,
conflict-involving-miners-of-juma-river-novo-aripuana-am-brazil,Instituto Nacional de Meio Ambiente e Recursos Naturais Renovaveis - IBAMA,
conflict-involving-miners-of-juma-river-novo-aripuana-am-brazil,Companhia de Pesquisa de Recursos Naturais - CPRM,
conflict-involving-miners-of-juma-river-novo-aripuana-am-brazil,Ministerio Publico Federal - MPF,
conflict-involving-miners-of-juma-river-novo-aripuana-am-brazil,Governo do Estado do Amazonas,
conflict-involving-miners-of-juma-river-novo-aripuana-am-brazil,Secretaria Estadual de Desenvolvimento Sustentavel - SDS,
conflict-involving-miners-of-juma-river-novo-aripuana-am-brazil,Secretaria Estadual de Mineracao Geodiversidade de Recursos Hdricos - SEMGRH,
conflict-involving-miners-of-juma-river-novo-aripuana-am-brazil,Policia Militar do Estado do Amazonas,
exploratory-fracking-in-balcombe-uk,UK government ,
dtz-ozgeo-gold-penhalonga-zimbabwe,Ministry of Mines and Mining Development,
dtz-ozgeo-gold-penhalonga-zimbabwe,Zimbabwe Mining Development Corporation,
dtz-ozgeo-gold-penhalonga-zimbabwe,Environmental Management Agency,
ruchi-agri-soybean-operation-in-gambela-ethiopia,Ministry of Agriculture and Rural Development ,
eucalyptus-monoculture-in-eunapolis-bahia-brazil,Ministerio Publico Federal - MPF,
eucalyptus-monoculture-in-eunapolis-bahia-brazil,Centro de Recursos Ambientais - CRA,
eucalyptus-monoculture-in-eunapolis-bahia-brazil,Fundacao Nacional do Indio - FUNAI,
eucalyptus-monoculture-in-eunapolis-bahia-brazil,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renovaveis - IBAMA,
eucalyptus-monoculture-in-eunapolis-bahia-brazil,Instituto de Meio Ambiente - IMA,
eucalyptus-monoculture-in-eunapolis-bahia-brazil,Conselho Estadual de Proteo Ambiental - CEPRAM,
socfin-agricultural-company-sierra-leone-ltd-oil-palm-plantation-in-malen-chiefdom-pujeun-district-sierra-leone,Ministry of Agriculture,
socfin-agricultural-company-sierra-leone-ltd-oil-palm-plantation-in-malen-chiefdom-pujeun-district-sierra-leone,Forestry and Food Security of Sierra Leone,
bajo-la-alumbrera-mine-argentina,Gobierno argentino,
bajo-la-alumbrera-mine-argentina,Gobierno provincial de Argentina,
bajo-la-alumbrera-mine-argentina,Fiscala de Tucumán,
ankulapaturu-thermal-power-plant-ap-india,Government of India,
ankulapaturu-thermal-power-plant-ap-india,Government of Andhra Pradesh,
ankulapaturu-thermal-power-plant-ap-india,Andhra Pradesh Pollution Control Board,
mozambique-water-pollution-from-a-dumpsite-zimbabwe,Ministry of Environment and Tourism,
mozambique-water-pollution-from-a-dumpsite-zimbabwe,Environmental Management Agency,
mozambique-water-pollution-from-a-dumpsite-zimbabwe,Zimbabwe National Water Authority,
mozambique-water-pollution-from-a-dumpsite-zimbabwe,Mutare City Council,
gmos-in-aragon-spain,Aragon regional governement,
gmos-in-aragon-spain,Departamento de Agricultura y Alimentación de la Chunta de Aragón,
gmos-in-aragon-spain,Ministerio de Medio Ambiente,
gmos-in-aragon-spain,Alimentación y Agricultura,
gold-mining-in-indigenous-yanomami-territory-brazil,CIDH - USA,
gold-mining-in-indigenous-yanomami-territory-brazil,Government of Brazil,
gold-mining-in-indigenous-yanomami-territory-brazil,Ministry of Mines and Energy - Brazil,
gold-mining-in-indigenous-yanomami-territory-brazil,FUNAI - Brazil,
gold-mining-in-indigenous-yanomami-territory-brazil,Federal Police - Brazil,
gold-mining-in-indigenous-yanomami-territory-brazil,Supreme Federal Tribunal - Brazil,
gold-mining-in-indigenous-yanomami-territory-brazil,State Governor of Roraima - Brazil,
ituango-hidroelectrica-colombia,Ministerio de Ambiente,
ituango-hidroelectrica-colombia,Ministerio de Minas y Energía,
ituango-hidroelectrica-colombia,Gobernación de Antioquia,
ituango-hidroelectrica-colombia,Contraloria delegada para asuntos ambientales y derechos colectivos,
mapithel-dam-manipur-india,Planning Commission,
mapithel-dam-manipur-india,Central Water Commission,
mapithel-dam-manipur-india,Manipur State Planning Department,
quebrada-blanca-tarapaca-chile,Superintendencia,
quebrada-blanca-tarapaca-chile,Dirección General de Aguas ,
quebrada-blanca-tarapaca-chile,Servicio Agrícola y Ganadero ,
quebrada-blanca-tarapaca-chile,Servicio Nacional de Geología y Minería ,
ecuadors-prior-consult-in-the-oil-blocks-20-and-29-ecuador,Ministry of Energy and Mines ,
moratorium-on-oil-exploration-harken-energy-costa-rica,SETENA - Costa Rica,
moratorium-on-oil-exploration-harken-energy-costa-rica,Municipality of Talamanca - Costa Rica,
dow-chemicals-rd-unit-pune-india,Maharashtra Pollution Control Board,
dow-chemicals-rd-unit-pune-india,Maharashtra Industrial Development Corporation ,
cut-flowers-industry-in-pedro-moncayo-ecuador,Environment Ministry; Secretara Nacional de Pueblos ,
cut-flowers-industry-in-pedro-moncayo-ecuador,Pedro Moncayo council,
preservation-of-livelihood-of-sarikecili-nomads-turkey,Ministry of Forestry and Water Works,
preservation-of-livelihood-of-sarikecili-nomads-turkey,Forestry Management Directorates,
preservation-of-livelihood-of-sarikecili-nomads-turkey,the gendarme,
preservation-of-livelihood-of-sarikecili-nomads-turkey,the heads of villages,
pande-temane-natural-gas-pipeline-mozambiquesouth-africa,Empresa Nacional de Hidrocarbonatos ,
pande-temane-natural-gas-pipeline-mozambiquesouth-africa,The Matola Gas Company,
pande-temane-natural-gas-pipeline-mozambiquesouth-africa,Ministry of the Environment ,
pande-temane-natural-gas-pipeline-mozambiquesouth-africa,Ministry of Trade and Industry,
hydraulic-fracking-egypt,Ministry of State for Environmental Affairs,
hydraulic-fracking-egypt,Egyptian Environmental Affairs Agency ,
hydraulic-fracking-egypt,Egyptian General Petroleum Company ,
genetically-modified-organisms-in-turkey,Ministry of Food,
genetically-modified-organisms-in-turkey,Agriculture and Animal Husbandry,
genetically-modified-organisms-in-turkey,The Turkish Biosafety Commission,
pasta-de-conchos-mine-disaster-mexico,Secretaria del Trabajo y Prevision Social,
pasta-de-conchos-mine-disaster-mexico,Gobierno Federal Mexicano,
trasvase-tajo-segura-spain,Gobierno Castilla La Mancha,
trasvase-tajo-segura-spain,Gobierno de Murcia,
trasvase-tajo-segura-spain,Comisión Central de Explotación del Acueducto Tajo-Segura,
trasvase-tajo-segura-spain,Ministerio de Agricultura y Medio Ambiente,
trasvase-tajo-segura-spain,Comunidad de Regantes del Tajo,
trasvase-tajo-segura-spain,Comunidad de Regantes del Seguro,
trasvase-tajo-segura-spain,Agricultores tanto de la cuenca del Tajo como del Segura,
trasvase-tajo-segura-spain,Políticos de diferentes partidos…,
carbon-black-emission-from-warri-refinery-nigeria,Nigerian National Petroleum Corporation.,
lignite-mining-cottbus-nord-lakoma-germany,Brandenburg Government,
uruguay-no-mineria-de-hierro,Gobierno Nacional del Uruguay,
quilomboas-of-conceicao-das-crioulass-struggle-for-land-and-water-in-salgueiro-pe-brazil,Instituto Nacional de Colonizacao e Reforma Agraria - INCRA,
quilomboas-of-conceicao-das-crioulass-struggle-for-land-and-water-in-salgueiro-pe-brazil,Ministerio Publico Federal - MPF,
quilomboas-of-conceicao-das-crioulass-struggle-for-land-and-water-in-salgueiro-pe-brazil,Fundacao Cultural Palmares - FCP,
quilomboas-of-conceicao-das-crioulass-struggle-for-land-and-water-in-salgueiro-pe-brazil,Ministerio do Desenvolvimento Agrario - MDA,
cargill-agricola-port-for-soy-export-brazil,IBAMA ,
cargill-agricola-port-for-soy-export-brazil,Secretary of State for Science and Technology,
cargill-agricola-port-for-soy-export-brazil,Ministry of Transport and Ministry of Companies,
timber-exploitation-porto-de-moz-brazil,IBAMA ,
timber-exploitation-porto-de-moz-brazil,State Police,
mainland-mine-analanjirofo-madagascar,Bureau du cadastre minier de Madagascar ,
mainland-mine-analanjirofo-madagascar,National Environment Office or Office National de lEnvironnement ,
green-resources-platantions-tanzania,Tanzania government,
kaiga-atomic-power-station-karnataka-india,Government of India,
kaiga-atomic-power-station-karnataka-india,Government of Karnataka,
pollution-of-ergene-river-and-basin-turkey,Ministry of Development,
pollution-of-ergene-river-and-basin-turkey,Ministry of Environment and Urbanisation,
pollution-of-ergene-river-and-basin-turkey,State Hydraulic Works,
pollution-of-ergene-river-and-basin-turkey,Ministry of Forestry and Water Affairs,
pollution-of-ergene-river-and-basin-turkey,all universities in Thrace,
damodaram-sanjeevaiah-thermal-power-station-ap-india,Governemt of Andhra Pradesh,
tata-steel-plant-kalinganagar-orissa-india,Government of Odisha,
tata-steel-plant-kalinganagar-orissa-india,Bharatya Janta Party ,
coca-cola-botteling-plant-in-dehradun-india,Government of Uttarakhand,
coca-cola-botteling-plant-in-dehradun-india,State Infrastructure and Industrial Development Corporation of Uttarakhand Ltd ,
fracking-araba-enara-spain,Industry of the Basque Government,
fracking-araba-enara-spain,Basque President,
fracking-araba-enara-spain,Basc Goverment,
fracking-araba-enara-spain,Basque government and Diputación Foral,
fracking-araba-enara-spain,Municipality of Vitoria-Gasteiz. Spanish central administration.,
fenix-el-estor-guatemala,Ministerio de Energia y Minas,
fenix-el-estor-guatemala,Ministerio de Gobernacion de Guatemala,
