UID,updated_at,slug,name,locale,id,headline
lesten-tampur-dam,2022-05-02,lesten-tampur-dam,"Batang Toru dam, North Sumatra, Indonesia",en,3704,A dam has been proposed in a high-value conservation area in Indonesia that is home to the few remaining members of a rare orangutan species. 
sime-darby-plantation-land-conflict-liberia,2023-06-16,sime-darby-plantation-land-conflict-liberia,"Sime Darby Plantation land conflict, Liberia",en,170,
obsolete-pesticides-in-abaco-island-bahamas,2022-05-02,obsolete-pesticides-in-abaco-island-bahamas,"Toxic waste management in Abaco Island, The Bahamas ",en,3634,"In 1995, the government of Bahamas jointly with Owens-Illinois Corporation cleaned-up a  sugar mill site where during the 70´s more than 40 fifty-gallon of pesticides were disposed of. "
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,2022-05-02,anglo-platinum-mogalakwena-mine-lawsuit-south-africa,"Anglo Platinum Mogalakwena mine lawsuit, South Africa",en,838,
mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,2022-05-02,mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,"Mobil oil spills in the Atlantic Coast line, Nigeria",en,594,
oil-drilling-in-the-national-park-of-calilegua,2021-10-14,oil-drilling-in-the-national-park-of-calilegua,"Oil drilling in the National Park of Calilegua, Argentina",en,2184,"Moblization of various different social actors to stop the oil drilling activities in the Calilegua National Park. In spite of their opposition and against the envrionmental laws in force, the oil drilling license has been extended. "
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,2021-10-14,rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,"Gold mining in Rebkong endangers human lives and ecology, TAP Huangnan, Qinghai, China",en,2325,A Chinese gold mining operation pollutes the Gu Chu river putting in danger sources of livelihood for Tibetans.
irish-cement,2021-10-14,irish-cement,"Stop Irish Cement Ltd. (Limerick) from burning tyres and other waste, Ireland",en,2515,A cement production plant seeks to shift from fossil fuel burning to incineration of tyres and other waste  despite community fears over air pollution and dioxins.
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,2021-10-14,centrale-elettronucleare-alto-lazio-di-montalto-di-castro,Planta de energía nuclear de Montalto di Castro,es,4553,La central nuclear de Montalto di Castro: la movilización de la ciudadanía y la popular voluntad llevará al cierre del histórico central.
telangana-government-plantation-programme,2021-10-14,telangana-government-plantation-programme,"Tribals, Forest Rights Activists Oppose Telangana Government's Tree-Plantation Programme, India",en,3959,"Haritha Haram is a tree-plantation programme by the Government of Telangana, which was launched in 2015. It has often coincided  with tree-felling, thus leading to protests in cities and countryside. "
yalova-vopak-chemical-storage-terminal-turkey,2023-06-11,yalova-vopak-chemical-storage-terminal-turkey,"Yalova VOPAK Chemical Storage Terminal, Turkey",en,1052,
rare-earth-mining-in-mountains-of-myanmar,2023-04-25,rare-earth-mining-in-mountains-of-myanmar,"Rare Earth Mining in Kachin State, Myanmar",en,6305,"Myanmar's ethnic minorities bear the brunt of Rare Earth mining for energy transition.  Chinese firms  outsource this toxic mining industry from China to Myanmar in this ""sacrifice zone""."
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,2022-05-02,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,"Illegal gold mining and killing of anti-mining indigenous leaders, Mindanao, Philippines",en,1919,"Life for gold: Several members of CSO KASILO, including Jimmy Liguyon, indigenous leader of the lumad Matigsalog tribe and vocal opponent of large-scale gold mining, were killed for refusing to support mining interests on indigenous lands"
depredacion-ecologica-en-el-cerro-de-el-cimatario,2022-05-02,depredacion-ecologica-en-el-cerro-de-el-cimatario,"Depredación Ecológica en el Cerro El Cimatario, Querétaro, México",en,5607,"El crecimiento acelerado y desmedido de la mancha urbana de la ciudad de Querétaro, invade y amenaza el Parque Nacional del Cerro El Cimatario lo que ha generado un proceso de defensa ambiental por parte de organizaciones locales. "
contaminacion-del-rio-pirai,2021-10-14,contaminacion-del-rio-pirai,"Contaminación del Río Piraí, Bolivia",en,2442,"1983, Santa Cruz vive uno de los desastres ambientales más recordados de su historia. Excesiva explotación de los áridos de su río hace desbordar las aguas, arrastrando todo a su paso. Hoy, el río sufre altos niveles de contaminación"
chuangyuan-aluminium-plant-pollution-in-hunan-china,2022-05-02,chuangyuan-aluminium-plant-pollution-in-hunan-china,"Chuangyuan aluminium plant pollution in Hunan, China ",en,1873,
buryatia-vs-yukos-oil-russian-federation,2022-03-15,buryatia-vs-yukos-oil-russian-federation,"Buryatia (Tunka National Park) vs Yukos oil, Russian Federation",en,5834,Yukos planned to build a pipeline to China through Tunka National Park next to Lake Baikal. Local opposition stopped it.  Values of respect for and sacredness of nature played a role. 
wisco-soalala-iron-ore-madagascar,2022-05-02,wisco-soalala-iron-ore-madagascar,"WISCO Soalala iron ore, Madagascar",en,1475,
sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,2021-10-14,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,"Sahara India Eco Tourism Project in Sundarbans, West Bengal, India",en,1502,
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,2021-10-14,illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,"Illegal landfill near Qalqilyah, between the towns of Jayus and Azun, Palestine",en,1649,Dump site used for  industrial and chemical waste from Israeli factories located inside the Green Line as well as domestic waste settlements contaminates groves and puts community's health at risk
exploratory-fracking-at-kirby-misperton-yorkshire,2021-10-14,exploratory-fracking-at-kirby-misperton-yorkshire,"Exploratory Fracking at Kirby Misperton, Yorkshire, UK",en,3294,"The small Yorkshire village of Kirby Misperton has become a fracking frontline, with ongoing protests since Third Energy were granted planning permission to carry out hydraulic fracturing tests. This sets a precedent for fracking in the UK."
bedford-biofuels-jatropha-tana-delta-kenya,2022-05-02,bedford-biofuels-jatropha-tana-delta-kenya,"Bedford Biofuels Jatropha, Tana Delta, Kenya",en,33,
derrame-de-petroleo-en-el-campo-de-frade-brazil,2021-10-14,derrame-de-petroleo-en-el-campo-de-frade-brazil,"Derrame de petroleo en el campo de Frade, Brasil",en,2274,"In 2011 a spill of crude oil of great proportion was registered in the sea, following the rupture of a pipeline. At the moment, a criminal action is ongoing but Chevron still operates freely on Brazilian territory"
chemehuevi-indian-tribe-off-roading-damage,2022-04-25,chemehuevi-indian-tribe-off-roading-damage,"Chemehuevi Indian Tribe Off-Roading Damage, CA, USA",en,1660,Off-road vehicles threaten land sacred to the Chemehuevi Indian Tribe and biodiversity in their area. Authorities reply they do not have appropriate funding to adequately patrol and enforce these areas and legal processes have been delayed numerous times.
clayoquot-sound-canada,2023-07-30,clayoquot-sound-canada,"Clayoquot Sound, Canada",en,4120,"During the 'War in the Woods' in Clayoquot Sound in the 90s, over 800 people were arrested and Canada's environmental movement came-of-age. These protests continue to shape Canada’s political landscape."
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,2023-07-25,adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,"Adani's solar power plant taking land away from farmers, Rajasthan, India",en,6256,Adani's ultra mega solar power plant encroaches on Nedan village and threatens the local sacred lands and traditional agricutural and grazing commons.
nuclear-waste-storage-in-villar-de-canas-spain,2021-10-14,nuclear-waste-storage-in-villar-de-canas-spain,"Nuclear Waste Storage in Villar de Cañas, Spain",en,64,The nuclear waste deposit (ATC) in Villar de Cañas in the region of Castilla La Mancha has been running into increased difficulties since the plan was launched in 2004.
mis-valley-hydropower-plant-italy,2022-04-25,mis-valley-hydropower-plant-italy,"Mis Valley Hydropower plant, Italy",en,190,
malaysia,2023-07-30,malaysia,"Bakun dam, Malaysia",en,1681,
varun-land-grabbing-madagascar,2021-10-14,varun-land-grabbing-madagascar,"Varun land grabbing, Madagascar",en,1441,
vindelalven-hydel-project-sweden,2022-04-25,vindelalven-hydel-project-sweden,"Vindelälven hydel project, Sweden",en,407,"Successful movement against a dam. The site has become a protected area, also a Ramsar area. "
land-grabbing-and-filling-up-of-wetlands,2023-07-18,land-grabbing-and-filling-up-of-wetlands,"Ashiyan City project and land grabbing in wetlands, Bangladesh",en,2620,Land grabbing in the name of township development in biodiverse wetlands. Complaints and petitions of the local people stopped the project for now but a long legal battle awaits ahead
luoding-incinerator-guangzhou-china,2021-10-14,luoding-incinerator-guangzhou-china,"Langtang  incinerator stopped in Luoding, Guangdong, China",en,2471,"Plans for an incinerator in Langtang township, Luoding city, belonging to China Resources Cement Holdings, were discarded after demonstrations by citizens and clashes with the police in April 2015."
mineria-en-jardin-antioquia-colombia,2022-04-25,mineria-en-jardin-antioquia-colombia,"Minería en Jardín, Antioquia, Colombia",en,2144,"""Somos sembradores, no somos mineros!"" - Siguen proyectos mineros de extracción de oro en el Cinturón de Oro de Antioquia. Marchas en la plaza principal, foros y reuniones: la comunidad se ha posicionado en un “No a la minería”"
illegal-boreholes-for-strawberry-farming-in-donana,2022-05-02,illegal-boreholes-for-strawberry-farming-in-donana,"Illegal boreholes for strawberry farming in Doñana, Spain",en,1476,"Doñana is a Natural World Heritage wetland, highly dependent on water, which is threatened by the - often illegal - water abstractions and inefficient use at 6,000 hectares of strawberry farms."
pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia,2022-05-02,pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia,"PT Ampibabo and PT Agri Toribulu oil palm companies in Parimo Regency,  Central Sulawesi, Indonesia",en,3377,"Several sub-districts of Parigi Moutong Regency are mobilizing has against palm oil developments in the regency. Focus is put on the operations of PT Ampibabo Agro Lestari and PT Agri Toribulu Asri, who administer oil palm concessions in 4 sub-districts. "
exxaro-leeuwpan-mining-project-south-africa,2021-10-14,exxaro-leeuwpan-mining-project-south-africa,"Exxaro Leeuwpan Mining Project, South Africa",en,296,
kosova-e-re-lignite-power-plant,2021-10-14,kosova-e-re-lignite-power-plant,  Kosova e Re lignite power plant,en,1669,
coastal-zone-megaprojects-el-salvador,2022-05-02,coastal-zone-megaprojects-el-salvador,"Coastal megaprojects in Bahia de Jiquilisco, El Salvador ",en,1418,A Ramsar site and a very rich mangrove area is threatened by gigantic tourism development projects. Local fishermen and local communities complain.
45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,2022-04-25,45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,"Iron ore mining and transport in Sonshi, Goa, India",en,2920,A protest against iron ore mining and transport leading to arrest of 45 villagers including 23 women might successfully stop the projects in Sonshi village in North Goa. 
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,2021-10-14,fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,"Fracking en municipios del Maestrat y Els Ports en Castellón, Comunitat Valenciana, Spain",en,1630,Fracking frontiers expanding in the Comunitat Valenciana; a Canadian company and its Spanish subsidiary promises jobs and revenues but local committees oppose the explorations.
mineria-en-el-cerro-sagrado-care-perro-antioquia,2022-05-02,mineria-en-el-cerro-sagrado-care-perro-antioquia,"Minería en el cerro sagrado Care Perro en Antioquia, Colombia",en,1547,
macarthur-metallic-black-sand-mining,2023-06-14,macarthur-metallic-black-sand-mining,"MacArthur Metallic / Black Sand Mining, Philippines",en,1896,"MacArthur, a town endowed with rich fertile lands and a lake is threatened by black sand mining."
russas-valparaiso-redd-projects-acre-brazil,2022-05-02,russas-valparaiso-redd-projects-acre-brazil,"Russas and Valparaíso REDD+ projects in Acre, Brazil",en,3585,"Despite high promises, these two carbon offset projects show that REDD+ is not an idea that comes from the communities, nor one that benefits these. Instead it creates a new commodity of carbon credits that permits ongoing pollution in the Global North."
ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,2022-05-02,ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,"Ecological Disaster on popular Khalaktyrsky Beach, Kamchatka, Russia",en,5247,An ecological disaster took place in Eastern Kamchatka and resulted in the washing up of marine corpses onto the shores of Khalaktyrsky beach. The incident sparked nationwide outrage.
dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,2022-01-04,dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,Dominican Republic´s farmers threatened by new seed bill,en,1945,Dominican Republic Senator affiliated with chemical industry promotes a new seed law that touches off  farmers movement 
ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp,2021-10-14,ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp,"Farmworkers sued chemical companies, Ivory Coast ",en,2832,"Farmworkers claims against manufacturers,
distributors, and users of the pesticide DBCP for genocide and crimes against humanity under the Alien Tort Statute (“ATS”) in Ivory Coast. "
pollution-of-the-obangue-river-also-dubanga-river,2022-01-04,pollution-of-the-obangue-river-also-dubanga-river,"Pollution of the Obangué River (also Dubanga River), Gabon",en,1765,"Addax Petroleum,  a subsidiary of the  Sinopec Group, from China,  has been  in Gabon since 2004, polluting the river Obangué, and engaged in conflicts over taxes with the Gabon government."
shale-gas-hydraulic-fracturing-ile-anticosti,2021-10-14,shale-gas-hydraulic-fracturing-ile-anticosti,"Shale Gas Fracking on Île Anticosti, Quebec, Canada",en,1554,"Quebec's bid for energy independence threatens island refuge with plans to test novel fracking technologies. Locals are calling the plans to frack: ""the theft of the century."""
rubber-tree-plantation-near-de-dja-reserve,2023-07-30,rubber-tree-plantation-near-de-dja-reserve,"Rubber tree plantation and latex factory near Dja Reserve, by Sudcam Hévéa S.A., Cameroon",en,3362,The creation of a huge rubber plantation near the Dja Reserve is a threat for wildlife and people in this important area of the Congo Basin. It can affect to endangered species and is already damaging the lifes of the local community. 
killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,2022-05-02,killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,"Killing of Asháninka leader Estela Casanto Mauricio in Junín, Peru",en,5477,"On March 12, 2021, Asháninka leader Estela Casanto Mauricio was killed after years of being threatened for her indigenous land rights advocacy"
asbestos-in-salonit-anhovo-slovenia,2023-07-25,asbestos-in-salonit-anhovo-slovenia,"Asbestos in Salonit Anhovo, Slovenia",en,396,
mining-in-tumpang-pitu-banyuwangi-east-java-indonesia,2021-10-31,mining-in-tumpang-pitu-banyuwangi-east-java-indonesia,"Metal Mining in Tumpang Pitu, Banyuwangi, East Java, Indonesia",en,3281,"Mount Tumpang Pitu is a small mountain located in Banyuwangi Regency. Since 1995, corporate mining activities in the area met esistance by local communities, followed by criminalization of activists."
military-polygon-on-sinjajevina-montenegro,2022-10-10,military-polygon-on-sinjajevina-montenegro,"Military Polygon on Sinjajevina, Montenegro",en,4918,"Save Sinjajevina! From a territory of life, traditional pastoralist communities and unique outstanding alpine landscapes of Europe, to a territory of death, warfare, and destruction!"
olkiluoto-nuclear-power-plant-euraaminne-finland,2021-10-14,olkiluoto-nuclear-power-plant-euraaminne-finland,"Olkiluoto Nuclear Power Plant, Euraåminne, Finland",en,419,After a very long delays in construction (ten years) it seems that this nuclear power plant might start in 2020. 
cellulose-industry-in-gualeguaychu-ur-arg,2021-10-14,cellulose-industry-in-gualeguaychu-ur-arg,"Cellulose industry in Gualeguaychu, Uruguay and Argentina",en,489,
construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia,2022-05-02,construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia,"Construction of the highway Moscow-Petersburg through the Khimki forest, Russia",en,1464,
thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina,2023-06-29,thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina,"Series of pollution events by Guangxi Xinfa Aluminum & Electricity, Jingxi, China",en,3775,"Low-cost aluminum producer, Guangxi Xinfa pollutes   land, water and air, threatening human safety and health, food security, livelihoods as well as the landscape. A court decision has not yet been reached."
habitantes-de-shaglli-contra-proyecto-minero-shyri-ecuador,2022-01-04,habitantes-de-shaglli-contra-proyecto-minero-shyri-ecuador,"Habitantes de Shaglli contra proyecto minero Shyri, Ecuador",en,2153,"Inhabitants of Shaglli strongly complained in 2012 against the Canadian mining company Cornerstone. Seventeen of them were ""criminalized"" by the government of Ecuador. "
anti-fracking-uprising-in-ain-salah,2023-08-05,anti-fracking-uprising-in-ain-salah," Anti-fracking uprising in Ain Salah, Algeria",en,2676,"As a desert oasis, Ain Salah relies on a sensitive aquifer system now overlapping with at least four intensive shale gas fields. From the start of 2015, huge anti-fracking protests erupted, some sustained for more than 5 months despite brutal repression."
complejo-inmobiliario-mitikah-ciudad-viva,2023-07-18,complejo-inmobiliario-mitikah-ciudad-viva,"Complejo inmobiliario MÍTIKAH y Ciudad Viva en Ciudad de México, México",en,5515,"Xoco, un pueblo originario de la Ciudad de México, defiende el agua, las áreas verdes y sus tradiciones frente a la especulación inmobiliaria"
cano-limon-oilfield-in-arauquita-arauca-colombia,2021-11-24,cano-limon-oilfield-in-arauquita-arauca-colombia,"Caño Limón oilfield in Arauquita, Arauca, Colombia ",en,5716,"Caño Limón has attracted armed violence ever since it was established. Extrajudicial killings of environmental defenders are commonplace, such as that of Maria Del Carmen Moreno Páez."
represas-del-rio-santa-cruz1,2023-05-05,represas-del-rio-santa-cruz1,"Represas del río Santa Cruz, Argentina",en,4321,"Resistance against a large hydroelectric project pulled together a coalition of national NGOs. They achieved increased visibility, an EIA and public hearings, but the project is now under construction with Chinese funds"
residents-protest-against-planned-electroplating-plant-in-dongyang-zhejiang-china,2021-10-31,residents-protest-against-planned-electroplating-plant-in-dongyang-zhejiang-china,"Residents protest against several planned electroplating plants in Dongyang, Zhejiang, China",en,3479,"Nearly 1,000 residents clashed with riot police outside Dongyang Government offices in the eastern province of Zhejiang in protest over plans for an electro-plating plant near their homes. "
norsudtimber-illegal-in-drc,2023-07-30,norsudtimber-illegal-in-drc,"Illegal exploitation of tropical wood by Norsudtimber, in DR Congo",en,3679,"Norsudtimber operates 18 of its 20 concessions in DRC illegally and exports endangerered species mainly to Portugal, France, China and Vietnam. "
gold-min,2022-05-02,gold-min,"Newmont's Ahafo gold mine, Ghana",en,3276,"IFC supported exploitation of Ahafo Gold mine by Newmont. Communities suffer from displacement, loss of livelihoods and recurring cyanide pollution"
presa-de-el-zapotillo-jalisco-mexico,2023-04-25,presa-de-el-zapotillo-jalisco-mexico,"Presa de El Zapotillo, Jalisco, Mexico",en,250,
ptpn-ii-displaces-indigenous-rakyat-pununggu-people-for-plantations-in-north-sumatra-indonesia,2022-05-02,ptpn-ii-displaces-indigenous-rakyat-pununggu-people-for-plantations-in-north-sumatra-indonesia,"Plantations in North Sumatra displacing indigenous Rakyat Pununggu, Indonesia",en,5322,"For many years, plantation company PTPN II has repeatedly displaced peasant farming communities across indigenous Rakyat Pununggu settlements using military force. Locals resist evictions mainly with blockades at great physical risk to themselves. "
jirau-and-santo-antonio-dams-on-madeira-river-brazil,2022-04-25,jirau-and-santo-antonio-dams-on-madeira-river-brazil,"Jirau and Santo Antonio Dams on Madeira River, Brazil",en,447,"The two mega hydroelectic power plants, fueled by the Jipau and Santo Antonio dams on the Madeira River are to be completed by 2015, despite local opposition violation of human rights. In Jan 2016, Nilce de Souza Magalhães of MAB was assassinated."
jamsher-solid-waste-treatment-plant-jalandhar-punjab-india,2022-05-02,jamsher-solid-waste-treatment-plant-jalandhar-punjab-india,"Jamsher solid waste treatment plant in Jalandhar, Punjab, India",en,1785,
mutanda-mine-democratic-republic-of-congo,2022-04-25,mutanda-mine-democratic-republic-of-congo,"Mutanda Mine, Democratic Republic of Congo",en,5548,"Mutanda Mine is the world largest cobalt producer. While different organizations are working on defending the victims of the mine and give them justice, the mining company still does not take enough responsibility and continues to violate human rights."
proposed-garbage-incineration-plant-draws-mass-protest-in-guangdong-china,2021-10-14,proposed-garbage-incineration-plant-draws-mass-protest-in-guangdong-china,"Waste incinerator in Boluo county, Guangdong, China ",en,1826,"In September 2014, thousands of residents took to the streets during one weekend to protest against the development of a proposed garbage incinerator in Boluo County, Guangdong. Following the protest, 24 protestors were detained."
dugarajapatnam-port-andhra-pradesh-india,2021-10-14,dugarajapatnam-port-andhra-pradesh-india,"Dugarajapatnam Port, Andhra Pradesh, India",en,970,
mokoron-hill-nicaragua,2022-03-17,mokoron-hill-nicaragua,"Mokorón Hill, Nicaragua ",en,1469,City dwellers demonstrate against the urbanization of the Mokorón Hill. One of the last tropical dry forest ecosystem in Central America and the most important aquifer recharge for the water supply in Managua.
illegal-stone-quarry-in-andarawewa-forest-reserve,2021-10-14,illegal-stone-quarry-in-andarawewa-forest-reserve,"Illegal stone quarry in Andarawewa forest reserve, Sri Lanka",en,1989,"Corruption, clientelism and land grabbing for stone quarries in a forest reserve"
marble-mining-in-indigenous-mollo-territory-in-west-timor-indonesia,2021-10-14,marble-mining-in-indigenous-mollo-territory-in-west-timor-indonesia,"Marble Mining in Indigenous Mollo Territory in West Timor, Indonesia",en,4873,Government officials seized land and gave  permits to mining companies to extract marble from Mutis Mountain without consent from the Mollo people. The mines closed after years of protests.
water-pollution-caused-by-coal-mines-and-gas-field-at-xiaohaotu-shaanxi-china,2023-04-25,water-pollution-caused-by-coal-mines-and-gas-field-at-xiaohaotu-shaanxi-china,"Water pollution caused by coal mines and gas field at Xiaohaotu, Shaanxi, China",en,3841,"A performance art exhibition by Brother Nut brought public and government's attention to the water pollution at Xiaohaotu Township at the border of Shaanxi and Inner Mongolia in China, caused by closeby coal mines and a gas field."
bc-hydro-site-c-dam-canada,2022-04-25,bc-hydro-site-c-dam-canada,"Site C Dam, Canada",en,3122,"Clean Energy Act is paving the way for ""clean"" projects, and exempts them from impacts evaluation and consultation with local inhabitants. However, First Nations, Landowners and Environmentalists Resist this controversial dam in British Columbia. "
sponge-iron-factories-in-west-bengal-india,2022-05-02,sponge-iron-factories-in-west-bengal-india,"Sponge Iron Factories in West Bengal, India",en,935,
roma-in-the-settlement-kale-displaced-under-the-excuse-of-a-hotel-complex-construction-skopje-macedonia,2021-10-14,roma-in-the-settlement-kale-displaced-under-the-excuse-of-a-hotel-complex-construction-skopje-macedonia,"Hotel complex construction and displacement of Roma families, Skopje, Macedonia",en,4313,Forced eviction exposed Roma communities to cramped and unhygienic conditions in shelters and at risk of racially-motivated violence. 
saemangeun-reclamation-project-south-korea,2021-10-14,saemangeun-reclamation-project-south-korea,"Saemangeun reclamation project, South Korea",en,427,
