name,slug,conflict_event
Other,ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region,
New legislation,dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,
Other,dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project,
Court decision (failure for environmental justice),ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp,
Application of existing regulations,ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp,
Corruption,pollution-of-the-obangue-river-also-dubanga-river,
Court decision (undecided),pollution-of-the-obangue-river-also-dubanga-river,
Application of existing regulations,pollution-of-the-obangue-river-also-dubanga-river,
New Environmental Impact Assessment/Study,pollution-of-the-obangue-river-also-dubanga-river,
Project temporarily suspended,pollution-of-the-obangue-river-also-dubanga-river,
Other,pollution-of-the-obangue-river-also-dubanga-river,
Criminalization of activists,shale-gas-hydraulic-fracturing-ile-anticosti,
Compensation,rubber-tree-plantation-near-de-dja-reserve,
Negotiated alternative solution,rubber-tree-plantation-near-de-dja-reserve,
New Environmental Impact Assessment/Study,rubber-tree-plantation-near-de-dja-reserve,
Other,rubber-tree-plantation-near-de-dja-reserve,
Criminalization of activists,killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,
Deaths,killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,
Court decision (failure for environmental justice),killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,
Court decision (undecided),killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,
Migration/displacement,killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,
Repression,killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,
Violent targeting of activists,killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru,
Compensation,asbestos-in-salonit-anhovo-slovenia,
New legislation,asbestos-in-salonit-anhovo-slovenia,
Project cancelled,asbestos-in-salonit-anhovo-slovenia,
Criminalization of activists,mining-in-tumpang-pitu-banyuwangi-east-java-indonesia,
Repression,mining-in-tumpang-pitu-banyuwangi-east-java-indonesia,
Criminalization of activists,military-polygon-on-sinjajevina-montenegro,
Strengthening of participation,military-polygon-on-sinjajevina-montenegro,
Application of existing regulations,military-polygon-on-sinjajevina-montenegro,
Other,olkiluoto-nuclear-power-plant-euraaminne-finland,
Court decision (failure for environmental justice),cellulose-industry-in-gualeguaychu-ur-arg,
Strengthening of participation,cellulose-industry-in-gualeguaychu-ur-arg,
Compensation,construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia,
Corruption,construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia,
Deaths,construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia,
Negotiated alternative solution,construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia,
Technical solutions to improve resource supply/quality/distribution,construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia,
Violent targeting of activists,construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia,
Project temporarily suspended,construction-of-the-highway-moscow-petersburg-through-the-khimki-forest-russia,
Compensation,thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina,
Corruption,thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina,
"Environmental improvements, rehabilitation/restoration of area",thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina,
Court decision (undecided),thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina,
Technical solutions to improve resource supply/quality/distribution,thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina,
Under negotiation,thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina,
Violent targeting of activists,thousands-of-villagers-gathered-to-protest-against-the-jingxi-xinfa-aluminum-plant-in-guangxichina,
Criminalization of activists,habitantes-de-shaglli-contra-proyecto-minero-shyri-ecuador,
Strengthening of participation,habitantes-de-shaglli-contra-proyecto-minero-shyri-ecuador,
Application of existing regulations,habitantes-de-shaglli-contra-proyecto-minero-shyri-ecuador,
Repression,anti-fracking-uprising-in-ain-salah,
Strengthening of participation,anti-fracking-uprising-in-ain-salah,
Project temporarily suspended,anti-fracking-uprising-in-ain-salah,
Corruption,complejo-inmobiliario-mitikah-ciudad-viva,
Court decision (failure for environmental justice),complejo-inmobiliario-mitikah-ciudad-viva,
Corruption,cano-limon-oilfield-in-arauquita-arauca-colombia,
Criminalization of activists,cano-limon-oilfield-in-arauquita-arauca-colombia,
Deaths,cano-limon-oilfield-in-arauquita-arauca-colombia,
Migration/displacement,cano-limon-oilfield-in-arauquita-arauca-colombia,
Repression,cano-limon-oilfield-in-arauquita-arauca-colombia,
Violent targeting of activists,cano-limon-oilfield-in-arauquita-arauca-colombia,
Other,cano-limon-oilfield-in-arauquita-arauca-colombia,
Court decision (undecided),represas-del-rio-santa-cruz1,
Technical solutions to improve resource supply/quality/distribution,represas-del-rio-santa-cruz1,
Under negotiation,represas-del-rio-santa-cruz1,
New Environmental Impact Assessment/Study,represas-del-rio-santa-cruz1,
Project temporarily suspended,represas-del-rio-santa-cruz1,
Repression,residents-protest-against-planned-electroplating-plant-in-dongyang-zhejiang-china,
Violent targeting of activists,residents-protest-against-planned-electroplating-plant-in-dongyang-zhejiang-china,
Application of existing regulations,residents-protest-against-planned-electroplating-plant-in-dongyang-zhejiang-china,
Deaths,norsudtimber-illegal-in-drc,
Court decision (failure for environmental justice),norsudtimber-illegal-in-drc,
Repression,norsudtimber-illegal-in-drc,
Compensation,gold-min,
Migration/displacement,gold-min,
Repression,gold-min,
Violent targeting of activists,gold-min,
Compensation,presa-de-el-zapotillo-jalisco-mexico,
Corruption,presa-de-el-zapotillo-jalisco-mexico,
Court decision (undecided),presa-de-el-zapotillo-jalisco-mexico,
Migration/displacement,presa-de-el-zapotillo-jalisco-mexico,
Under negotiation,presa-de-el-zapotillo-jalisco-mexico,
New Environmental Impact Assessment/Study,presa-de-el-zapotillo-jalisco-mexico,
Withdrawal of company/investment,presa-de-el-zapotillo-jalisco-mexico,
Corruption,ptpn-ii-displaces-indigenous-rakyat-pununggu-people-for-plantations-in-north-sumatra-indonesia,
Court decision (undecided),ptpn-ii-displaces-indigenous-rakyat-pununggu-people-for-plantations-in-north-sumatra-indonesia,
Migration/displacement,ptpn-ii-displaces-indigenous-rakyat-pununggu-people-for-plantations-in-north-sumatra-indonesia,
Repression,ptpn-ii-displaces-indigenous-rakyat-pununggu-people-for-plantations-in-north-sumatra-indonesia,
Under negotiation,ptpn-ii-displaces-indigenous-rakyat-pununggu-people-for-plantations-in-north-sumatra-indonesia,
Violent targeting of activists,ptpn-ii-displaces-indigenous-rakyat-pununggu-people-for-plantations-in-north-sumatra-indonesia,
Deaths,jirau-and-santo-antonio-dams-on-madeira-river-brazil,
Institutional changes,jirau-and-santo-antonio-dams-on-madeira-river-brazil,
Negotiated alternative solution,jirau-and-santo-antonio-dams-on-madeira-river-brazil,
Strengthening of participation,jirau-and-santo-antonio-dams-on-madeira-river-brazil,
Application of existing regulations,jirau-and-santo-antonio-dams-on-madeira-river-brazil,
Other,jirau-and-santo-antonio-dams-on-madeira-river-brazil,
"Environmental improvements, rehabilitation/restoration of area",jamsher-solid-waste-treatment-plant-jalandhar-punjab-india,
Negotiated alternative solution,jamsher-solid-waste-treatment-plant-jalandhar-punjab-india,
Strengthening of participation,jamsher-solid-waste-treatment-plant-jalandhar-punjab-india,
Under negotiation,jamsher-solid-waste-treatment-plant-jalandhar-punjab-india,
Application of existing regulations,jamsher-solid-waste-treatment-plant-jalandhar-punjab-india,
New Environmental Impact Assessment/Study,jamsher-solid-waste-treatment-plant-jalandhar-punjab-india,
Compensation,mutanda-mine-democratic-republic-of-congo,
New Environmental Impact Assessment/Study,mutanda-mine-democratic-republic-of-congo,
Repression,proposed-garbage-incineration-plant-draws-mass-protest-in-guangdong-china,
Project temporarily suspended,proposed-garbage-incineration-plant-draws-mass-protest-in-guangdong-china,
Compensation,dugarajapatnam-port-andhra-pradesh-india,
"Environmental improvements, rehabilitation/restoration of area",dugarajapatnam-port-andhra-pradesh-india,
Court decision (victory for environmental justice),dugarajapatnam-port-andhra-pradesh-india,
Strengthening of participation,dugarajapatnam-port-andhra-pradesh-india,
Court decision (undecided),mokoron-hill-nicaragua,
Strengthening of participation,mokoron-hill-nicaragua,
Under negotiation,mokoron-hill-nicaragua,
Other,mokoron-hill-nicaragua,
Corruption,illegal-stone-quarry-in-andarawewa-forest-reserve,
Migration/displacement,marble-mining-in-indigenous-mollo-territory-in-west-timor-indonesia,
Strengthening of participation,marble-mining-in-indigenous-mollo-territory-in-west-timor-indonesia,
Violent targeting of activists,marble-mining-in-indigenous-mollo-territory-in-west-timor-indonesia,
Project cancelled,marble-mining-in-indigenous-mollo-territory-in-west-timor-indonesia,
Compensation,water-pollution-caused-by-coal-mines-and-gas-field-at-xiaohaotu-shaanxi-china,
Criminalization of activists,water-pollution-caused-by-coal-mines-and-gas-field-at-xiaohaotu-shaanxi-china,
Court decision (undecided),water-pollution-caused-by-coal-mines-and-gas-field-at-xiaohaotu-shaanxi-china,
Technical solutions to improve resource supply/quality/distribution,water-pollution-caused-by-coal-mines-and-gas-field-at-xiaohaotu-shaanxi-china,
Under negotiation,water-pollution-caused-by-coal-mines-and-gas-field-at-xiaohaotu-shaanxi-china,
New Environmental Impact Assessment/Study,water-pollution-caused-by-coal-mines-and-gas-field-at-xiaohaotu-shaanxi-china,
Project temporarily suspended,water-pollution-caused-by-coal-mines-and-gas-field-at-xiaohaotu-shaanxi-china,
Other,water-pollution-caused-by-coal-mines-and-gas-field-at-xiaohaotu-shaanxi-china,
Strengthening of participation,bc-hydro-site-c-dam-canada,
Under negotiation,bc-hydro-site-c-dam-canada,
New Environmental Impact Assessment/Study,bc-hydro-site-c-dam-canada,
Other,bc-hydro-site-c-dam-canada,
"Environmental improvements, rehabilitation/restoration of area",sponge-iron-factories-in-west-bengal-india,
Institutional changes,sponge-iron-factories-in-west-bengal-india,
New Environmental Impact Assessment/Study,sponge-iron-factories-in-west-bengal-india,
Other,sponge-iron-factories-in-west-bengal-india,
Court decision (undecided),roma-in-the-settlement-kale-displaced-under-the-excuse-of-a-hotel-complex-construction-skopje-macedonia,
Migration/displacement,roma-in-the-settlement-kale-displaced-under-the-excuse-of-a-hotel-complex-construction-skopje-macedonia,
Repression,roma-in-the-settlement-kale-displaced-under-the-excuse-of-a-hotel-complex-construction-skopje-macedonia,
New Environmental Impact Assessment/Study,saemangeun-reclamation-project-south-korea,
Institutional changes,proyecto-caycayen-neuquen-argentina,
Court decision (victory for environmental justice),proyecto-caycayen-neuquen-argentina,
Strengthening of participation,proyecto-caycayen-neuquen-argentina,
Application of existing regulations,proyecto-caycayen-neuquen-argentina,
Project temporarily suspended,proyecto-caycayen-neuquen-argentina,
Institutional changes,water-privatisation-egypt,
New legislation,water-privatisation-egypt,
Technical solutions to improve resource supply/quality/distribution,water-privatisation-egypt,
Deaths,guajajara-community-against-illegal-loggers-in-terra-indigena-arariboia-maranhao-brazil,
Migration/displacement,guajajara-community-against-illegal-loggers-in-terra-indigena-arariboia-maranhao-brazil,
Violent targeting of activists,guajajara-community-against-illegal-loggers-in-terra-indigena-arariboia-maranhao-brazil,
Criminalization of activists,wanning-waste-to-energy-plant-hainan-china,
Violent targeting of activists,wanning-waste-to-energy-plant-hainan-china,
Project temporarily suspended,wanning-waste-to-energy-plant-hainan-china,
Under negotiation,paks-nuclear-plant-expansion-hungary,
Corruption,polluted-drinking-water-in-basra,
Criminalization of activists,polluted-drinking-water-in-basra,
Deaths,polluted-drinking-water-in-basra,
Under negotiation,polluted-drinking-water-in-basra,
Violent targeting of activists,polluted-drinking-water-in-basra,
Compensation,public-interest-litigation-against-tianji-luan-chemical-due-to-air-pollution-shanxi-china,
"Environmental improvements, rehabilitation/restoration of area",public-interest-litigation-against-tianji-luan-chemical-due-to-air-pollution-shanxi-china,
Court decision (undecided),public-interest-litigation-against-tianji-luan-chemical-due-to-air-pollution-shanxi-china,
Application of existing regulations,public-interest-litigation-against-tianji-luan-chemical-due-to-air-pollution-shanxi-china,
Criminalization of activists,jeannette-kawas-fernandez-case-honduras,
Deaths,jeannette-kawas-fernandez-case-honduras,
New legislation,jeannette-kawas-fernandez-case-honduras,
Project cancelled,jeannette-kawas-fernandez-case-honduras,
Other,jeannette-kawas-fernandez-case-honduras,
Deaths,the-decimation-of-palestines-fishing-industry,
Court decision (failure for environmental justice),the-decimation-of-palestines-fishing-industry,
Court decision (undecided),the-decimation-of-palestines-fishing-industry,
Repression,the-decimation-of-palestines-fishing-industry,
Violent targeting of activists,the-decimation-of-palestines-fishing-industry,
Court decision (failure for environmental justice),northstar-oil-field-usa,
Repression,northstar-oil-field-usa,
Court decision (failure for environmental justice),conexao-abrolhos-campaign-against-the-auction-of-oil-and-gas-blocks-close-to-abrolhos,
Other,conexao-abrolhos-campaign-against-the-auction-of-oil-and-gas-blocks-close-to-abrolhos,
Project cancelled,chachi-indigenous-centre-el-encanto-vs-durini-ecuador,
"Environmental improvements, rehabilitation/restoration of area",fehmarn-belt-fixed-link-germany-denmark,
Other,fehmarn-belt-fixed-link-germany-denmark,
Compensation,planta-fotovoltaica-los-prados-53-mw-namasigue-honduras,
Corruption,planta-fotovoltaica-los-prados-53-mw-namasigue-honduras,
Criminalization of activists,planta-fotovoltaica-los-prados-53-mw-namasigue-honduras,
Deaths,planta-fotovoltaica-los-prados-53-mw-namasigue-honduras,
Court decision (victory for environmental justice),planta-fotovoltaica-los-prados-53-mw-namasigue-honduras,
Court decision (failure for environmental justice),planta-fotovoltaica-los-prados-53-mw-namasigue-honduras,
Repression,planta-fotovoltaica-los-prados-53-mw-namasigue-honduras,
Strengthening of participation,planta-fotovoltaica-los-prados-53-mw-namasigue-honduras,
Under negotiation,planta-fotovoltaica-los-prados-53-mw-namasigue-honduras,
Violent targeting of activists,planta-fotovoltaica-los-prados-53-mw-namasigue-honduras,
Application of existing regulations,planta-fotovoltaica-los-prados-53-mw-namasigue-honduras,
New Environmental Impact Assessment/Study,planta-fotovoltaica-los-prados-53-mw-namasigue-honduras,
Project temporarily suspended,planta-fotovoltaica-los-prados-53-mw-namasigue-honduras,
Compensation,saramaka-people-against-the-state-of-suriname,
