color,id,name,slug
#ee2c2c,4,In REACTION to the implementation (during construction or operation),water-privatisation-egypt
#ee2c2c,4,In REACTION to the implementation (during construction or operation),guajajara-community-against-illegal-loggers-in-terra-indigena-arariboia-maranhao-brazil
#46a546,3,PREVENTIVE resistance (precautionary phase),wanning-waste-to-energy-plant-hainan-china
#46a546,3,PREVENTIVE resistance (precautionary phase),paks-nuclear-plant-expansion-hungary
#ee2c2c,4,In REACTION to the implementation (during construction or operation),public-interest-litigation-against-tianji-luan-chemical-due-to-air-pollution-shanxi-china
#46a546,3,PREVENTIVE resistance (precautionary phase),jeannette-kawas-fernandez-case-honduras
#999999,1,UNKNOWN,the-decimation-of-palestines-fishing-industry
#ee2c2c,4,In REACTION to the implementation (during construction or operation),northstar-oil-field-usa
#46a546,3,PREVENTIVE resistance (precautionary phase),conexao-abrolhos-campaign-against-the-auction-of-oil-and-gas-blocks-close-to-abrolhos
#46a546,3,PREVENTIVE resistance (precautionary phase),chachi-indigenous-centre-el-encanto-vs-durini-ecuador
#999999,1,UNKNOWN,fehmarn-belt-fixed-link-germany-denmark
#7a43b6,5,Mobilization for reparations once impacts have been felt,saramaka-people-against-the-state-of-suriname
#7a43b6,5,Mobilization for reparations once impacts have been felt,waste-management-in-subotica
#46a546,3,PREVENTIVE resistance (precautionary phase),alibag-sez-in-mumbai-mh-india
#ffc40d,2,LATENT (no visible resistance),palm-islands-uae
#46a546,3,PREVENTIVE resistance (precautionary phase),champlain-hudson-power-express
#7a43b6,5,Mobilization for reparations once impacts have been felt,illegal-mining-at-bainaimiao-coal-mine-in-dorbod-banner-ulanqab-inner-mongolia-china
#7a43b6,5,Mobilization for reparations once impacts have been felt,health-and-environmental-impacts-of-the-petrochemical-complex-in-tarragona-spain
#ee2c2c,4,In REACTION to the implementation (during construction or operation),homestead-temporary-shelter-for-unaccompanied-children
#46a546,3,PREVENTIVE resistance (precautionary phase),ilisu-dam-project-turkey
#ee2c2c,4,In REACTION to the implementation (during construction or operation),alton-gas-canada
#7a43b6,5,Mobilization for reparations once impacts have been felt,lagunas-de-castrovirreyna
#ee2c2c,4,In REACTION to the implementation (during construction or operation),fair-creek-old-growth-logging-protests
#46a546,3,PREVENTIVE resistance (precautionary phase),bateke-carbon-sink
#46a546,3,PREVENTIVE resistance (precautionary phase),protest-against-the-plnnaed-qingshuihe-waste-incineration-power-plant-luohu-district-shenzhen-china
#7a43b6,5,Mobilization for reparations once impacts have been felt,shell-contractors-fingered-in-bodo-community-oil-theft-explosion-nigeria
#ee2c2c,4,In REACTION to the implementation (during construction or operation),four-sand-mining-related-deaths-in-jatpura-village-garhwa-district-jharkhand-india
#46a546,3,PREVENTIVE resistance (precautionary phase),oil-exploration-within-somalias-semi-autonomous-puntland-region
#7a43b6,5,Mobilization for reparations once impacts have been felt,c-332-people-with-excessive-blood-lead-caused-by-a-sino-foreign-joint-venture-in-deqing-county-of-zhejiang
#46a546,3,PREVENTIVE resistance (precautionary phase),lubicon-lake-nation-canada
#999999,1,UNKNOWN,lignite-mining-janschwalde-horno-germany
#ee2c2c,4,In REACTION to the implementation (during construction or operation),appiko-movement-western-ghats-india
#ee2c2c,4,In REACTION to the implementation (during construction or operation),pulot-citinickel-mine-in-palawan-philippines
#7a43b6,5,Mobilization for reparations once impacts have been felt,sufrimiento-ambiental-en-villa-inflamable-argentina
#ee2c2c,4,In REACTION to the implementation (during construction or operation),presa-la-boquilla-y-conflicto-por-el-agua-en-chihuahua
,,,valdecaballeros-nuclear-power-station-spain
#ee2c2c,4,In REACTION to the implementation (during construction or operation),vieques-puerto-rico
#46a546,3,PREVENTIVE resistance (precautionary phase),silent-valley-kerala-india
#ee2c2c,4,In REACTION to the implementation (during construction or operation),monoculture-plantation-in-araucania-chile
#7a43b6,5,Mobilization for reparations once impacts have been felt,contaminacion-en-el-lago-de-maracaibo-venezuela
#46a546,3,PREVENTIVE resistance (precautionary phase),ain-dara-qnd-the-cement-factory
#46a546,3,PREVENTIVE resistance (precautionary phase),mineria-en-tamesis-colombia
#ee2c2c,4,In REACTION to the implementation (during construction or operation),energy-ecological-economics-nuclear-power-plant-in-le-carnet
#ee2c2c,4,In REACTION to the implementation (during construction or operation),tribu-yaqui-contra-el-gasoducto-gasoducto-guaymas-el-oro-sonora-mexico
#ee2c2c,4,In REACTION to the implementation (during construction or operation),pt-lonsum-conflict-sumatra
#ee2c2c,4,In REACTION to the implementation (during construction or operation),erdenetsagaan-without-mining-eastern-mongolia
#7a43b6,5,Mobilization for reparations once impacts have been felt,no-solo-es-agua-tambien-es-polvo-la-degradacion-del-lago-de-cuitzeo-y-la-lucha-por-la-salud
#ee2c2c,4,In REACTION to the implementation (during construction or operation),est-for-invests-paper-mill-at-the-emajogi-river
#ee2c2c,4,In REACTION to the implementation (during construction or operation),cerro-el-alguacil-inarwa-colombia
#ee2c2c,4,In REACTION to the implementation (during construction or operation),proyecto-de-presa-en-el-rio-cuira-sistema-tuy-iv-venezuela
#ee2c2c,4,In REACTION to the implementation (during construction or operation),tularosa-basin-downwinders
#ffc40d,2,LATENT (no visible resistance),air-france-wwf-goodplanet-holistic-conservation-program-madagascar
#46a546,3,PREVENTIVE resistance (precautionary phase),komo-airport
#46a546,3,PREVENTIVE resistance (precautionary phase),pascua-lama-mine-argentina
#7a43b6,5,Mobilization for reparations once impacts have been felt,rio-tintos-rossing-uranium-mine-namibia
#46a546,3,PREVENTIVE resistance (precautionary phase),yacyreta-dam-on-the-parana-river-argentina
#7a43b6,5,Mobilization for reparations once impacts have been felt,desertificacion-de-lago-poopo-en-oruro-bolivia
#ee2c2c,4,In REACTION to the implementation (during construction or operation),kaolin-pipeline-on-quilombo-land-in-moju-para-brazil
#ee2c2c,4,In REACTION to the implementation (during construction or operation),eucalyptus-producer-portucel-group-mozambique
#46a546,3,PREVENTIVE resistance (precautionary phase),tembember
#46a546,3,PREVENTIVE resistance (precautionary phase),amboseli-national-park-downgrading-to-a-game-reserve-kenya
#46a546,3,PREVENTIVE resistance (precautionary phase),protest-against-the-demolition-of-choi-yuen-village-for-xrl-high-speed-rail-hong-kong
#ee2c2c,4,In REACTION to the implementation (during construction or operation),gobindpura-thermal-power-plant-punjab-india
#46a546,3,PREVENTIVE resistance (precautionary phase),amazone-a-defendre-against-a-solar-megapower-plant-french-guyana
#ee2c2c,4,In REACTION to the implementation (during construction or operation),shrimp-farming-in-canavieiras-brazil
#46a546,3,PREVENTIVE resistance (precautionary phase),genetically-modified-salmon-for-direct-human-consumption
#ffc40d,2,LATENT (no visible resistance),the-un-resettled-600-roma-to-a-mining-smelting-complex-exposing-them-to-lead-poisoning-kosovo
#46a546,3,PREVENTIVE resistance (precautionary phase),yokosuka-coal-power-plant
#46a546,3,PREVENTIVE resistance (precautionary phase),oil-extraction-in-the-indigenous-motilon-bari-territory-colombia
#ee2c2c,4,In REACTION to the implementation (during construction or operation),contaminacion-del-rio-san-juan-queretaro-mexico
#46a546,3,PREVENTIVE resistance (precautionary phase),lamu-port-and-related-infrastructure-kenya
#ee2c2c,4,In REACTION to the implementation (during construction or operation),planta-geotermica-cerro-pabellon-chile
#ee2c2c,4,In REACTION to the implementation (during construction or operation),roma-denied-access-to-clean-water-for-roma-in-slovakia1
#ee2c2c,4,In REACTION to the implementation (during construction or operation),overfishing-and-poaching-at-lake-naivasha-kenya
#7a43b6,5,Mobilization for reparations once impacts have been felt,chuvashka-village-in-kuzbass-kemerovo-oblast-covered-in-black-snow-from-coal-mining-russia
#ee2c2c,4,In REACTION to the implementation (during construction or operation),andal-airetropolis-india
#ee2c2c,4,In REACTION to the implementation (during construction or operation),datang-duolun-coal-chemical-project-in-duolun-inner-mongolia-china
#46a546,3,PREVENTIVE resistance (precautionary phase),dai-ninh-hydropower-project-dong-nai-river-vietnam
#ee2c2c,4,In REACTION to the implementation (during construction or operation),cienaga-de-ayapel-colombia
#46a546,3,PREVENTIVE resistance (precautionary phase),carbon
#46a546,3,PREVENTIVE resistance (precautionary phase),protest-against-land-acquisition-for-chennai-salem-8-lane-expressway-tamil-nadu-india
#7a43b6,5,Mobilization for reparations once impacts have been felt,bhagtanwala-solid-waste-management-plant-amritsar-punjab
#46a546,3,PREVENTIVE resistance (precautionary phase),protest-against-setting-up-of-indian-institute-of-technology-campus-in-goa
#46a546,3,PREVENTIVE resistance (precautionary phase),solar-power-plant-in-drnis-croatia
#ee2c2c,4,In REACTION to the implementation (during construction or operation),no-a-la-pineria-en-costa-rica
#ee2c2c,4,In REACTION to the implementation (during construction or operation),pt-rea-kaltim-plantations-in-east-kalimantan
#46a546,3,PREVENTIVE resistance (precautionary phase),central-nuclear-china-en-rio-negro
#7a43b6,5,Mobilization for reparations once impacts have been felt,nembe-creek-oil-spill-communities-livelihoods-threatened
#ee2c2c,4,In REACTION to the implementation (during construction or operation),foz-coa-dam-guarda-portugal
#46a546,3,PREVENTIVE resistance (precautionary phase),wind-power-plant-wyczechowo-poland
#ee2c2c,4,In REACTION to the implementation (during construction or operation),laguna-de-sonso-colombia
#7a43b6,5,Mobilization for reparations once impacts have been felt,post-disaster-injustices-and-climate-activism-in-the-aftermath-of-typhoon-bopha-philippines
#46a546,3,PREVENTIVE resistance (precautionary phase),severny-potok-north-stream-natural-gas-pipeline-at-kurgalsky-reserve
#7a43b6,5,Mobilization for reparations once impacts have been felt,los-peligros-de-la-fiebre-del-coltan-para-indigenas-guajibo-piaroa-y-enepa-en-los-estados-bolivar-y-amazonas
#7a43b6,5,Mobilization for reparations once impacts have been felt,thalifushi-landfill-a-toxic-bomb-in-the-ocean-maldives
#ee2c2c,4,In REACTION to the implementation (during construction or operation),kedung-ombo-dam-indonesia
#7a43b6,5,Mobilization for reparations once impacts have been felt,residents-of-nachodka-protest-against-the-increasing-coal-dust-problem
#46a546,3,PREVENTIVE resistance (precautionary phase),eurovegas-macro-casino-complex-in-alcorcon-madrid-spain
#ee2c2c,4,In REACTION to the implementation (during construction or operation),proyecto-minero-el-tambor
#46a546,3,PREVENTIVE resistance (precautionary phase),batangas-province-philippines
#46a546,3,PREVENTIVE resistance (precautionary phase),electrolyte-factories-godzikowice
#ee2c2c,4,In REACTION to the implementation (during construction or operation),protect-kok-zhailau-ile-alatau-state-national-nature-park-kazakhstan
#46a546,3,PREVENTIVE resistance (precautionary phase),la-granja-rio-tinto
#46a546,3,PREVENTIVE resistance (precautionary phase),oil-and-gas-explorration-at-woodburn-forest-ireland
#46a546,3,PREVENTIVE resistance (precautionary phase),toxic-waste-landfill-in-kettleman-city-usa
#46a546,3,PREVENTIVE resistance (precautionary phase),mineria-de-tierras-raras-en-penco-region-del-bio-bio
#46a546,3,PREVENTIVE resistance (precautionary phase),gitwilgyoots-and-lelu-island-lax-uula-vs-proposed-petronas-lng-export-facility
#46a546,3,PREVENTIVE resistance (precautionary phase),stung-cheay-areng-hydroelectric-dam-development-at-the-cost-of-indigenous-communities-koh-kong-cambodia
#46a546,3,PREVENTIVE resistance (precautionary phase),tia-maria-peru
#7a43b6,5,Mobilization for reparations once impacts have been felt,cienaga-grande-de-santa-marta-colombia
#46a546,3,PREVENTIVE resistance (precautionary phase),ministry-of-energys-watershed-mapping-study-yelcho-watershed
#7a43b6,5,Mobilization for reparations once impacts have been felt,aswan-high-dam-egypt
#46a546,3,PREVENTIVE resistance (precautionary phase),thacker-pass-lithium-mine-nevada-us
#7a43b6,5,Mobilization for reparations once impacts have been felt,significant-maritime-and-industrial-area-in-brooklyn
#7a43b6,5,Mobilization for reparations once impacts have been felt,nigerian-womens-war-against-chevrontexaco
#46a546,3,PREVENTIVE resistance (precautionary phase),lonco-mine-projects-argentina
#ee2c2c,4,In REACTION to the implementation (during construction or operation),water-rights-and-access-injustice-in-detroits-urban-areas
#ee2c2c,4,In REACTION to the implementation (during construction or operation),nuclear-power-station-in-cofrents-valencia-spain
#46a546,3,PREVENTIVE resistance (precautionary phase),gaza-cement-factory-palestine
#ee2c2c,4,In REACTION to the implementation (during construction or operation),hindustan-petroleum-corporation-limited-refinery-at-tavsal-maharastra-india
#46a546,3,PREVENTIVE resistance (precautionary phase),kaliwa-dam-new-centennial-water-source-project-ncws-quezon-philippines
#7a43b6,5,Mobilization for reparations once impacts have been felt,minamata-disease-japan
#ee2c2c,4,In REACTION to the implementation (during construction or operation),myotha-industrial-park
#46a546,3,PREVENTIVE resistance (precautionary phase),kxp-airportcity-kulim-airport
#ee2c2c,4,In REACTION to the implementation (during construction or operation),cultivo-de-esparragos-en-ica-peru
#7a43b6,5,Mobilization for reparations once impacts have been felt,dioxin-pollution-in-qingpuling-village-fujiang-china
#46a546,3,PREVENTIVE resistance (precautionary phase),exploracion-de-litio-en-san-luis-argentina
#46a546,3,PREVENTIVE resistance (precautionary phase),moni-toplou
,,,gorai-manori-uttan-recreation-and-tourism-development-zone-rtdz-in-mumbai-mh-india
#ee2c2c,4,In REACTION to the implementation (during construction or operation),stringfellow-toxic-waste-dump
#7a43b6,5,Mobilization for reparations once impacts have been felt,sterlite-copper-smelter-unit-india
,,,ojibwe-nations-struggle-to-protect-wild-rice-from-oil-extraction-activities-in-the-us-and-canada
#46a546,3,PREVENTIVE resistance (precautionary phase),the-people-versus-arctic-oil
#46a546,3,PREVENTIVE resistance (precautionary phase),niddodi-thermal-power-project-karnataka-india
,,,recognition-of-fisherwomen-perempuan-nelayan-in-indonesia
#ee2c2c,4,In REACTION to the implementation (during construction or operation),illegal-land-acquisition-for-coal-mining-and-violent-protest-in-hazaribagh-jharkhand
#ee2c2c,4,In REACTION to the implementation (during construction or operation),proyecto-inmobiliario-bosque-diamante-en-jilotzingo-estado-de-mexico
#ee2c2c,4,In REACTION to the implementation (during construction or operation),polska-bnk-petroleum-fracking-poland
#7a43b6,5,Mobilization for reparations once impacts have been felt,over-a-century-of-the-pollution-from-the-bor-mines-serbia
#ee2c2c,4,In REACTION to the implementation (during construction or operation),aura-dump-and-the-struggle-of-belems-informal-wastepickers-para-brazil
#ffc40d,2,LATENT (no visible resistance),jade-conflict-myanmar
#ee2c2c,4,In REACTION to the implementation (during construction or operation),santa-clara-de-uchunya
#7a43b6,5,Mobilization for reparations once impacts have been felt,anti-mining-protest-in-lhundrub-county-occupitied-tibet
#46a546,3,PREVENTIVE resistance (precautionary phase),incinerator-of-urban-solid-waste-in-barueri-sao-paulo-brazil
#46a546,3,PREVENTIVE resistance (precautionary phase),explosions-at-paraxylene-px-petchem-plant-and-the-related-protests-zhangzhou-fujian
#ee2c2c,4,In REACTION to the implementation (during construction or operation),quilombola-communities-affected-by-wind-power-projects-in-caetite-region-brazil
#ee2c2c,4,In REACTION to the implementation (during construction or operation),displacement-of-gullah-islanders-usa
#ee2c2c,4,In REACTION to the implementation (during construction or operation),coastal-communities-in-louisiana
#ee2c2c,4,In REACTION to the implementation (during construction or operation),jiew-kang-jue-pattana-oil-palm-company-thailand
#ee2c2c,4,In REACTION to the implementation (during construction or operation),dambulla-quartz-mining-case
#ee2c2c,4,In REACTION to the implementation (during construction or operation),nanjing-residents-fight-against-removing-signature-plane-trees-for-metro-lines-jiangsu-china
#ee2c2c,4,In REACTION to the implementation (during construction or operation),ban-on-cycling-in-kolkata-west-bengal-india
#ee2c2c,4,In REACTION to the implementation (during construction or operation),costa-brava-landfill-lebanon
#ee2c2c,4,In REACTION to the implementation (during construction or operation),desarrollo-turistico-bahias-de-huatulco-y-despojo-de-tierras-comunales-en-oaxaca
#7a43b6,5,Mobilization for reparations once impacts have been felt,cuajone-toquepala-ilo-peru
#46a546,3,PREVENTIVE resistance (precautionary phase),land-seizure-and-resistance-by-fish-farmer-doan-van-vuon-hai-phong-vietnam
#ee2c2c,4,In REACTION to the implementation (during construction or operation),chamalapura-thermal-power-plant-karnataka-india
#ee2c2c,4,In REACTION to the implementation (during construction or operation),manglares-de-tumbes-y-langostineras
#7a43b6,5,Mobilization for reparations once impacts have been felt,xakriaba-territorial-struggle-brazil
#46a546,3,PREVENTIVE resistance (precautionary phase),resistance-to-shale-gas-fracking
#ee2c2c,4,In REACTION to the implementation (during construction or operation),let-banni-be
#7a43b6,5,Mobilization for reparations once impacts have been felt,industrial-pollution-at-st-regis-mohawks-turtle-cove-usa
#ee2c2c,4,In REACTION to the implementation (during construction or operation),tozzi-green-ihorombe-agrofuels-madagascar
#ee2c2c,4,In REACTION to the implementation (during construction or operation),comunidades-kuna-yala-frente-al-cambio-climatico
#7a43b6,5,Mobilization for reparations once impacts have been felt,san-cristobal-potosi-bolivia-reubicacion
#7a43b6,5,Mobilization for reparations once impacts have been felt,pollution-from-the-smelter-topilinica-veles-macedonia
#7a43b6,5,Mobilization for reparations once impacts have been felt,shell-spill-in-otuasega-community-nigeria
#ffc40d,2,LATENT (no visible resistance),drying-up-of-tuz-lake-closed-water-basin-turkey
#46a546,3,PREVENTIVE resistance (precautionary phase),vernamfield-aerotropolis
#ee2c2c,4,In REACTION to the implementation (during construction or operation),hydro-alunorte-alumina-refinery-in-barcarena-para-brazil
#ffc40d,2,LATENT (no visible resistance),pesticides-contamination-by-cotton-production-in-tericatinga-territory-mato-grosso
#ee2c2c,4,In REACTION to the implementation (during construction or operation),nuclear-energy-lithuania
#46a546,3,PREVENTIVE resistance (precautionary phase),fruta-del-norte-ecuador
#ee2c2c,4,In REACTION to the implementation (during construction or operation),illegal-mining-in-la-pampa-tambopata-peru
#46a546,3,PREVENTIVE resistance (precautionary phase),as-the-plans-for-incinerators-in-beirut-lebanon-expand-wastepickers-recycle-to-survive
#7a43b6,5,Mobilization for reparations once impacts have been felt,conflicto-en-la-industria-petrolera-y-la-pesca-en-la-sonda-de-campeche
#46a546,3,PREVENTIVE resistance (precautionary phase),ivanpah-solar-electric-generating-system-377-mw-csp-california-usa
#7a43b6,5,Mobilization for reparations once impacts have been felt,community-decries-shoddy-cleanup-of-oil-pollution-by-ppmc-contractors-nigeria
#46a546,3,PREVENTIVE resistance (precautionary phase),geotermia-scansano
#46a546,3,PREVENTIVE resistance (precautionary phase),castor-project-gas-off-shore-storage-in-vinaros-spain
#ee2c2c,4,In REACTION to the implementation (during construction or operation),shahuindo-project-in-cajabamba-cajamarca-peru
#46a546,3,PREVENTIVE resistance (precautionary phase),nigeria-morocco-offshore-gas-pipeline
#ffc40d,2,LATENT (no visible resistance),sable-chemicals-zimbabwe
#46a546,3,PREVENTIVE resistance (precautionary phase),villagers-resist-displacement-for-purandar-airport-pune-india
#ee2c2c,4,In REACTION to the implementation (during construction or operation),wilmar-and-land-grab-in-cross-river-state
#46a546,3,PREVENTIVE resistance (precautionary phase),ojnare-forest-lime-stone-mine-gotland-sweden
#46a546,3,PREVENTIVE resistance (precautionary phase),mirador-cordillera-del-condor-ecuador
#46a546,3,PREVENTIVE resistance (precautionary phase),exploracion-hidrocarburos-en-san-andres-islas-colombia
#ee2c2c,4,In REACTION to the implementation (during construction or operation),mega-natural-gas-project-yamal-arctic-russia
#7a43b6,5,Mobilization for reparations once impacts have been felt,paper-mills-wastewater-in-east-ujimqindongwu-banner-inner-mongolia
#46a546,3,PREVENTIVE resistance (precautionary phase),bengal-birbhum-coalfields-limited
#7a43b6,5,Mobilization for reparations once impacts have been felt,underregulated-hazardous-waste-facility-western-environmental-in-california
#ee2c2c,4,In REACTION to the implementation (during construction or operation),privatization-of-water-in-tucuman-argentina
