name,socio_economical_impact,slug
Loss of landscape/sense of place,,hebron-a-city-flooded-with-sewage
Other socio-economic impacts,,hebron-a-city-flooded-with-sewage
Displacement,,hebron-a-city-flooded-with-sewage
"Lack of work security, labour absenteeism, firings, unemployment",,hebron-a-city-flooded-with-sewage
Loss of livelihood,,hebron-a-city-flooded-with-sewage
Displacement,,copper-mining-on-the-asana-river-peru
Loss of livelihood,,copper-mining-on-the-asana-river-peru
Loss of traditional knowledge/practices/cultures,,copper-mining-on-the-asana-river-peru
Violations of human rights,,copper-mining-on-the-asana-river-peru
Land dispossession,,copper-mining-on-the-asana-river-peru
Displacement,,jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china
Other socio-economic impacts,,jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china
Loss of livelihood,,jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china
Loss of traditional knowledge/practices/cultures,,jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china
Loss of landscape/sense of place,,jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china
Other socio-economic impacts,,wind-farm-nowe-skalmierzyce-poland
Loss of livelihood,,wind-farm-nowe-skalmierzyce-poland
Loss of landscape/sense of place,,wind-farm-nowe-skalmierzyce-poland
Loss of livelihood,,kamchay-dam-kampot-province-cambodia
Land dispossession,,kamchay-dam-kampot-province-cambodia
Loss of landscape/sense of place,,kamchay-dam-kampot-province-cambodia
Loss of traditional knowledge/practices/cultures,,kamchay-dam-kampot-province-cambodia
"Social problems (alcoholism, prostitution, etc..)",,kamchay-dam-kampot-province-cambodia
Increase in violence and crime,,phosphate-mining-in-anitpolis-brazil
Loss of livelihood,,phosphate-mining-in-anitpolis-brazil
"Social problems (alcoholism, prostitution, etc..)",,phosphate-mining-in-anitpolis-brazil
Loss of landscape/sense of place,,phosphate-mining-in-anitpolis-brazil
Increase in Corruption/Co-optation of different actors,,pt-sss-irregular-establishment
Loss of livelihood,,pt-sss-irregular-establishment
Loss of traditional knowledge/practices/cultures,,pt-sss-irregular-establishment
Militarization and increased police presence,,pt-sss-irregular-establishment
Land dispossession,,pt-sss-irregular-establishment
Increase in Corruption/Co-optation of different actors,,wpb-colliery-in-dullstroom-mpumalanga-south-africa
"Lack of work security, labour absenteeism, firings, unemployment",,wpb-colliery-in-dullstroom-mpumalanga-south-africa
Loss of landscape/sense of place,,wpb-colliery-in-dullstroom-mpumalanga-south-africa
Specific impacts on women,,a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia
Increase in Corruption/Co-optation of different actors,,a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia
Displacement,,a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia
Loss of livelihood,,a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia
Loss of traditional knowledge/practices/cultures,,a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia
Land dispossession,,a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia
Loss of landscape/sense of place,,a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia
Displacement,,lake-chad-desertification-chad
Loss of livelihood,,lake-chad-desertification-chad
Increase in Corruption/Co-optation of different actors,,xochicuautla-comunidadotomi-mexico
Loss of traditional knowledge/practices/cultures,,xochicuautla-comunidadotomi-mexico
Militarization and increased police presence,,xochicuautla-comunidadotomi-mexico
Violations of human rights,,xochicuautla-comunidadotomi-mexico
Land dispossession,,xochicuautla-comunidadotomi-mexico
Loss of landscape/sense of place,,xochicuautla-comunidadotomi-mexico
Other socio-economic impacts,,xochicuautla-comunidadotomi-mexico
Displacement,,xochicuautla-comunidadotomi-mexico
Loss of livelihood,,xochicuautla-comunidadotomi-mexico
Increase in Corruption/Co-optation of different actors,,congo-coltan-in-the-kivu-region-dr-of-congo
Displacement,,congo-coltan-in-the-kivu-region-dr-of-congo
"Lack of work security, labour absenteeism, firings, unemployment",,congo-coltan-in-the-kivu-region-dr-of-congo
Loss of livelihood,,congo-coltan-in-the-kivu-region-dr-of-congo
Loss of traditional knowledge/practices/cultures,,congo-coltan-in-the-kivu-region-dr-of-congo
Militarization and increased police presence,,congo-coltan-in-the-kivu-region-dr-of-congo
"Social problems (alcoholism, prostitution, etc..)",,congo-coltan-in-the-kivu-region-dr-of-congo
Specific impacts on women,,congo-coltan-in-the-kivu-region-dr-of-congo
Violations of human rights,,congo-coltan-in-the-kivu-region-dr-of-congo
Land dispossession,,congo-coltan-in-the-kivu-region-dr-of-congo
Loss of landscape/sense of place,,congo-coltan-in-the-kivu-region-dr-of-congo
Displacement,,lesten-tampur-dam
Loss of livelihood,,lesten-tampur-dam
Loss of traditional knowledge/practices/cultures,,lesten-tampur-dam
Displacement,,sime-darby-plantation-land-conflict-liberia
"Lack of work security, labour absenteeism, firings, unemployment",,sime-darby-plantation-land-conflict-liberia
Loss of livelihood,,sime-darby-plantation-land-conflict-liberia
Loss of traditional knowledge/practices/cultures,,sime-darby-plantation-land-conflict-liberia
Specific impacts on women,,sime-darby-plantation-land-conflict-liberia
Violations of human rights,,sime-darby-plantation-land-conflict-liberia
Land dispossession,,sime-darby-plantation-land-conflict-liberia
Loss of landscape/sense of place,,sime-darby-plantation-land-conflict-liberia
Loss of livelihood,,obsolete-pesticides-in-abaco-island-bahamas
Violations of human rights,,obsolete-pesticides-in-abaco-island-bahamas
Displacement,,obsolete-pesticides-in-abaco-island-bahamas
Displacement,,anglo-platinum-mogalakwena-mine-lawsuit-south-africa
Loss of livelihood,,anglo-platinum-mogalakwena-mine-lawsuit-south-africa
Loss of traditional knowledge/practices/cultures,,anglo-platinum-mogalakwena-mine-lawsuit-south-africa
Violations of human rights,,anglo-platinum-mogalakwena-mine-lawsuit-south-africa
Land dispossession,,anglo-platinum-mogalakwena-mine-lawsuit-south-africa
Displacement,,mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations
"Lack of work security, labour absenteeism, firings, unemployment",,mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations
Loss of livelihood,,mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations
Loss of traditional knowledge/practices/cultures,,mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations
Loss of landscape/sense of place,,mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations
Loss of livelihood,,oil-drilling-in-the-national-park-of-calilegua
Loss of traditional knowledge/practices/cultures,,oil-drilling-in-the-national-park-of-calilegua
Violations of human rights,,oil-drilling-in-the-national-park-of-calilegua
Loss of landscape/sense of place,,oil-drilling-in-the-national-park-of-calilegua
"Lack of work security, labour absenteeism, firings, unemployment",,rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong
Loss of livelihood,,rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong
Loss of traditional knowledge/practices/cultures,,rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong
Violations of human rights,,rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong
Loss of landscape/sense of place,,rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong
Violations of human rights,,irish-cement
Increase in violence and crime,,centrale-elettronucleare-alto-lazio-di-montalto-di-castro
"Social problems (alcoholism, prostitution, etc..)",,centrale-elettronucleare-alto-lazio-di-montalto-di-castro
Loss of livelihood,,centrale-elettronucleare-alto-lazio-di-montalto-di-castro
Militarization and increased police presence,,centrale-elettronucleare-alto-lazio-di-montalto-di-castro
Loss of landscape/sense of place,,centrale-elettronucleare-alto-lazio-di-montalto-di-castro
Increase in Corruption/Co-optation of different actors,,centrale-elettronucleare-alto-lazio-di-montalto-di-castro
Loss of livelihood,,telangana-government-plantation-programme
Land dispossession,,telangana-government-plantation-programme
Loss of traditional knowledge/practices/cultures,,telangana-government-plantation-programme
Displacement,,telangana-government-plantation-programme
Displacement,,rare-earth-mining-in-mountains-of-myanmar
Increase in violence and crime,,rare-earth-mining-in-mountains-of-myanmar
Loss of traditional knowledge/practices/cultures,,rare-earth-mining-in-mountains-of-myanmar
Militarization and increased police presence,,rare-earth-mining-in-mountains-of-myanmar
Violations of human rights,,rare-earth-mining-in-mountains-of-myanmar
Land dispossession,,rare-earth-mining-in-mountains-of-myanmar
Loss of landscape/sense of place,,rare-earth-mining-in-mountains-of-myanmar
Specific impacts on women,,rare-earth-mining-in-mountains-of-myanmar
Increase in Corruption/Co-optation of different actors,,rare-earth-mining-in-mountains-of-myanmar
Loss of livelihood,,rare-earth-mining-in-mountains-of-myanmar
"Social problems (alcoholism, prostitution, etc..)",,rare-earth-mining-in-mountains-of-myanmar
Increase in violence and crime,,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines
Loss of livelihood,,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines
Militarization and increased police presence,,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines
Violations of human rights,,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines
Increase in Corruption/Co-optation of different actors,,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines
Displacement,,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines
Loss of traditional knowledge/practices/cultures,,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines
"Social problems (alcoholism, prostitution, etc..)",,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines
Land dispossession,,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines
Loss of landscape/sense of place,,illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines
Increase in Corruption/Co-optation of different actors,,depredacion-ecologica-en-el-cerro-de-el-cimatario
Land dispossession,,depredacion-ecologica-en-el-cerro-de-el-cimatario
Loss of landscape/sense of place,,depredacion-ecologica-en-el-cerro-de-el-cimatario
Displacement,,depredacion-ecologica-en-el-cerro-de-el-cimatario
Violations of human rights,,depredacion-ecologica-en-el-cerro-de-el-cimatario
Increase in Corruption/Co-optation of different actors,,contaminacion-del-rio-pirai
"Lack of work security, labour absenteeism, firings, unemployment",,contaminacion-del-rio-pirai
Land dispossession,,contaminacion-del-rio-pirai
Loss of landscape/sense of place,,contaminacion-del-rio-pirai
Displacement,,contaminacion-del-rio-pirai
Loss of livelihood,,contaminacion-del-rio-pirai
Loss of livelihood,,chuangyuan-aluminium-plant-pollution-in-hunan-china
Loss of landscape/sense of place,,chuangyuan-aluminium-plant-pollution-in-hunan-china
Violations of human rights,,chuangyuan-aluminium-plant-pollution-in-hunan-china
Other socio-economic impacts,,chuangyuan-aluminium-plant-pollution-in-hunan-china
Loss of traditional knowledge/practices/cultures,,buryatia-vs-yukos-oil-russian-federation
Violations of human rights,,buryatia-vs-yukos-oil-russian-federation
Land dispossession,,buryatia-vs-yukos-oil-russian-federation
Loss of landscape/sense of place,,buryatia-vs-yukos-oil-russian-federation
Increase in Corruption/Co-optation of different actors,,wisco-soalala-iron-ore-madagascar
Loss of traditional knowledge/practices/cultures,,wisco-soalala-iron-ore-madagascar
Militarization and increased police presence,,wisco-soalala-iron-ore-madagascar
Land dispossession,,wisco-soalala-iron-ore-madagascar
Loss of landscape/sense of place,,wisco-soalala-iron-ore-madagascar
"Social problems (alcoholism, prostitution, etc..)",,wisco-soalala-iron-ore-madagascar
Displacement,,wisco-soalala-iron-ore-madagascar
Displacement,,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india
"Lack of work security, labour absenteeism, firings, unemployment",,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india
Loss of livelihood,,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india
Militarization and increased police presence,,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india
Loss of landscape/sense of place,,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india
Loss of traditional knowledge/practices/cultures,,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india
Specific impacts on women,,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india
Land dispossession,,sahara-india-eco-tourism-project-in-sundarban-west-bengal-india
Loss of livelihood,,illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun
Loss of traditional knowledge/practices/cultures,,illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun
Militarization and increased police presence,,illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun
Loss of landscape/sense of place,,illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun
Other socio-economic impacts,,illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun
Loss of landscape/sense of place,,exploratory-fracking-at-kirby-misperton-yorkshire
Other socio-economic impacts,,exploratory-fracking-at-kirby-misperton-yorkshire
Increase in Corruption/Co-optation of different actors,,bedford-biofuels-jatropha-tana-delta-kenya
Displacement,,bedford-biofuels-jatropha-tana-delta-kenya
Loss of livelihood,,bedford-biofuels-jatropha-tana-delta-kenya
Land dispossession,,bedford-biofuels-jatropha-tana-delta-kenya
Loss of landscape/sense of place,,bedford-biofuels-jatropha-tana-delta-kenya
Loss of livelihood,,derrame-de-petroleo-en-el-campo-de-frade-brazil
Loss of traditional knowledge/practices/cultures,,derrame-de-petroleo-en-el-campo-de-frade-brazil
Violations of human rights,,chemehuevi-indian-tribe-off-roading-damage
Loss of landscape/sense of place,,chemehuevi-indian-tribe-off-roading-damage
Loss of traditional knowledge/practices/cultures,,chemehuevi-indian-tribe-off-roading-damage
Increase in violence and crime,,clayoquot-sound-canada
Loss of livelihood,,clayoquot-sound-canada
Loss of traditional knowledge/practices/cultures,,clayoquot-sound-canada
Militarization and increased police presence,,clayoquot-sound-canada
Violations of human rights,,clayoquot-sound-canada
Land dispossession,,clayoquot-sound-canada
Loss of landscape/sense of place,,clayoquot-sound-canada
Other socio-economic impacts,,clayoquot-sound-canada
Specific impacts on women,,adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india
Land dispossession,,adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india
Loss of landscape/sense of place,,adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india
Displacement,,adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india
Increase in Corruption/Co-optation of different actors,,adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india
"Lack of work security, labour absenteeism, firings, unemployment",,adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india
Loss of traditional knowledge/practices/cultures,,adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india
Militarization and increased police presence,,adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india
Displacement,,nuclear-waste-storage-in-villar-de-canas-spain
Loss of livelihood,,nuclear-waste-storage-in-villar-de-canas-spain
Loss of landscape/sense of place,,nuclear-waste-storage-in-villar-de-canas-spain
Increase in Corruption/Co-optation of different actors,,nuclear-waste-storage-in-villar-de-canas-spain
Loss of livelihood,,mis-valley-hydropower-plant-italy
Loss of traditional knowledge/practices/cultures,,mis-valley-hydropower-plant-italy
Loss of landscape/sense of place,,mis-valley-hydropower-plant-italy
Displacement,,malaysia
Loss of livelihood,,malaysia
Loss of traditional knowledge/practices/cultures,,malaysia
Land dispossession,,malaysia
Loss of landscape/sense of place,,malaysia
Increase in Corruption/Co-optation of different actors,,varun-land-grabbing-madagascar
Displacement,,varun-land-grabbing-madagascar
Loss of livelihood,,varun-land-grabbing-madagascar
Violations of human rights,,varun-land-grabbing-madagascar
Land dispossession,,varun-land-grabbing-madagascar
Loss of landscape/sense of place,,varun-land-grabbing-madagascar
Displacement,,vindelalven-hydel-project-sweden
"Lack of work security, labour absenteeism, firings, unemployment",,vindelalven-hydel-project-sweden
Loss of livelihood,,vindelalven-hydel-project-sweden
Loss of traditional knowledge/practices/cultures,,vindelalven-hydel-project-sweden
Land dispossession,,vindelalven-hydel-project-sweden
Loss of landscape/sense of place,,vindelalven-hydel-project-sweden
Displacement,,land-grabbing-and-filling-up-of-wetlands
"Lack of work security, labour absenteeism, firings, unemployment",,land-grabbing-and-filling-up-of-wetlands
Loss of livelihood,,land-grabbing-and-filling-up-of-wetlands
Specific impacts on women,,land-grabbing-and-filling-up-of-wetlands
Violations of human rights,,land-grabbing-and-filling-up-of-wetlands
Land dispossession,,land-grabbing-and-filling-up-of-wetlands
Loss of landscape/sense of place,,land-grabbing-and-filling-up-of-wetlands
Loss of traditional knowledge/practices/cultures,,land-grabbing-and-filling-up-of-wetlands
Militarization and increased police presence,,luoding-incinerator-guangzhou-china
Violations of human rights,,luoding-incinerator-guangzhou-china
Increase in Corruption/Co-optation of different actors,,mineria-en-jardin-antioquia-colombia
Loss of livelihood,,mineria-en-jardin-antioquia-colombia
Loss of traditional knowledge/practices/cultures,,mineria-en-jardin-antioquia-colombia
"Social problems (alcoholism, prostitution, etc..)",,mineria-en-jardin-antioquia-colombia
Land dispossession,,mineria-en-jardin-antioquia-colombia
Loss of landscape/sense of place,,mineria-en-jardin-antioquia-colombia
Loss of landscape/sense of place,,illegal-boreholes-for-strawberry-farming-in-donana
Loss of livelihood,,pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia
Land dispossession,,pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia
Loss of landscape/sense of place,,pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia
Displacement,,exxaro-leeuwpan-mining-project-south-africa
Loss of livelihood,,exxaro-leeuwpan-mining-project-south-africa
Loss of traditional knowledge/practices/cultures,,exxaro-leeuwpan-mining-project-south-africa
Violations of human rights,,exxaro-leeuwpan-mining-project-south-africa
Loss of landscape/sense of place,,exxaro-leeuwpan-mining-project-south-africa
Increase in Corruption/Co-optation of different actors,,kosova-e-re-lignite-power-plant
Displacement,,kosova-e-re-lignite-power-plant
"Lack of work security, labour absenteeism, firings, unemployment",,kosova-e-re-lignite-power-plant
Loss of livelihood,,kosova-e-re-lignite-power-plant
Violations of human rights,,kosova-e-re-lignite-power-plant
Land dispossession,,kosova-e-re-lignite-power-plant
Increase in violence and crime,,coastal-zone-megaprojects-el-salvador
"Lack of work security, labour absenteeism, firings, unemployment",,coastal-zone-megaprojects-el-salvador
Loss of livelihood,,coastal-zone-megaprojects-el-salvador
Loss of traditional knowledge/practices/cultures,,coastal-zone-megaprojects-el-salvador
"Social problems (alcoholism, prostitution, etc..)",,coastal-zone-megaprojects-el-salvador
Specific impacts on women,,coastal-zone-megaprojects-el-salvador
Land dispossession,,coastal-zone-megaprojects-el-salvador
Loss of landscape/sense of place,,coastal-zone-megaprojects-el-salvador
Violations of human rights,,coastal-zone-megaprojects-el-salvador
Increase in Corruption/Co-optation of different actors,,45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa
"Lack of work security, labour absenteeism, firings, unemployment",,45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa
Loss of livelihood,,45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa
Violations of human rights,,45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa
Loss of livelihood,,fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana
Loss of traditional knowledge/practices/cultures,,fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana
Land dispossession,,fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana
Loss of landscape/sense of place,,fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana
Increase in Corruption/Co-optation of different actors,,mineria-en-el-cerro-sagrado-care-perro-antioquia
Increase in violence and crime,,mineria-en-el-cerro-sagrado-care-perro-antioquia
Loss of livelihood,,mineria-en-el-cerro-sagrado-care-perro-antioquia
Loss of traditional knowledge/practices/cultures,,mineria-en-el-cerro-sagrado-care-perro-antioquia
Militarization and increased police presence,,mineria-en-el-cerro-sagrado-care-perro-antioquia
"Social problems (alcoholism, prostitution, etc..)",,mineria-en-el-cerro-sagrado-care-perro-antioquia
Specific impacts on women,,mineria-en-el-cerro-sagrado-care-perro-antioquia
Violations of human rights,,mineria-en-el-cerro-sagrado-care-perro-antioquia
Loss of landscape/sense of place,,mineria-en-el-cerro-sagrado-care-perro-antioquia
Displacement,,mineria-en-el-cerro-sagrado-care-perro-antioquia
"Lack of work security, labour absenteeism, firings, unemployment",,mineria-en-el-cerro-sagrado-care-perro-antioquia
Land dispossession,,mineria-en-el-cerro-sagrado-care-perro-antioquia
Increase in Corruption/Co-optation of different actors,,macarthur-metallic-black-sand-mining
Displacement,,macarthur-metallic-black-sand-mining
Increase in violence and crime,,macarthur-metallic-black-sand-mining
Loss of livelihood,,macarthur-metallic-black-sand-mining
Violations of human rights,,macarthur-metallic-black-sand-mining
Land dispossession,,macarthur-metallic-black-sand-mining
Loss of landscape/sense of place,,macarthur-metallic-black-sand-mining
Other socio-economic impacts,,macarthur-metallic-black-sand-mining
"Lack of work security, labour absenteeism, firings, unemployment",,macarthur-metallic-black-sand-mining
Loss of traditional knowledge/practices/cultures,,macarthur-metallic-black-sand-mining
Militarization and increased police presence,,macarthur-metallic-black-sand-mining
"Social problems (alcoholism, prostitution, etc..)",,macarthur-metallic-black-sand-mining
Specific impacts on women,,macarthur-metallic-black-sand-mining
Displacement,,russas-valparaiso-redd-projects-acre-brazil
Loss of traditional knowledge/practices/cultures,,russas-valparaiso-redd-projects-acre-brazil
"Social problems (alcoholism, prostitution, etc..)",,russas-valparaiso-redd-projects-acre-brazil
Violations of human rights,,russas-valparaiso-redd-projects-acre-brazil
Other socio-economic impacts,,russas-valparaiso-redd-projects-acre-brazil
Loss of livelihood,,russas-valparaiso-redd-projects-acre-brazil
Land dispossession,,russas-valparaiso-redd-projects-acre-brazil
Increase in Corruption/Co-optation of different actors,,russas-valparaiso-redd-projects-acre-brazil
Loss of landscape/sense of place,,ecological-disaster-on-popular-khalaktyrsky-beach-kamchatka-region
Loss of traditional knowledge/practices/cultures,,dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project
Increase in Corruption/Co-optation of different actors,,dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project
Militarization and increased police presence,,dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project
Violations of human rights,,dominican-republic-farmers-are-threatened-by-a-new-seed-bill-project
Increase in Corruption/Co-optation of different actors,,ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp
"Lack of work security, labour absenteeism, firings, unemployment",,ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp
Loss of livelihood,,ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp
Violations of human rights,,ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp
Specific impacts on women,,ivory-coast-farmworkers-alleging-that-they-became-sterile-from-exposure-to-dbcp
Loss of livelihood,,pollution-of-the-obangue-river-also-dubanga-river
Displacement,,shale-gas-hydraulic-fracturing-ile-anticosti
Loss of livelihood,,shale-gas-hydraulic-fracturing-ile-anticosti
Loss of traditional knowledge/practices/cultures,,shale-gas-hydraulic-fracturing-ile-anticosti
"Social problems (alcoholism, prostitution, etc..)",,shale-gas-hydraulic-fracturing-ile-anticosti
Land dispossession,,shale-gas-hydraulic-fracturing-ile-anticosti
Loss of landscape/sense of place,,shale-gas-hydraulic-fracturing-ile-anticosti
Displacement,,rubber-tree-plantation-near-de-dja-reserve
Loss of livelihood,,rubber-tree-plantation-near-de-dja-reserve
Loss of traditional knowledge/practices/cultures,,rubber-tree-plantation-near-de-dja-reserve
"Social problems (alcoholism, prostitution, etc..)",,rubber-tree-plantation-near-de-dja-reserve
Violations of human rights,,rubber-tree-plantation-near-de-dja-reserve
Land dispossession,,rubber-tree-plantation-near-de-dja-reserve
Loss of landscape/sense of place,,rubber-tree-plantation-near-de-dja-reserve
Land dispossession,,killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru
Specific impacts on women,,killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru
Displacement,,killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru
Loss of livelihood,,killing-of-ashaninka-leader-estela-casanto-mauricio-in-junin-peru
Displacement,,asbestos-in-salonit-anhovo-slovenia
Violations of human rights,,asbestos-in-salonit-anhovo-slovenia
Loss of livelihood,,mining-in-tumpang-pitu-banyuwangi-east-java-indonesia
Loss of traditional knowledge/practices/cultures,,military-polygon-on-sinjajevina-montenegro
Loss of landscape/sense of place,,military-polygon-on-sinjajevina-montenegro
Displacement,,military-polygon-on-sinjajevina-montenegro
Militarization and increased police presence,,military-polygon-on-sinjajevina-montenegro
Violations of human rights,,military-polygon-on-sinjajevina-montenegro
Land dispossession,,military-polygon-on-sinjajevina-montenegro
Other socio-economic impacts,,military-polygon-on-sinjajevina-montenegro
Increase in violence and crime,,military-polygon-on-sinjajevina-montenegro
"Lack of work security, labour absenteeism, firings, unemployment",,military-polygon-on-sinjajevina-montenegro
Loss of livelihood,,military-polygon-on-sinjajevina-montenegro
Increase in Corruption/Co-optation of different actors,,cellulose-industry-in-gualeguaychu-ur-arg
Displacement,,cellulose-industry-in-gualeguaychu-ur-arg
Loss of livelihood,,cellulose-industry-in-gualeguaychu-ur-arg
