UID,name,slug,relations
chuvashka-village-in-kuzbass-kemerovo-oblast-covered-in-black-snow-from-coal-mining-russia,"Stepanovsky coal mine, Novokuznetsk, Russia",open-pit-coal-mine-novokuznetsk-russia,
chuvashka-village-in-kuzbass-kemerovo-oblast-covered-in-black-snow-from-coal-mining-russia,"Toxic undeground burning of coal tailings in and around Apanas, Kemerovo,  Russia",street-protest-in-kuzbass,
chuvashka-village-in-kuzbass-kemerovo-oblast-covered-in-black-snow-from-coal-mining-russia," Open pit coal mining and underground fires in Kiselevsk, Kemerovo, Russia",resistance-against-effects-of-open-pit-coal-mining-in-kiselevsk,
chuvashka-village-in-kuzbass-kemerovo-oblast-covered-in-black-snow-from-coal-mining-russia,"Coal Power Plant Karlsruhe, Germany",coal-power-plant-karlsruhe-germany,
dai-ninh-hydropower-project-dong-nai-river-vietnam,"Two of Dong Nai hydropower dams cancelled due to environmental concerns, Vietnam",dong-nai-dams-6-and-6a-cancelled-due-to-environmental-concerns-vietnam,
protest-against-setting-up-of-indian-institute-of-technology-campus-in-goa,"Golf course and resort in agricultural land in Tiracol, Goa, India",gold-course-and-resort-in-agricultural-land-in-tiracol-goa,
no-a-la-pineria-en-costa-rica,"Plantaciones de piña en el humedal Térraba Sierpe, Costa Rica",pineapples-expansion-in-the-terraba-sierpe-wetland-costa-rica,
los-peligros-de-la-fiebre-del-coltan-para-indigenas-guajibo-piaroa-y-enepa-en-los-estados-bolivar-y-amazonas,"Comunidades yanomami de la cuenca del río Ocamo afectadas por minería ilegal, Venezuela",afectacion-de-comunidades-indigenas-yanomami-de-la-cuenca-del-rio-ocamo-por-mineria-ilegal,
los-peligros-de-la-fiebre-del-coltan-para-indigenas-guajibo-piaroa-y-enepa-en-los-estados-bolivar-y-amazonas,"Indígenas yabarana, hoti y e’ñepa afectados por minería ilegal en Manapiare, Venezuela",indigenas-yabarana-hoti-y-enepa-afectados-por-mineria-ilegal-en-el-municipio-manapiare,
los-peligros-de-la-fiebre-del-coltan-para-indigenas-guajibo-piaroa-y-enepa-en-los-estados-bolivar-y-amazonas,"Pueblos indígenas arawaks del sur afectados por minería ilegal en la cuenca del río Atabapo, Venezuela",pueblos-indigenas-arawaks-del-sur-afectados-por-mineria-ilegal-en-la-cuenca-del-rio-atabapo,
los-peligros-de-la-fiebre-del-coltan-para-indigenas-guajibo-piaroa-y-enepa-en-los-estados-bolivar-y-amazonas,"Las luchas contra el mega-proyecto del Arco Minero del Orinoco, Venezuela",las-luchas-contra-el-mega-proyecto-del-arco-minero-del-orinoco,
krsko-nuclear-power-plant-slovenia,"Nuclear Waste Disposal at Trgovska gora, Croatia ",nuclear-waste-disposal-at-trgovska-gora-croatia,
protect-kok-zhailau-ile-alatau-state-national-nature-park-kazakhstan,"Ohrid-Prespa Biosphere Reserve threatened by tourism plans, Macedonia",ohrid-prespa-urbanization-drive,
protect-kok-zhailau-ile-alatau-state-national-nature-park-kazakhstan,Urbanization,urbanization,
tia-maria-peru,"Minería de cobre y molybdenum Cerro Verde en Arequipa, Peru",cerro-verde-arequipa-peru,
ministry-of-energys-watershed-mapping-study-yelcho-watershed,"Valdivia Watershed targeted by Ministry of Energy’s hydro plans, Chile",valdivia-watershed-targeted-by-ministry-of-energys-hydro-plans-chile,
ministry-of-energys-watershed-mapping-study-yelcho-watershed,"Bueno Watershed targeted by Ministry of Energy’s hydro plans, Chile",bueno-watershed-targeted-by-ministry-of-energys-hydro-plans-chile,
ministry-of-energys-watershed-mapping-study-yelcho-watershed,"Maule Watershed targeted by Ministry of Energy’s hydro plans, Chile",maule-watershed-targeted-by-ministry-of-energys-hydro-plans-chile,
lonco-mine-projects-argentina,"Proyecto Andacollo, Neuquen, Argentina",proyecto-andacollo-neuquen-argentina,
lonco-mine-projects-argentina,"Mahuide Bell (Popular Consultation), Loncoopué, Neuquén, Argentina",campana-mahuida-argentina,
lonco-mine-projects-argentina,"Mining in Las Coloradas (Las Nenas y La Voluntad), Neuquén, Argentina",las-coloradas,
nuclear-power-station-in-cofrents-valencia-spain,"Xúquer viu platform, Valencia, Spain",xuquer-viu-valencia-spain,
kaliwa-dam-new-centennial-water-source-project-ncws-quezon-philippines,"Laiban Dam - New Centennial Water Source Project (NCWS), Quezon, Philippines",laiban-dam-new-centennial-water-source-project-ncws-quezon-philippines,
kaliwa-dam-new-centennial-water-source-project-ncws-quezon-philippines,"Balog-Balog Multipurpose Dam Project, Tarlac, Luzon, The Philippines",balog-balog-dam-tarlac-luzon,
minamata-disease-japan,"Niigata Minamata: mercury poisoning by Showa Denko, Japan",mercury-poisoning-niigata-minamata,
jaitapur-nuclear-power-plant-maharashtra-india,"Proposed petroleum refinery in Ratnagiri district, Maharashtra, India",angry-protest-against-proposed-petroleum-refinery-in-ratnagiri-district-maharashtra,
anti-mining-protest-in-lhundrub-county-occupitied-tibet,"Copper mining in Tamo, monks and citizens protest, Tibet, China",linka-monastery-in-tamo-tibet,
explosions-at-paraxylene-px-petchem-plant-and-the-related-protests-zhangzhou-fujian,"Opposing paraxylene (PX) plant in the PetroChina 10 Million tons/year Refinery, Kunming, Yunnan, China ",opposing-paraxylene-px-plant-in-the-petrochina-10-million-tons-year-refinery-project-anning-kunming-yunnan-china,
coastal-communities-in-louisiana,"Mossville, Louisiana: environmental racism in “cancer alley”, United States",mossville-louisiana-environmental-racism-united-states,
ban-on-cycling-in-kolkata-west-bengal-india,"‘Pak ze aan, de Turnhoutsebaan’ - cyclists' safety in a less car-centric Antwerp, Belgium",pak-ze-aan-de-turnhoutsebaan-the-demand-for-a-less-car-centric-mobility-policy-in-antwerp,
costa-brava-landfill-lebanon,"Open Dumping, Lebanon",open-dumping-lebanon,
cuajone-toquepala-ilo-peru,"Quellaveco copper mine, Peru",quellaveco-peru,
manglares-de-tumbes-y-langostineras,"Malecón Tajamar-Cancún destruye Manglar en Quintana Roo, Mexico ",malecon-tajamar-cancun-destruye-manglar-en-quintana-roo-mexico,
comunidades-kuna-yala-frente-al-cambio-climatico,"Kivalina climate change court case, Alaska, USA",kivalina-climate-change-court-case-alaska-usa,
san-cristobal-potosi-bolivia-reubicacion,"Dique de colas de San Miguel, Cantumarca, Potosí, Bolivia",dique-de-colas-de-san-miguel,
shell-spill-in-otuasega-community-nigeria,"Shell oil exploration and extraction, Nigeria",shell-nigeria,
hydro-alunorte-alumina-refinery-in-barcarena-para-brazil,"Vale company’s tailings dam failure in Brumadinho, MG, Brazil",vale-tailingsdamfailure-brumadinho-minasgerais,
hydro-alunorte-alumina-refinery-in-barcarena-para-brazil,"Tucuruí hydroelectric dam, Pará, Brazil",tucurui-hydroelectric-dam-and-the-assassination-of-dilma-ferreira-silva-para-brazil,
nuclear-energy-lithuania,"Nuclear power plant  at Astravyets, Belarus",belarusia-nuclear-power-plant,
as-the-plans-for-incinerators-in-beirut-lebanon-expand-wastepickers-recycle-to-survive,"Open Dumping, Lebanon",open-dumping-lebanon,
as-the-plans-for-incinerators-in-beirut-lebanon-expand-wastepickers-recycle-to-survive,"As Beirut’s trash crisis drags on, children recycle to survive",as-beiruts-trash-crisis-drags-on-children-recycle-to-survive,
castor-project-gas-off-shore-storage-in-vinaros-spain,"Fracking en municipios del Maestrat y Els Ports en Castellón, Comunitat Valenciana, Spain",fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,
shahuindo-project-in-cajabamba-cajamarca-peru,"Unidad Minera Huarón de Pan American Silver, Huayllay, Pasco, Peru",unidad-minera-huaron-de-pan-american-silver-pasco-peru,
sable-chemicals-zimbabwe,"New Zimbabwe Steel River Pollution, Kwekwe, Zimbabwe",new-zimbabwe-steel-river-pollution-kwekwe-zimbabwe,
mega-natural-gas-project-yamal-arctic-russia,"Bovanenkovo – Ukhta 2 undersea gas pipeline incident, Baydaratskaya Bay, Arctic Russia",bovanenkovo-ukhta-2-undersea-gas-pipeline-incident-baydaratskaya-bay-arctic-russia,
mega-natural-gas-project-yamal-arctic-russia,"Gazprom's Obskaya – Bovanenkovo railroad in  Yamal peninsula, Arctic Russia",obskaya-bovanenkovo-railroad-arctic-russia,
mega-natural-gas-project-yamal-arctic-russia,"Sabetta port, Arctic Russia",sabetta-port-arctic-russia,
mega-natural-gas-project-yamal-arctic-russia,"Liquefied natural gas project -LNG 2,  Gydan peninsula, Arctic Russia",liquefied-natural-gas-project-lng-2-gydan-peninsula-arctic-russia,
mega-natural-gas-project-yamal-arctic-russia,"Underwater gas pipeline along the Ob River, Novy port, Yamal, Arctic Russia",underwater-pipeline-along-the-ob-river-yamal-arctic-russia,
lamassada-struggle-zad,"Gardarem lo Larzac ! Peasant fight against a military camp in the Larzac plateau, France",peasant-fight-for-larzac-plateau-south-western-france,
narra-citinickel-mine-in-palawan-philippines,"Citinickel's Pulot Sofronio mine in Palawan, Philippines",pulot-citinickel-mine-in-palawan-philippines,
the-fast-breeder-reacton-monju-japan,"Ooi (Ōi) nuclear power units temporarily stopped, Japan",ooi-nuclear-plants-fukui-prefecture-japan,
the-fast-breeder-reacton-monju-japan,"Rokkasho Reprocessing Plant and Nuclear Complex, Aomori, Japan",nuclear-waste-storage-facility-in-rokkasho-aomori-japan,
pt-kahatex-pt-insan-sandan-internusa-and-pt-five-star-textile,"Textile and Paper Mill Industry polluting Nashua River, USA",nashua-river-pollution-usa,
pt-kahatex-pt-insan-sandan-internusa-and-pt-five-star-textile,"PT Indo Bharat Rayon Viscose Plant, Indonesia ",pt-indo-bharat-rayon-viscose-factory-indonesia,
pt-kahatex-pt-insan-sandan-internusa-and-pt-five-star-textile,"PT South Pacific Viscose (SPV) Plant, Indonesia",pt-south-pacific-viscose-spv-viscose-plant-indonesia,
exploratory-fracking-in-balcombe-uk,"Exploratory Fracking at Kirby Misperton, Yorkshire, UK",exploratory-fracking-at-kirby-misperton-yorkshire,
los-impactos-socioambientales-del-complejo-industrial-petrolero-jose-antonio-anzoategui,"Los impactos socioambientales del Complejo Refinador Paraguaná, Venezuela ",los-impactos-socioambientales-del-complejo-refinador-paraguana,
los-impactos-socioambientales-del-complejo-industrial-petrolero-jose-antonio-anzoategui,"Complejo Petroquímico El Tablazo y las luchas de El Hornito contra PDVSA, Venezuela",el-complejo-petroquimico-el-tablazo-y-las-luchas-de-la-comunidad-de-el-hornito-contra-pdvsa,
forceful-takeover-of-forest-lands-cultivated-by-tribals-and-others-in-khammam-district-of-telangana-state-of-india," Baiga women’s mobilization to protect forests from Forest Department intervention in Pondi, India",baiga-womens-mobilization-in-community-governed-forests-in-central-india,
destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia,"Caño Limón oilfield in Arauquita, Arauca, Colombia ",cano-limon-oilfield-in-arauquita-arauca-colombia,
bajo-la-alumbrera-mine-argentina,"Mining project MARA, Argentina",agua-rica-andalgala-catamarca-argentina,
the-avocado-agribusiness-and-water-drought-in-petorca-chile,"Intensive Cultivation of Avocado causing an environmental disaster in La Ligua, Chile. ",intensive-cultivation-of-avocado-causing-an-environmental-disaster-in-la-lingua-chile-,
penasquito,"Mina Los Filos - El Bermejal, Carrizalillo, Guerrero, Mexico",mina-los-filos-el-bermejal-carrizalillo,
dirty-fishmeal-production-in-nouadhibou-mauritania,"Fishmeal factory emissions in Hout Bay, Western Cape, South Africa",fishmeal-factory-emissions-in-hout-bay-south-africa,
phosphates-mining-in-the-gardening-zone-of-niayes-mboro-senegal,"Air pollution and land-grabbing for phosphates in Petite Mine, Sephos S.A., Senegal",khoudiadienne-sephos-senegal,
killing-of-lina-and-ramon-pesadilla-human-rigths-and-environmental-defenders-in-compostela-valley-philippines,"Peasant leaders killed on March 27, 2017,  in Compostela Valley, Philippines",peasant-protesters-killed-in-compostela-valley-philippines,
rio-tula-y-el-tunel-emisor-oriente-teo,"Planta Tratadora de Aguas Residuales (PTAR) Atotonilco, Hidalgo, México.",planta-tratadora-de-aguas-residuales-ptar-atotonilco-de-tula-hidalgo-mexico,
coca-cola-and-groundwater-exploitation,"Vittel Water Extraction from Boreholes in Vosges, France",vittel-water-extraction-from-boreholes-in-vosges-france,
oil-explosion-in-baghjan-tinsukia-assam-india,"Coal mining in Dehing Patkai, Assam, India",coal-mining-in-dehing-patkai-assam,
hydraulic-fracking-egypt," Fracking and flooding in Fares, Egypt",fracking-and-flooding-in-fares-egypt,
kalwaka-gold-mine-burkina-faso,"Attempting Social Responsibility at Iamgold's mine, Burkina Faso ",gold-and-water-rush-in-burkina-fasos-essakane-mine,
ashio-copper-mine-japan,"La Compañía Rio Tinto y la matanza de 1888, Andalucía, España",rio-tinto-la-matanza-de-1888,
takalar-fisherfolk-against-sea-sand-mining,"Opposition to reclamation projects in the city of Makassar, Sulawesi, Indonesia",reclamation-project-makassar-indonesia,
lignite-mining-cottbus-nord-lakoma-germany,"Lignite mining and the Ende Gelände movement, Germany",linginte-mining-and-the-ende-gelande-movement,
munduruku-indigenous-resistance-against-illegal-gold-mining,"Teles Pires Hydroelectric Dam, Mato Grosso - Pará, Brazil",indigenous-communities-against-hydroelectric-dams-along-the-teles-pires-river-para-mato-grosso-brazil,
munduruku-indigenous-resistance-against-illegal-gold-mining,"São Manoel Hydroelectric Dam, Mato Grosso - Pará, Brazil",sao-manoel-hydroelectric-dam-mato-grosso-para-brazil,
pitinga-mine-amazonas-brazil,"Illegal logging threatens isolated Pirititi indigenous group, Roraima, Brazil",illegal-logging-in-pirititi-indigenous-territory-roraima-brazil,
nuclear-power-station-in-tihange-belgium,"Fessenheim nuclear power station stopped, France",fessenheim-france,
dandora-landfill-in-nairobi-kenya,"Waste-to-Energy Project in Kibera, Kenya",proposed-incinerator-at-dandora-landfill-threatens-wastepicker-livelihood-in-nairobi-kenya,
indramayu-coal-power-plant-west-java-indonesia,"Protest against pollution from coal power plant, Cilacap, Central Java, Indonesia",protest-against-pollution-from-coal-power-plant-cilacap-central-java-indonesia,
us-steels-clairton-coke-works,"Proposed Hydraulic Fracturing at U.S. Steel Edgar Thomson Plant in Braddock, PA, USA",air-pollution-in-pittsburgh-pa,
hydroelectric-plants-on-puelo-river-by-endesa-and-mediterraneo-chile-argentina,"Valdivia Watershed targeted by Ministry of Energy’s hydro plans, Chile",valdivia-watershed-targeted-by-ministry-of-energys-hydro-plans-chile,
hydroelectric-plants-on-puelo-river-by-endesa-and-mediterraneo-chile-argentina,"Bueno Watershed targeted by Ministry of Energy’s hydro plans, Chile",bueno-watershed-targeted-by-ministry-of-energys-hydro-plans-chile,
hydroelectric-plants-on-puelo-river-by-endesa-and-mediterraneo-chile-argentina,"Maule Watershed targeted by Ministry of Energy’s hydro plans, Chile",maule-watershed-targeted-by-ministry-of-energys-hydro-plans-chile,
roma-krompachy-kosice,"Lunik IX Roma settlement:  potable water monitored by police and segregated by wall in Košice, Slovak Republic",lunik-ix-roma-settlement-potable-water-monitored-by-police-and-segregated-by-a-built-wall-in-kosice-slovak-republic,
potasas-del-llobregat-catalonia,"Potassium mining sinkholes in Berezniki, Russia",potassium-mining-sinkholes-in-berezniki-russia,
grasim-industries-viscose-plant-india,"Jiujiang Jinyuan Chemical Fiber Co. Ltd. Viscose Plant, China ",jiujiang-jinyuan-chemical-fiber-co-ltd-viscose-plant-china,
grasim-industries-viscose-plant-india,"Mavoor Gwalior Rayon Factory, Calicut, Kerala, India",mavoor-gwalior-rayons-factory,
fracking-araba-enara-spain,"Exploratory fracking in Arquetu, Cantabria, Spain",exploratory-fracking-in-arquetu-cantabria-spain,
virunga-national-park-drilling-project,"Illegal Logging and Other Types of Resource Extraction in Virunga National Park, DR Congo",illegal-logging-and-other-types-of-resource-extraction-in-virunga-national-park,
virunga-national-park-drilling-project,"Oil concessions threaten world's second lung in the Cuvette Centrale, Congo Basin",totalenergies-oil-exploration-in-republic-of-congo,
rosia-montana-romania,"Certej gold mining, Romania",certej-gold-mining-romania,
rosia-montana-romania,"Gold and polymetallic ores mining in Brad and the battle against cyanide, Romania",brad-polymetallic-ores-including-gold,
comunidades-indigenas-pemon-del-rio-carrao-afectados-por-la-mineria-ilegal-en-el-parque-nacional-canaima,"Pueblos yek’wana y sanemá afectados por minería ilegal de oro en el Alto Caura, Venezuela",afectacion-de-los-pueblos-yekwana-y-sanema-por-mineria-ilegal-en-el-rio-caura,
comunidades-indigenas-pemon-del-rio-carrao-afectados-por-la-mineria-ilegal-en-el-parque-nacional-canaima,"Minería ilegal y la contaminación por mercurio en El Callao, Venezuela",mineria-ilegal-y-la-contaminacion-por-mercurio-en-el-callao,
comunidades-indigenas-pemon-del-rio-carrao-afectados-por-la-mineria-ilegal-en-el-parque-nacional-canaima,"La fiebre del coltán amenaza a indígenas guajibo, piaroa y e’ñepa en Bolívar y Amazonas, Venezuela",los-peligros-de-la-fiebre-del-coltan-para-indigenas-guajibo-piaroa-y-enepa-en-los-estados-bolivar-y-amazonas,
comunidades-indigenas-pemon-del-rio-carrao-afectados-por-la-mineria-ilegal-en-el-parque-nacional-canaima,"Disputas de los indígenas del Alto Paragua en torno a la minería ilegal en sus territorios, Venezuela  ",disputas-de-los-indigenas-del-alto-paragua-en-torno-a-la-mineria-ilegal-en-sus-territorios,
comunidades-indigenas-pemon-del-rio-carrao-afectados-por-la-mineria-ilegal-en-el-parque-nacional-canaima,"Indígenas  warao (Delta del Orinoco) contaminados por Corporación Venezolana de Guayana y  minería ilegal, Venezuela ",indigenas-warao-en-el-bajo-delta-del-orinoco-contaminados-por-desechos-de-la-corporacion-venezolana-de-guayana-y-de-la-mineria-ilegal,
comunidades-indigenas-pemon-del-rio-carrao-afectados-por-la-mineria-ilegal-en-el-parque-nacional-canaima,"Indígenas yabarana, hoti y e’ñepa afectados por minería ilegal en Manapiare, Venezuela",indigenas-yabarana-hoti-y-enepa-afectados-por-mineria-ilegal-en-el-municipio-manapiare,
comunidades-indigenas-pemon-del-rio-carrao-afectados-por-la-mineria-ilegal-en-el-parque-nacional-canaima,"Las luchas contra el mega-proyecto del Arco Minero del Orinoco, Venezuela",las-luchas-contra-el-mega-proyecto-del-arco-minero-del-orinoco,
comunidades-indigenas-pemon-del-rio-carrao-afectados-por-la-mineria-ilegal-en-el-parque-nacional-canaima,"Turismo en territorio Pemon en el Parque Nacional Canaima, Venezuela ",turismo-en-el-parque-nacional-canaima-venezuela-un-conflicto-sobre-autoridad-propiedad-y-control,
impact-of-the-wall-surrounding-the-city-of-qalqilya-affecting-orchards,"Israel uproots and confiscates Palestinian agricultural land, Occupied West Bank and Gaza",uprooted-land-in-the-occupied-palestinian-territories,
hydrocarbon-extraction-a-threat-to-livelihood-in-neduvasal-pudukkottai-district-cauvery-delta,"Oil spill by ONGC , Kathiramnagalam,  Cauvery delta, TN, India",hydrocarbon-extraction-by-oil-and-natural-gas-corporation-ongc-kathiramnagalam-tamil-nadu,
minera-las-cruces-sevilla-spain,"La Compañía Rio Tinto y la matanza de 1888, Andalucía, España",rio-tinto-la-matanza-de-1888,
noyyal-river-basin-a-pollution-cocktail,"Textile factories in Indonesia pollute water in Cikijing River, tributary of Citarum River, Indonesia",pt-kahatex-pt-insan-sandan-internusa-and-pt-five-star-textile,
noyyal-river-basin-a-pollution-cocktail,"Gistex textile group and Margaasih community protests, Indonesia",pt-gistex,
noyyal-river-basin-a-pollution-cocktail,"Textile and Paper Mill Industry polluting Nashua River, USA",nashua-river-pollution-usa,
yucca-mountain-nuclear-waste-storage-usa,"Vermont Yankee Nuclear Power Plant, USA",citizen-action-shuts-down-nuclear-plant-vermont-yankee,
waste-nuevomercurio-zacatecas-mexico,"Environmental liabilities (pasivos ambientales) of Minera San Acacio, Vetagrande, Zacatecas, Mexico",minera-san-acacio-vetagrande-zacatecas-mexico,
waste-nuevomercurio-zacatecas-mexico,"Pasivos ambientales de la Minera Noche Buena, Melchor Ocampo, Zacatecas, México",minera-noche-buena-melchor-ocampo-zacatecas-mexico,
shell-chevron-canalization-devastes-tsekelewu-community,"Shell Must Fall campaign, The Netherlands",shell-must-fall-campaign,
vales-giant-s11d-iron-ore-project-in-carajas-para-brazil,"Copper mining in Canaã dos Carajás and Marabá, Pará, Brazil",copper-mining-in-carajas-para-brazil,
anglo-platinum-mogalakwena-mine-tailings-dam-in-limpopo-south-africa,"Sakatti Mine, Finland",sakatti-mine,
afectados-por-el-nemagon-honduras," DBCP and male infertility in Lathrop, California, United States",dbcp-and-male-infertility-in-lathrop-california,
