UID,name,environmental_impact
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,"Biodiversity loss (wildlife, agro-diversity)",
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,Food insecurity (crop damage),
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,Soil contamination,
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,Soil erosion,
moroccan-business-grabs-10000ha-for-intensive-rice-agriculture-senegal,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
jose-claudio-maria,"Biodiversity loss (wildlife, agro-diversity)",
jose-claudio-maria,Deforestation and loss of vegetation cover,
pesticides-contaminate-drinkable-water-in-bretagne-france,Large-scale disturbance of hydro and geological systems,
pesticides-contaminate-drinkable-water-in-bretagne-france,"Biodiversity loss (wildlife, agro-diversity)",
pesticides-contaminate-drinkable-water-in-bretagne-france,Soil contamination,
pesticides-contaminate-drinkable-water-in-bretagne-france,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
pesticides-contaminate-drinkable-water-in-bretagne-france,Groundwater pollution or depletion,
hebron-a-city-flooded-with-sewage,"Floods (river, coastal, mudflow)",
hebron-a-city-flooded-with-sewage,Waste overflow,
hebron-a-city-flooded-with-sewage,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
hebron-a-city-flooded-with-sewage,Reduced ecological / hydrological connectivity,
hebron-a-city-flooded-with-sewage,Air pollution,
copper-mining-on-the-asana-river-peru,"Biodiversity loss (wildlife, agro-diversity)",
copper-mining-on-the-asana-river-peru,Desertification/Drought,
copper-mining-on-the-asana-river-peru,Food insecurity (crop damage),
copper-mining-on-the-asana-river-peru,Loss of landscape/aesthetic degradation,
copper-mining-on-the-asana-river-peru,Noise pollution,
copper-mining-on-the-asana-river-peru,Soil contamination,
copper-mining-on-the-asana-river-peru,Soil erosion,
copper-mining-on-the-asana-river-peru,Waste overflow,
copper-mining-on-the-asana-river-peru,Deforestation and loss of vegetation cover,
copper-mining-on-the-asana-river-peru,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
copper-mining-on-the-asana-river-peru,Groundwater pollution or depletion,
copper-mining-on-the-asana-river-peru,Large-scale disturbance of hydro and geological systems,
copper-mining-on-the-asana-river-peru,Reduced ecological / hydrological connectivity,
copper-mining-on-the-asana-river-peru,Mine tailing spills,
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,Air pollution,
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,Food insecurity (crop damage),
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,Noise pollution,
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,Soil contamination,
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,Waste overflow,
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,"Floods (river, coastal, mudflow)",
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,Groundwater pollution or depletion,
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,Deforestation and loss of vegetation cover,
wind-farm-nowe-skalmierzyce-poland,"Biodiversity loss (wildlife, agro-diversity)",
wind-farm-nowe-skalmierzyce-poland,Loss of landscape/aesthetic degradation,
wind-farm-nowe-skalmierzyce-poland,Noise pollution,
kamchay-dam-kampot-province-cambodia,Air pollution,
kamchay-dam-kampot-province-cambodia,"Biodiversity loss (wildlife, agro-diversity)",
kamchay-dam-kampot-province-cambodia,Noise pollution,
kamchay-dam-kampot-province-cambodia,Deforestation and loss of vegetation cover,
kamchay-dam-kampot-province-cambodia,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
kamchay-dam-kampot-province-cambodia,Large-scale disturbance of hydro and geological systems,
kamchay-dam-kampot-province-cambodia,Reduced ecological / hydrological connectivity,
kamchay-dam-kampot-province-cambodia,Loss of landscape/aesthetic degradation,
phosphate-mining-in-anitpolis-brazil,Air pollution,
phosphate-mining-in-anitpolis-brazil,"Biodiversity loss (wildlife, agro-diversity)",
phosphate-mining-in-anitpolis-brazil,Loss of landscape/aesthetic degradation,
phosphate-mining-in-anitpolis-brazil,Noise pollution,
phosphate-mining-in-anitpolis-brazil,Soil contamination,
phosphate-mining-in-anitpolis-brazil,Soil erosion,
phosphate-mining-in-anitpolis-brazil,Deforestation and loss of vegetation cover,
phosphate-mining-in-anitpolis-brazil,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
phosphate-mining-in-anitpolis-brazil,Groundwater pollution or depletion,
phosphate-mining-in-anitpolis-brazil,Large-scale disturbance of hydro and geological systems,
phosphate-mining-in-anitpolis-brazil,Mine tailing spills,
pt-sss-irregular-establishment,Air pollution,
pt-sss-irregular-establishment,"Biodiversity loss (wildlife, agro-diversity)",
pt-sss-irregular-establishment,Food insecurity (crop damage),
pt-sss-irregular-establishment,Soil contamination,
pt-sss-irregular-establishment,Soil erosion,
pt-sss-irregular-establishment,Waste overflow,
pt-sss-irregular-establishment,Deforestation and loss of vegetation cover,
pt-sss-irregular-establishment,Global warming,
wpb-colliery-in-dullstroom-mpumalanga-south-africa,Mine tailing spills,
wpb-colliery-in-dullstroom-mpumalanga-south-africa,"Biodiversity loss (wildlife, agro-diversity)",
wpb-colliery-in-dullstroom-mpumalanga-south-africa,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
wpb-colliery-in-dullstroom-mpumalanga-south-africa,Reduced ecological / hydrological connectivity,
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,"Biodiversity loss (wildlife, agro-diversity)",
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,Food insecurity (crop damage),
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,Genetic contamination,
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,Loss of landscape/aesthetic degradation,
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,Soil contamination,
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,Soil erosion,
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,Waste overflow,
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,Deforestation and loss of vegetation cover,
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,Groundwater pollution or depletion,
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,Large-scale disturbance of hydro and geological systems,
a-decade-longe-battle-against-yeelirrie-uranium-mine-led-by-tjiwarl-women-australia,Reduced ecological / hydrological connectivity,
lake-chad-desertification-chad,"Biodiversity loss (wildlife, agro-diversity)",
lake-chad-desertification-chad,Desertification/Drought,
lake-chad-desertification-chad,Food insecurity (crop damage),
lake-chad-desertification-chad,Global warming,
lake-chad-desertification-chad,Deforestation and loss of vegetation cover,
lake-chad-desertification-chad,Large-scale disturbance of hydro and geological systems,
lake-chad-desertification-chad,Reduced ecological / hydrological connectivity,
xochicuautla-comunidadotomi-mexico,"Biodiversity loss (wildlife, agro-diversity)",
xochicuautla-comunidadotomi-mexico,Loss of landscape/aesthetic degradation,
xochicuautla-comunidadotomi-mexico,Deforestation and loss of vegetation cover,
xochicuautla-comunidadotomi-mexico,Food insecurity (crop damage),
xochicuautla-comunidadotomi-mexico,Noise pollution,
xochicuautla-comunidadotomi-mexico,Soil contamination,
xochicuautla-comunidadotomi-mexico,Groundwater pollution or depletion,
xochicuautla-comunidadotomi-mexico,Reduced ecological / hydrological connectivity,
developments-along-the-shores-of-lake-elementaita-kenya,Loss of landscape/aesthetic degradation,
developments-along-the-shores-of-lake-elementaita-kenya,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
congo-coltan-in-the-kivu-region-dr-of-congo,Air pollution,
congo-coltan-in-the-kivu-region-dr-of-congo,"Biodiversity loss (wildlife, agro-diversity)",
congo-coltan-in-the-kivu-region-dr-of-congo,Food insecurity (crop damage),
congo-coltan-in-the-kivu-region-dr-of-congo,Genetic contamination,
congo-coltan-in-the-kivu-region-dr-of-congo,Global warming,
congo-coltan-in-the-kivu-region-dr-of-congo,Loss of landscape/aesthetic degradation,
congo-coltan-in-the-kivu-region-dr-of-congo,Noise pollution,
congo-coltan-in-the-kivu-region-dr-of-congo,Soil contamination,
congo-coltan-in-the-kivu-region-dr-of-congo,Soil erosion,
congo-coltan-in-the-kivu-region-dr-of-congo,Waste overflow,
congo-coltan-in-the-kivu-region-dr-of-congo,Deforestation and loss of vegetation cover,
congo-coltan-in-the-kivu-region-dr-of-congo,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
congo-coltan-in-the-kivu-region-dr-of-congo,Groundwater pollution or depletion,
lesten-tampur-dam,"Biodiversity loss (wildlife, agro-diversity)",
lesten-tampur-dam,Deforestation and loss of vegetation cover,
lesten-tampur-dam,Large-scale disturbance of hydro and geological systems,
lesten-tampur-dam,Reduced ecological / hydrological connectivity,
lesten-tampur-dam,Loss of landscape/aesthetic degradation,
lesten-tampur-dam,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
lesten-tampur-dam,Groundwater pollution or depletion,
sime-darby-plantation-land-conflict-liberia,"Biodiversity loss (wildlife, agro-diversity)",
sime-darby-plantation-land-conflict-liberia,Global warming,
sime-darby-plantation-land-conflict-liberia,Loss of landscape/aesthetic degradation,
sime-darby-plantation-land-conflict-liberia,Soil erosion,
sime-darby-plantation-land-conflict-liberia,Deforestation and loss of vegetation cover,
sime-darby-plantation-land-conflict-liberia,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
obsolete-pesticides-in-abaco-island-bahamas,Air pollution,
obsolete-pesticides-in-abaco-island-bahamas,"Biodiversity loss (wildlife, agro-diversity)",
obsolete-pesticides-in-abaco-island-bahamas,Food insecurity (crop damage),
obsolete-pesticides-in-abaco-island-bahamas,Soil contamination,
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,Food insecurity (crop damage),
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,Genetic contamination,
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,Noise pollution,
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,Soil erosion,
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,Waste overflow,
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,Deforestation and loss of vegetation cover,
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,Groundwater pollution or depletion,
mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,Food insecurity (crop damage),
mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,Soil contamination,
mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,Oil spills,
mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
oil-drilling-in-the-national-park-of-calilegua,"Biodiversity loss (wildlife, agro-diversity)",
oil-drilling-in-the-national-park-of-calilegua,Deforestation and loss of vegetation cover,
oil-drilling-in-the-national-park-of-calilegua,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
oil-drilling-in-the-national-park-of-calilegua,Oil spills,
oil-drilling-in-the-national-park-of-calilegua,Groundwater pollution or depletion,
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,"Biodiversity loss (wildlife, agro-diversity)",
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,Soil contamination,
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,Groundwater pollution or depletion,
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,Food insecurity (crop damage),
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,Waste overflow,
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,Large-scale disturbance of hydro and geological systems,
irish-cement,Air pollution,
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,Air pollution,
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,"Biodiversity loss (wildlife, agro-diversity)",
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,Food insecurity (crop damage),
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,Soil contamination,
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,Waste overflow,
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,Groundwater pollution or depletion,
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,Large-scale disturbance of hydro and geological systems,
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,Reduced ecological / hydrological connectivity,
telangana-government-plantation-programme,"Biodiversity loss (wildlife, agro-diversity)",
telangana-government-plantation-programme,Food insecurity (crop damage),
telangana-government-plantation-programme,Other Environmental impacts,
telangana-government-plantation-programme,Soil erosion,
telangana-government-plantation-programme,Deforestation and loss of vegetation cover,
yalova-vopak-chemical-storage-terminal-turkey,Air pollution,
yalova-vopak-chemical-storage-terminal-turkey,"Biodiversity loss (wildlife, agro-diversity)",
yalova-vopak-chemical-storage-terminal-turkey,Fires,
yalova-vopak-chemical-storage-terminal-turkey,Food insecurity (crop damage),
yalova-vopak-chemical-storage-terminal-turkey,Genetic contamination,
yalova-vopak-chemical-storage-terminal-turkey,Soil contamination,
yalova-vopak-chemical-storage-terminal-turkey,Waste overflow,
yalova-vopak-chemical-storage-terminal-turkey,Oil spills,
yalova-vopak-chemical-storage-terminal-turkey,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
yalova-vopak-chemical-storage-terminal-turkey,Groundwater pollution or depletion,
yalova-vopak-chemical-storage-terminal-turkey,Large-scale disturbance of hydro and geological systems,
yalova-vopak-chemical-storage-terminal-turkey,Mine tailing spills,
rare-earth-mining-in-mountains-of-myanmar,"Biodiversity loss (wildlife, agro-diversity)",
rare-earth-mining-in-mountains-of-myanmar,Loss of landscape/aesthetic degradation,
rare-earth-mining-in-mountains-of-myanmar,Soil contamination,
rare-earth-mining-in-mountains-of-myanmar,Soil erosion,
rare-earth-mining-in-mountains-of-myanmar,Deforestation and loss of vegetation cover,
rare-earth-mining-in-mountains-of-myanmar,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
rare-earth-mining-in-mountains-of-myanmar,Groundwater pollution or depletion,
rare-earth-mining-in-mountains-of-myanmar,Large-scale disturbance of hydro and geological systems,
rare-earth-mining-in-mountains-of-myanmar,Reduced ecological / hydrological connectivity,
rare-earth-mining-in-mountains-of-myanmar,Desertification/Drought,
rare-earth-mining-in-mountains-of-myanmar,Mine tailing spills,
rare-earth-mining-in-mountains-of-myanmar,Food insecurity (crop damage),
rare-earth-mining-in-mountains-of-myanmar,Waste overflow,
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,Air pollution,
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,"Biodiversity loss (wildlife, agro-diversity)",
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,Food insecurity (crop damage),
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,Loss of landscape/aesthetic degradation,
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,Noise pollution,
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,Soil contamination,
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,Soil erosion,
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,Deforestation and loss of vegetation cover,
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,Groundwater pollution or depletion,
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,Mine tailing spills,
depredacion-ecologica-en-el-cerro-de-el-cimatario,Soil contamination,
depredacion-ecologica-en-el-cerro-de-el-cimatario,"Biodiversity loss (wildlife, agro-diversity)",
depredacion-ecologica-en-el-cerro-de-el-cimatario,Desertification/Drought,
depredacion-ecologica-en-el-cerro-de-el-cimatario,"Floods (river, coastal, mudflow)",
depredacion-ecologica-en-el-cerro-de-el-cimatario,Global warming,
depredacion-ecologica-en-el-cerro-de-el-cimatario,Loss of landscape/aesthetic degradation,
depredacion-ecologica-en-el-cerro-de-el-cimatario,Deforestation and loss of vegetation cover,
depredacion-ecologica-en-el-cerro-de-el-cimatario,Large-scale disturbance of hydro and geological systems,
depredacion-ecologica-en-el-cerro-de-el-cimatario,Reduced ecological / hydrological connectivity,
depredacion-ecologica-en-el-cerro-de-el-cimatario,Other Environmental impacts,
depredacion-ecologica-en-el-cerro-de-el-cimatario,Air pollution,
depredacion-ecologica-en-el-cerro-de-el-cimatario,Fires,
contaminacion-del-rio-pirai,Air pollution,
contaminacion-del-rio-pirai,"Biodiversity loss (wildlife, agro-diversity)",
contaminacion-del-rio-pirai,Fires,
contaminacion-del-rio-pirai,"Floods (river, coastal, mudflow)",
contaminacion-del-rio-pirai,Loss of landscape/aesthetic degradation,
contaminacion-del-rio-pirai,Soil contamination,
contaminacion-del-rio-pirai,Waste overflow,
contaminacion-del-rio-pirai,Deforestation and loss of vegetation cover,
contaminacion-del-rio-pirai,Groundwater pollution or depletion,
contaminacion-del-rio-pirai,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
chuangyuan-aluminium-plant-pollution-in-hunan-china,"Biodiversity loss (wildlife, agro-diversity)",
chuangyuan-aluminium-plant-pollution-in-hunan-china,Food insecurity (crop damage),
chuangyuan-aluminium-plant-pollution-in-hunan-china,Loss of landscape/aesthetic degradation,
chuangyuan-aluminium-plant-pollution-in-hunan-china,Soil contamination,
chuangyuan-aluminium-plant-pollution-in-hunan-china,Waste overflow,
chuangyuan-aluminium-plant-pollution-in-hunan-china,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
chuangyuan-aluminium-plant-pollution-in-hunan-china,Groundwater pollution or depletion,
chuangyuan-aluminium-plant-pollution-in-hunan-china,Deforestation and loss of vegetation cover,
buryatia-vs-yukos-oil-russian-federation,Loss of landscape/aesthetic degradation,
buryatia-vs-yukos-oil-russian-federation,Oil spills,
buryatia-vs-yukos-oil-russian-federation,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
buryatia-vs-yukos-oil-russian-federation,Fires,
buryatia-vs-yukos-oil-russian-federation,Waste overflow,
wisco-soalala-iron-ore-madagascar,Groundwater pollution or depletion,
wisco-soalala-iron-ore-madagascar,Mine tailing spills,
wisco-soalala-iron-ore-madagascar,Other Environmental impacts,
wisco-soalala-iron-ore-madagascar,Air pollution,
wisco-soalala-iron-ore-madagascar,"Biodiversity loss (wildlife, agro-diversity)",
wisco-soalala-iron-ore-madagascar,Global warming,
wisco-soalala-iron-ore-madagascar,Loss of landscape/aesthetic degradation,
wisco-soalala-iron-ore-madagascar,Deforestation and loss of vegetation cover,
wisco-soalala-iron-ore-madagascar,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,"Biodiversity loss (wildlife, agro-diversity)",
sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,Loss of landscape/aesthetic degradation,
sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,Deforestation and loss of vegetation cover,
sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,Large-scale disturbance of hydro and geological systems,
sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,Reduced ecological / hydrological connectivity,
sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,Food insecurity (crop damage),
sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,Soil contamination,
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,"Biodiversity loss (wildlife, agro-diversity)",
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,Loss of landscape/aesthetic degradation,
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,Soil contamination,
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,Waste overflow,
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,Groundwater pollution or depletion,
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,Reduced ecological / hydrological connectivity,
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,Air pollution,
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,Fires,
exploratory-fracking-at-kirby-misperton-yorkshire,Air pollution,
exploratory-fracking-at-kirby-misperton-yorkshire,Global warming,
exploratory-fracking-at-kirby-misperton-yorkshire,Loss of landscape/aesthetic degradation,
exploratory-fracking-at-kirby-misperton-yorkshire,Noise pollution,
exploratory-fracking-at-kirby-misperton-yorkshire,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
exploratory-fracking-at-kirby-misperton-yorkshire,Groundwater pollution or depletion,
exploratory-fracking-at-kirby-misperton-yorkshire,Large-scale disturbance of hydro and geological systems,
bedford-biofuels-jatropha-tana-delta-kenya,"Biodiversity loss (wildlife, agro-diversity)",
bedford-biofuels-jatropha-tana-delta-kenya,Global warming,
bedford-biofuels-jatropha-tana-delta-kenya,Soil erosion,
bedford-biofuels-jatropha-tana-delta-kenya,Deforestation and loss of vegetation cover,
bedford-biofuels-jatropha-tana-delta-kenya,Large-scale disturbance of hydro and geological systems,
derrame-de-petroleo-en-el-campo-de-frade-brazil,"Floods (river, coastal, mudflow)",
derrame-de-petroleo-en-el-campo-de-frade-brazil,Food insecurity (crop damage),
derrame-de-petroleo-en-el-campo-de-frade-brazil,Oil spills,
chemehuevi-indian-tribe-off-roading-damage,Air pollution,
chemehuevi-indian-tribe-off-roading-damage,"Biodiversity loss (wildlife, agro-diversity)",
chemehuevi-indian-tribe-off-roading-damage,Food insecurity (crop damage),
chemehuevi-indian-tribe-off-roading-damage,Loss of landscape/aesthetic degradation,
chemehuevi-indian-tribe-off-roading-damage,Noise pollution,
chemehuevi-indian-tribe-off-roading-damage,Waste overflow,
clayoquot-sound-canada,"Biodiversity loss (wildlife, agro-diversity)",
clayoquot-sound-canada,"Floods (river, coastal, mudflow)",
clayoquot-sound-canada,Loss of landscape/aesthetic degradation,
clayoquot-sound-canada,Deforestation and loss of vegetation cover,
clayoquot-sound-canada,Large-scale disturbance of hydro and geological systems,
clayoquot-sound-canada,Other Environmental impacts,
clayoquot-sound-canada,Noise pollution,
clayoquot-sound-canada,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
clayoquot-sound-canada,Reduced ecological / hydrological connectivity,
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,Loss of landscape/aesthetic degradation,
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,Food insecurity (crop damage),
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,"Biodiversity loss (wildlife, agro-diversity)",
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,Fires,
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,Deforestation and loss of vegetation cover,
nuclear-waste-storage-in-villar-de-canas-spain,Loss of landscape/aesthetic degradation,
nuclear-waste-storage-in-villar-de-canas-spain,Soil contamination,
nuclear-waste-storage-in-villar-de-canas-spain,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
nuclear-waste-storage-in-villar-de-canas-spain,Groundwater pollution or depletion,
mis-valley-hydropower-plant-italy,"Biodiversity loss (wildlife, agro-diversity)",
mis-valley-hydropower-plant-italy,"Floods (river, coastal, mudflow)",
mis-valley-hydropower-plant-italy,Loss of landscape/aesthetic degradation,
mis-valley-hydropower-plant-italy,Soil erosion,
mis-valley-hydropower-plant-italy,Deforestation and loss of vegetation cover,
mis-valley-hydropower-plant-italy,Large-scale disturbance of hydro and geological systems,
mis-valley-hydropower-plant-italy,Reduced ecological / hydrological connectivity,
malaysia,Food insecurity (crop damage),
malaysia,Loss of landscape/aesthetic degradation,
malaysia,Waste overflow,
malaysia,Deforestation and loss of vegetation cover,
malaysia,"Surface water pollution / Decreasing water (physico-chemical, biological) quality",
varun-land-grabbing-madagascar,"Biodiversity loss (wildlife, agro-diversity)",
varun-land-grabbing-madagascar,Food insecurity (crop damage),
vindelalven-hydel-project-sweden,"Biodiversity loss (wildlife, agro-diversity)",
vindelalven-hydel-project-sweden,"Floods (river, coastal, mudflow)",
vindelalven-hydel-project-sweden,Loss of landscape/aesthetic degradation,
