UID,slug,name,id,description,category.slug,category.name,category.color,category.id,category.description,type2
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,mineral-processing,Mineral processing,5.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
jiaokou-feimei-aluminum-industry-co-ltd-lvliang-shanxi-china,metal-refineries,Metal refineries,48.0,,industrial-and-utilities-conflicts,Industrial and Utilities conflicts,#ed1c24,10.0,,
wind-farm-nowe-skalmierzyce-poland,windmills,Windmills,29.0,,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5.0,,
kamchay-dam-kampot-province-cambodia,dams-and-water-distribution-conflicts,Dams and water distribution conflicts,36.0,,water-management,Water Management,#00bdff,6.0,,
kamchay-dam-kampot-province-cambodia,deforestation,Deforestation,15.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
kamchay-dam-kampot-province-cambodia,redd-cdm,REDD/CDM,28.0,,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5.0,,
kamchay-dam-kampot-province-cambodia,deforestation,Deforestation,15.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
kamchay-dam-kampot-province-cambodia,redd-cdm,REDD/CDM,28.0,,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5.0,,
phosphate-mining-in-anitpolis-brazil,mineral-processing,Mineral processing,5.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
phosphate-mining-in-anitpolis-brazil,mineral-ore-exploration,Mineral ore exploration and/or extraction,4.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
phosphate-mining-in-anitpolis-brazil,tailings-from-mines,Tailings from mines,6.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
phosphate-mining-in-anitpolis-brazil,chemical-industries,Chemical industries,49.0,,industrial-and-utilities-conflicts,Industrial and Utilities conflicts,#ed1c24,10.0,,
pt-sss-irregular-establishment,land-acquisition-conflicts,Land acquisition conflicts,12.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
pt-sss-irregular-establishment,deforestation,Deforestation,15.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
pt-sss-irregular-establishment,agro-toxics,Agro-toxics,16.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
wpb-colliery-in-dullstroom-mpumalanga-south-africa,coal-extraction-and-processing,Coal extraction and processing,26.0,,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5.0,,
wpb-colliery-in-dullstroom-mpumalanga-south-africa,wetlands-and-coastal-zone-management,Wetlands and coastal zone management,44.0,,biodiversity-conservation-conflicts,Biodiversity conservation conflicts,#00c621,9.0,,
wpb-colliery-in-dullstroom-mpumalanga-south-africa,establishment-of-reserves-national-parks,Establishment of reserves/national parks,43.0,,tourism-recreation,Tourism Recreation,#c685d0,8.0,,
lake-chad-desertification-chad,climate-change-related-conflicts-glaciers-and-small-islands,Climate change related conflicts (glaciers and small islands),27.0,,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5.0,,
lake-chad-desertification-chad,aquaculture-and-fisheries,Aquaculture and fisheries,20.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
xochicuautla-comunidadotomi-mexico,transport-infrastructure-networks-roads-railways-hydroways-canals-and-pipelines,"Transport infrastructure networks (roads, railways, hydroways, canals and pipelines)",38.0,,infrastructure-and-built-environment,Infrastructure and Built Environment,#999,7.0,,
developments-along-the-shores-of-lake-elementaita-kenya,wetlands-and-coastal-zone-management,Wetlands and coastal zone management,44.0,,biodiversity-conservation-conflicts,Biodiversity conservation conflicts,#00c621,9.0,,
developments-along-the-shores-of-lake-elementaita-kenya,tourism-facilities-ski-resorts-hotels-marinas,"Tourism facilities (ski resorts, hotels, marinas)",42.0,,tourism-recreation,Tourism Recreation,#c685d0,8.0,,
developments-along-the-shores-of-lake-elementaita-kenya,other,Other,53.0,,other,Other,#111,11.0,,
congo-coltan-in-the-kivu-region-dr-of-congo,mineral-processing,Mineral processing,5.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
congo-coltan-in-the-kivu-region-dr-of-congo,mineral-ore-exploration,Mineral ore exploration and/or extraction,4.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
lesten-tampur-dam,dams-and-water-distribution-conflicts,Dams and water distribution conflicts,36.0,,water-management,Water Management,#00bdff,6.0,,
lesten-tampur-dam,other,Other,53.0,,other,Other,#111,11.0,,
sime-darby-plantation-land-conflict-liberia,land-acquisition-conflicts,Land acquisition conflicts,12.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
sime-darby-plantation-land-conflict-liberia,intensive-food-production-monoculture-and-livestock,Intensive food production (monoculture and livestock),21.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
sime-darby-plantation-land-conflict-liberia,plantation-conflicts-incl-pulp,Plantation conflicts (incl. Pulp,13.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
obsolete-pesticides-in-abaco-island-bahamas,landfills-toxic-waste-treatment-uncontrolled-dump-sites,"Landfills, toxic waste treatment, uncontrolled dump sites",11.0,,waste-management,Waste Management,#77721c,3.0,,
obsolete-pesticides-in-abaco-island-bahamas,incinerators,Incinerators,10.0,,waste-management,Waste Management,#77721c,3.0,,
obsolete-pesticides-in-abaco-island-bahamas,other,Other,53.0,,other,Other,#111,11.0,,
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,mineral-ore-exploration,Mineral ore exploration and/or extraction,4.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,uranium-extraction,Uranium extraction,1.0,,nuclear,Nuclear,#ff0,1.0,,
anglo-platinum-mogalakwena-mine-lawsuit-south-africa,land-acquisition-conflicts,Land acquisition conflicts,12.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,oil-and-gas-refining,Oil and gas refining,25.0,,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5.0,,
mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,oil-and-gas-exploration-and-extraction,Oil and gas exploration and extraction,22.0,,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5.0,,
mobil-abandon-clean-up-of-the-atlantic-coast-line-contaminated-by-its-operations,pollution-related-to-transport-spills-dust-emissions,"Pollution related to transport (spills, dust, emissions)",40.0,,infrastructure-and-built-environment,Infrastructure and Built Environment,#999,7.0,,
oil-drilling-in-the-national-park-of-calilegua,oil-and-gas-exploration-and-extraction,Oil and gas exploration and extraction,22.0,,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5.0,,
rampant-gold-mining-threatens-human-lives-and-ecology-in-rebkong,mineral-processing,Mineral processing,5.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
irish-cement,incinerators,Incinerators,10.0,,waste-management,Waste Management,#77721c,3.0,,
centrale-elettronucleare-alto-lazio-di-montalto-di-castro,nuclear-power-plants,Nuclear power plants,2.0,,nuclear,Nuclear,#ff0,1.0,,
yalova-vopak-chemical-storage-terminal-turkey,agro-toxics,Agro-toxics,16.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
yalova-vopak-chemical-storage-terminal-turkey,pollution-related-to-transport-spills-dust-emissions,"Pollution related to transport (spills, dust, emissions)",40.0,,infrastructure-and-built-environment,Infrastructure and Built Environment,#999,7.0,,
yalova-vopak-chemical-storage-terminal-turkey,agro-fuels-and-biomass-energy-plants,Agro-fuels and biomass energy plants,18.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
yalova-vopak-chemical-storage-terminal-turkey,chemical-industries,Chemical industries,49.0,,industrial-and-utilities-conflicts,Industrial and Utilities conflicts,#ed1c24,10.0,,
rare-earth-mining-in-mountains-of-myanmar,mineral-ore-exploration,Mineral ore exploration and/or extraction,4.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
rare-earth-mining-in-mountains-of-myanmar,tailings-from-mines,Tailings from mines,6.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,mineral-ore-exploration,Mineral ore exploration and/or extraction,4.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
illegal-gold-mining-and-killing-of-anti-mining-indigenous-leader-jimmy-liguyon-mindano-philippines,land-acquisition-conflicts,Land acquisition conflicts,12.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
depredacion-ecologica-en-el-cerro-de-el-cimatario,urban-development-conflicts,Urban development conflicts,41.0,,infrastructure-and-built-environment,Infrastructure and Built Environment,#999,7.0,,
depredacion-ecologica-en-el-cerro-de-el-cimatario,establishment-of-reserves-national-parks,Establishment of reserves/national parks,43.0,,tourism-recreation,Tourism Recreation,#c685d0,8.0,,
depredacion-ecologica-en-el-cerro-de-el-cimatario,transport-infrastructure-networks-roads-railways-hydroways-canals-and-pipelines,"Transport infrastructure networks (roads, railways, hydroways, canals and pipelines)",38.0,,infrastructure-and-built-environment,Infrastructure and Built Environment,#999,7.0,,
depredacion-ecologica-en-el-cerro-de-el-cimatario,deforestation,Deforestation,15.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
contaminacion-del-rio-pirai,building-materials-extraction-quarries-sand-gravel,"Building materials extraction (quarries, sand, gravel)",7.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
chuangyuan-aluminium-plant-pollution-in-hunan-china,landfills-toxic-waste-treatment-uncontrolled-dump-sites,"Landfills, toxic waste treatment, uncontrolled dump sites",11.0,,waste-management,Waste Management,#77721c,3.0,,
chuangyuan-aluminium-plant-pollution-in-hunan-china,mineral-processing,Mineral processing,5.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
chuangyuan-aluminium-plant-pollution-in-hunan-china,metal-refineries,Metal refineries,48.0,,industrial-and-utilities-conflicts,Industrial and Utilities conflicts,#ed1c24,10.0,,
buryatia-vs-yukos-oil-russian-federation,transport-infrastructure-networks-roads-railways-hydroways-canals-and-pipelines,"Transport infrastructure networks (roads, railways, hydroways, canals and pipelines)",38.0,,infrastructure-and-built-environment,Infrastructure and Built Environment,#999,7.0,,
wisco-soalala-iron-ore-madagascar,mineral-ore-exploration,Mineral ore exploration and/or extraction,4.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
wisco-soalala-iron-ore-madagascar,transport-infrastructure-networks-roads-railways-hydroways-canals-and-pipelines,"Transport infrastructure networks (roads, railways, hydroways, canals and pipelines)",38.0,,infrastructure-and-built-environment,Infrastructure and Built Environment,#999,7.0,,
wisco-soalala-iron-ore-madagascar,ports-and-airport-projects,Ports and airport projects,39.0,,infrastructure-and-built-environment,Infrastructure and Built Environment,#999,7.0,,
wisco-soalala-iron-ore-madagascar,land-acquisition-conflicts,Land acquisition conflicts,12.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
sahara-india-eco-tourism-project-in-sundarban-west-bengal-india,tourism-facilities-ski-resorts-hotels-marinas,"Tourism facilities (ski resorts, hotels, marinas)",42.0,,tourism-recreation,Tourism Recreation,#c685d0,8.0,,
illegal-landfill-near-qalqilyah-between-the-towns-of-jayus-and-azun,landfills-toxic-waste-treatment-uncontrolled-dump-sites,"Landfills, toxic waste treatment, uncontrolled dump sites",11.0,,waste-management,Waste Management,#77721c,3.0,,
exploratory-fracking-at-kirby-misperton-yorkshire,shale-gas-fracking,Shale gas fracking,23.0,,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5.0,,
bedford-biofuels-jatropha-tana-delta-kenya,wetlands-and-coastal-zone-management,Wetlands and coastal zone management,44.0,,biodiversity-conservation-conflicts,Biodiversity conservation conflicts,#00c621,9.0,,
bedford-biofuels-jatropha-tana-delta-kenya,land-acquisition-conflicts,Land acquisition conflicts,12.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
bedford-biofuels-jatropha-tana-delta-kenya,plantation-conflicts-incl-pulp,Plantation conflicts (incl. Pulp,13.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
derrame-de-petroleo-en-el-campo-de-frade-brazil,oil-and-gas-exploration-and-extraction,Oil and gas exploration and extraction,22.0,,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5.0,,
chemehuevi-indian-tribe-off-roading-damage,tourism-facilities-ski-resorts-hotels-marinas,"Tourism facilities (ski resorts, hotels, marinas)",42.0,,tourism-recreation,Tourism Recreation,#c685d0,8.0,,
chemehuevi-indian-tribe-off-roading-damage,transport-infrastructure-networks-roads-railways-hydroways-canals-and-pipelines,"Transport infrastructure networks (roads, railways, hydroways, canals and pipelines)",38.0,,infrastructure-and-built-environment,Infrastructure and Built Environment,#999,7.0,,
clayoquot-sound-canada,logging-and-non-timber-extraction,Logging and non timber extraction,14.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
clayoquot-sound-canada,deforestation,Deforestation,15.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,mega-project-solar-plants,Mega-project solar plants,30.0,,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5.0,,
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,windmills,Windmills,29.0,,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5.0,,
adanis-solar-power-plant-taking-land-away-from-farmers-rajasthan-india,land-acquisition-conflicts,Land acquisition conflicts,12.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
nuclear-waste-storage-in-villar-de-canas-spain,nuclear-waste-storage,Nuclear waste storage,3.0,,nuclear,Nuclear,#ff0,1.0,,
mis-valley-hydropower-plant-italy,dams-and-water-distribution-conflicts,Dams and water distribution conflicts,36.0,,water-management,Water Management,#00bdff,6.0,,
mis-valley-hydropower-plant-italy,establishment-of-reserves-national-parks,Establishment of reserves/national parks,43.0,,tourism-recreation,Tourism Recreation,#c685d0,8.0,,
malaysia,deforestation,Deforestation,15.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
malaysia,plantation-conflicts-incl-pulp,Plantation conflicts (incl. Pulp,13.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
malaysia,logging-and-non-timber-extraction,Logging and non timber extraction,14.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
malaysia,land-acquisition-conflicts,Land acquisition conflicts,12.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
malaysia,dams-and-water-distribution-conflicts,Dams and water distribution conflicts,36.0,,water-management,Water Management,#00bdff,6.0,,
varun-land-grabbing-madagascar,land-acquisition-conflicts,Land acquisition conflicts,12.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
vindelalven-hydel-project-sweden,dams-and-water-distribution-conflicts,Dams and water distribution conflicts,36.0,,water-management,Water Management,#00bdff,6.0,,
vindelalven-hydel-project-sweden,establishment-of-reserves-national-parks,Establishment of reserves/national parks,43.0,,tourism-recreation,Tourism Recreation,#c685d0,8.0,,
land-grabbing-and-filling-up-of-wetlands,urban-development-conflicts,Urban development conflicts,41.0,,infrastructure-and-built-environment,Infrastructure and Built Environment,#999,7.0,,
land-grabbing-and-filling-up-of-wetlands,water-access-rights-and-entitlements,Water access rights and entitlements,33.0,,water-management,Water Management,#00bdff,6.0,,
luoding-incinerator-guangzhou-china,incinerators,Incinerators,10.0,,waste-management,Waste Management,#77721c,3.0,,
mineria-en-jardin-antioquia-colombia,mineral-ore-exploration,Mineral ore exploration and/or extraction,4.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
mineria-en-jardin-antioquia-colombia,tailings-from-mines,Tailings from mines,6.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
mineria-en-jardin-antioquia-colombia,water-access-rights-and-entitlements,Water access rights and entitlements,33.0,,water-management,Water Management,#00bdff,6.0,,
illegal-boreholes-for-strawberry-farming-in-donana,water-access-rights-and-entitlements,Water access rights and entitlements,33.0,,water-management,Water Management,#00bdff,6.0,,
illegal-boreholes-for-strawberry-farming-in-donana,intensive-food-production-monoculture-and-livestock,Intensive food production (monoculture and livestock),21.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
illegal-boreholes-for-strawberry-farming-in-donana,deforestation,Deforestation,15.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia,plantation-conflicts-incl-pulp,Plantation conflicts (incl. Pulp,13.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
pt-ampibabo-and-pt-agri-toribulu-oil-palm-companies-sulawesi-indonesia,land-acquisition-conflicts,Land acquisition conflicts,12.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
exxaro-leeuwpan-mining-project-south-africa,coal-extraction-and-processing,Coal extraction and processing,26.0,,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5.0,,
kosova-e-re-lignite-power-plant,thermal-power-plants,Thermal power plants,32.0,,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5.0,,
kosova-e-re-lignite-power-plant,coal-extraction-and-processing,Coal extraction and processing,26.0,,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5.0,,
coastal-zone-megaprojects-el-salvador,land-acquisition-conflicts,Land acquisition conflicts,12.0,,biomass-and-land-conflicts-forests-agriculture-and-livestock-management,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",#754c24,4.0,,
coastal-zone-megaprojects-el-salvador,tourism-facilities-ski-resorts-hotels-marinas,"Tourism facilities (ski resorts, hotels, marinas)",42.0,,tourism-recreation,Tourism Recreation,#c685d0,8.0,,
coastal-zone-megaprojects-el-salvador,wetlands-and-coastal-zone-management,Wetlands and coastal zone management,44.0,,biodiversity-conservation-conflicts,Biodiversity conservation conflicts,#00c621,9.0,,
45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,pollution-related-to-transport-spills-dust-emissions,"Pollution related to transport (spills, dust, emissions)",40.0,,infrastructure-and-built-environment,Infrastructure and Built Environment,#999,7.0,,
45-people-arrested-for-protesting-against-pollution-by-iron-ore-mining-in-sonshi-goa,mineral-ore-exploration,Mineral ore exploration and/or extraction,4.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
fracking-en-municipios-del-maestrat-castellon-comunitat-valenciana,shale-gas-fracking,Shale gas fracking,23.0,,fossil-fuels-and-climate-justice-energy,Fossil Fuels and Climate Justice/Energy,#111,5.0,,
mineria-en-el-cerro-sagrado-care-perro-antioquia,mineral-ore-exploration,Mineral ore exploration and/or extraction,4.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
mineria-en-el-cerro-sagrado-care-perro-antioquia,tailings-from-mines,Tailings from mines,6.0,,mineral-ores-and-building-materials-extraction,Mineral Ores and Building Materials Extraction,#ff7f00,2.0,,
